TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,7.783,12849.643,3.492,0.873
6,2,3,2,5.621,17789.925,4.835,0.806
6,3,2,2,5.838,17129.852,4.655,0.776
8,2,4,2,4.269,23428.007,6.366,0.796
8,4,2,2,4.332,23086.35,6.273,0.784
9,3,3,2,4.302,23242.505,6.317,0.702
12,3,4,2,3.799,26319.904,7.153,0.596
12,4,3,2,3.812,26230.898,7.129,0.594
16,2,8,2,3.382,29564.415,8.035,0.502
16,4,4,2,3.456,28934.648,7.863,0.491
16,8,2,2,3.479,28792.065,7.811,0.488
24,3,8,2,3.907,25593.848,6.955,0.29
24,8,3,2,3.446,29020.254,7.886,0.329
32,4,8,2,3.475,28780.125,7.82,0.244
32,8,4,2,3.463,28880.505,7.847,0.245
64,8,8,2,3.519,28419.007,7.722,0.121
