TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,7.69,13004.217,3.479,0.87
6,2,3,2,5.481,18244.926,4.881,0.814
6,3,2,2,5.784,17289.621,4.626,0.771
8,2,4,2,4.433,22557.335,6.035,0.754
8,4,2,2,4.316,23170.165,6.199,0.775
9,3,3,2,4.549,21982.074,5.881,0.653
12,3,4,2,3.724,26854.896,7.184,0.599
12,4,3,2,3.635,27509.072,7.36,0.613
16,2,8,2,3.497,28600.126,7.651,0.478
16,4,4,2,3.448,29003.878,7.759,0.485
16,8,2,2,3.513,28516.249,7.616,0.476
24,3,8,2,3.888,25723.882,6.881,0.287
24,8,3,2,3.46,28902.754,7.732,0.322
32,4,8,2,3.513,28465.965,7.616,0.238
32,8,4,2,3.477,28761.071,7.695,0.24
64,8,8,2,3.523,28386.267,7.594,0.119
