TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,5.675,17622.462,2.871,0.718
6,2,3,2,4.296,23281.507,3.793,0.632
6,3,2,2,4.222,23687.768,3.859,0.643
8,2,4,2,3.183,31415.179,5.119,0.64
8,4,2,2,3.196,31292.524,5.098,0.637
9,3,3,2,3.156,31699.827,5.163,0.574
12,3,4,2,2.763,36195.515,5.897,0.491
12,4,3,2,2.969,33682.192,5.488,0.457
16,2,8,2,2.635,37954.245,6.184,0.386
16,4,4,2,2.622,38133.484,6.214,0.388
16,8,2,2,2.572,38885.208,6.335,0.396
24,3,8,2,2.976,33623.466,5.475,0.228
24,8,3,2,2.884,34676.045,5.65,0.235
32,4,8,2,2.843,35193.69,5.731,0.179
32,8,4,2,2.653,37698.655,6.142,0.192
64,8,8,2,2.774,36070.105,5.874,0.092
