TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,5.683,17597.437,2.843,0.711
6,2,3,2,4.09,24454.189,3.951,0.658
6,3,2,2,4.224,23674.561,3.825,0.638
8,2,4,2,3.21,31185.671,5.034,0.629
8,4,2,2,3.209,31160.311,5.035,0.629
9,3,3,2,3.101,32246.258,5.211,0.579
12,3,4,2,2.788,35865.31,5.796,0.483
12,4,3,2,3.025,33056.292,5.341,0.445
16,2,8,2,2.732,36604.528,5.914,0.37
16,4,4,2,2.866,34900.022,5.638,0.352
16,8,2,2,2.595,38541.923,6.227,0.389
24,3,8,2,2.98,33583.639,5.422,0.226
24,8,3,2,2.77,36103.242,5.833,0.243
32,4,8,2,2.813,35551.022,5.744,0.18
32,8,4,2,2.705,36967.226,5.973,0.187
64,8,8,2,2.772,36081.982,5.829,0.091
