TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,5.755,17375.801,2.702,0.676
6,2,3,2,4.333,23079.43,3.589,0.598
6,3,2,2,4.338,23052.954,3.585,0.598
8,2,4,2,3.871,25832.81,4.018,0.502
8,4,2,2,3.204,31209.206,4.854,0.607
9,3,3,2,3.397,29436.182,4.578,0.509
12,3,4,2,3.085,32413.27,5.041,0.42
12,4,3,2,2.82,35461.403,5.515,0.46
16,2,8,2,3.346,29888.044,4.648,0.29
16,4,4,2,2.737,36533.983,5.682,0.355
16,8,2,2,2.587,38653.268,6.012,0.376
24,3,8,2,3.258,30699.63,4.773,0.199
24,8,3,2,2.711,36881.138,5.737,0.239
32,4,8,2,2.805,35648.997,5.544,0.173
32,8,4,2,2.674,37390.265,5.816,0.182
64,8,8,2,2.757,36270.702,5.641,0.088
