TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC,TOTAL_SPEEDUP,TOTAL_EFFICIENCY,KEYGEN_SPEEDUP,KEYGEN_EFFICIENCY,ENC_SPEEDUP,ENC_EFFICIENCY,DEC_SPEEDUP,DEC_EFFICIENCY
4,2,2,2,5.561,17982.793,5.911,6.238,7.276,2.921,0.73,2.748,0.687,2.604,0.651,2.232,0.558
6,2,3,2,3.971,25181.461,6.61,6.991,8.162,4.09,0.682,2.457,0.41,2.323,0.387,1.99,0.332
6,3,2,2,4.226,23661.952,6.669,7.071,8.222,3.844,0.641,2.436,0.406,2.297,0.383,1.976,0.329
8,2,4,2,3.113,32121.041,7.381,7.832,9.161,5.218,0.652,2.201,0.275,2.074,0.259,1.773,0.222
8,4,2,2,3.558,28109.476,7.881,8.28,9.624,4.565,0.571,2.061,0.258,1.962,0.245,1.688,0.211
9,3,3,2,3.503,28543.374,8.084,8.576,10.023,4.637,0.515,2.009,0.223,1.894,0.21,1.621,0.18
12,3,4,2,3.096,32298.874,9.26,9.86,11.506,5.246,0.437,1.754,0.146,1.647,0.137,1.412,0.118
12,4,3,2,2.878,34752.177,10.024,10.679,12.481,5.644,0.47,1.62,0.135,1.521,0.127,1.301,0.108
16,2,8,2,2.662,37570.242,11.105,11.976,14.092,6.102,0.381,1.463,0.091,1.356,0.085,1.153,0.072
16,4,4,2,2.767,36138.994,11.481,12.252,14.312,5.87,0.367,1.415,0.088,1.326,0.083,1.135,0.071
16,8,2,2,2.631,38013.998,11.582,12.255,14.316,6.174,0.386,1.402,0.088,1.325,0.083,1.135,0.071
24,3,8,2,3.171,31539.676,17.144,18.732,22.076,5.122,0.213,0.947,0.039,0.867,0.036,0.736,0.031
24,8,3,2,2.73,36630.968,16.735,18.11,21.039,5.95,0.248,0.971,0.04,0.897,0.037,0.772,0.032
32,4,8,2,2.789,35852.408,21.766,24.485,28.153,5.824,0.182,0.746,0.023,0.663,0.021,0.577,0.018
32,8,4,2,2.696,37095.936,22.796,23.879,28.078,6.025,0.188,0.713,0.022,0.68,0.021,0.578,0.018
64,8,8,2,2.793,35806.165,44.415,48.076,56.521,5.816,0.091,0.366,0.006,0.338,0.005,0.287,0.004
