TOT_WORKERS,MPI_RANKS,OMP_THREADS,NODES,TIME_SEC,THROUGHPUT_JS,SPEEDUP,EFFICIENCY
4,2,2,2,5.786,17283.335,3.058,0.764
6,2,3,2,4.19,23868.868,4.223,0.704
6,3,2,2,4.223,23680.964,4.19,0.698
8,2,4,2,3.16,31652.69,5.599,0.7
8,4,2,2,3.362,29757.512,5.263,0.658
9,3,3,2,3.154,31709.3,5.61,0.623
12,3,4,2,2.967,33705.873,5.963,0.497
12,4,3,2,2.953,33866.046,5.992,0.499
16,2,8,2,2.783,35931.855,6.358,0.397
16,4,4,2,2.877,34752.459,6.15,0.384
16,8,2,2,2.656,37665.612,6.662,0.416
24,3,8,2,3.106,32200.633,5.696,0.237
24,8,3,2,2.782,35972.822,6.36,0.265
32,4,8,2,2.761,36221.984,6.408,0.2
32,8,4,2,2.889,34614.84,6.124,0.191
64,8,8,2,2.804,35680.243,6.31,0.099
