OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,8.397843,11907.819060
1,2,2,4,1,100000,100000,0,8.594921,11634.778084
1,2,2,4,1,100000,100000,0,8.983309,11131.755559
1,2,2,4,1,100000,100000,0,9.066695,11029.377013
1,2,2,4,1,100000,100000,0,8.426097,11867.890739
1,2,2,4,1,100000,100000,0,8.543301,11705.077373
1,2,2,4,1,100000,100000,0,8.538353,11711.860710
1,2,2,4,1,100000,100000,0,8.486826,11782.968616
1,2,2,4,1,100000,100000,0,8.513159,11746.520428
1,2,2,4,1,100000,100000,0,8.890794,11247.589343
1,2,3,6,1,100000,100000,0,5.930831,16861.044386
1,2,3,6,1,100000,100000,0,6.391308,15646.250535
1,2,3,6,1,100000,100000,0,6.447792,15509.184939
1,2,3,6,1,100000,100000,0,6.379442,15675.351605
1,2,3,6,1,100000,100000,0,7.019541,14245.945611
1,2,3,6,1,100000,100000,0,5.925452,16876.349290
1,2,3,6,1,100000,100000,0,6.409927,15600.801139
1,2,3,6,1,100000,100000,0,6.433305,15544.109054
1,2,3,6,1,100000,100000,0,6.387386,15655.857215
1,2,3,6,1,100000,100000,0,6.451636,15499.944871
1,2,4,8,1,100000,100000,0,5.590946,17886.059566
1,2,4,8,1,100000,100000,0,5.182353,19296.252574
1,2,4,8,1,100000,100000,0,5.615274,17808.569719
1,2,4,8,1,100000,100000,0,5.533221,18072.655612
1,2,4,8,1,100000,100000,0,5.519677,18117.002760
1,2,4,8,1,100000,100000,0,5.575595,17935.305238
1,2,4,8,1,100000,100000,0,5.585064,17904.898066
1,2,4,8,1,100000,100000,0,5.581333,17916.867307
1,2,4,8,1,100000,100000,0,5.612900,17816.102050
1,2,4,8,1,100000,100000,0,5.528829,18087.013290
1,3,2,6,1,100000,100000,0,-7.970518,-12546.235906
1,3,2,6,1,100000,100000,0,6.450197,15503.403122
1,3,2,6,1,100000,100000,0,6.003059,16658.174044
1,3,2,6,1,100000,100000,0,6.416781,15584.136908
1,3,2,6,1,100000,100000,0,6.411017,15598.150214
1,3,2,6,1,100000,100000,0,6.465654,15466.338972
1,3,2,6,1,100000,100000,0,6.534299,15303.861597
1,3,2,6,1,100000,100000,0,5.923010,16883.308458
1,3,2,6,1,100000,100000,0,6.457167,15486.666973
1,3,2,6,1,100000,100000,0,6.509192,15362.890995
1,3,3,9,1,100000,100000,0,5.604119,17844.017047
1,3,3,9,1,100000,100000,0,5.599726,17858.017189
1,3,3,9,1,100000,100000,0,5.723822,17470.843978
1,3,3,9,1,100000,100000,0,5.632522,17754.037076
1,3,3,9,1,100000,100000,0,5.631029,17758.743429
