OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,18.524634,5398.217432
1,1,2,2,1,100000,100000,0,18.108929,5522.137613
1,1,2,2,1,100000,100000,0,17.445440,5732.156916
1,1,2,2,1,100000,100000,0,18.140166,5512.628759
1,1,2,2,1,100000,100000,0,17.718778,5643.729944
1,1,2,2,1,100000,100000,0,17.627881,5672.831488
1,1,2,2,1,100000,100000,0,17.944708,5572.673507
1,1,2,2,1,100000,100000,0,17.613591,5677.433866
1,1,2,2,1,100000,100000,0,17.803637,5616.829716
1,1,2,2,1,100000,100000,0,17.389745,5750.515575
1,1,3,3,1,100000,100000,0,13.131953,7615.013418
1,1,3,3,1,100000,100000,0,12.470038,8019.221984
1,1,3,3,1,100000,100000,0,13.104381,7631.035531
1,1,3,3,1,100000,100000,0,12.237097,8171.872680
1,1,3,3,1,100000,100000,0,26.884584,3719.603703
1,1,3,3,1,100000,100000,0,12.864715,7773.199667
1,1,3,3,1,100000,100000,0,12.222388,8181.706972
1,1,3,3,1,100000,100000,0,12.883449,7761.896772
1,1,3,3,1,100000,100000,0,12.458491,8026.654112
1,1,3,3,1,100000,100000,0,12.834253,7791.649366
1,1,4,4,1,100000,100000,0,9.625931,10388.605224
1,1,4,4,1,100000,100000,0,9.585117,10432.840347
1,1,4,4,1,100000,100000,0,9.579158,10439.330366
1,1,4,4,1,100000,100000,0,9.540116,10482.052983
1,1,4,4,1,100000,100000,0,9.596429,10420.542813
1,1,4,4,1,100000,100000,0,9.541538,10480.490123
1,1,4,4,1,100000,100000,0,9.490616,10536.723398
1,1,4,4,1,100000,100000,0,9.487200,10540.517920
1,1,4,4,1,100000,100000,0,9.594154,10423.014170
1,1,4,4,1,100000,100000,0,10.091865,9908.971179
1,1,5,5,1,100000,100000,0,-5.881634,-17002.079263
1,1,5,5,1,100000,100000,0,8.105251,12337.680289
1,1,5,5,1,100000,100000,0,8.647109,11564.559385
1,1,5,5,1,100000,100000,0,8.637143,11577.902921
1,1,5,5,1,100000,100000,0,8.134233,12293.722046
1,1,5,5,1,100000,100000,0,8.156195,12260.618624
1,1,5,5,1,100000,100000,0,8.658244,11549.685464
1,1,5,5,1,100000,100000,0,8.140067,12284.910450
1,1,5,5,1,100000,100000,0,8.154645,12262.949991
1,1,5,5,1,100000,100000,0,8.656797,11551.617258
1,1,8,8,1,100000,100000,0,6.204857,16116.406691
1,1,8,8,1,100000,100000,0,5.994709,16681.375481
1,1,8,8,1,100000,100000,0,6.362226,15717.769846
1,1,8,8,1,100000,100000,0,6.968405,14350.487077
1,1,8,8,1,100000,100000,0,5.846821,17103.310480
1,1,8,8,1,100000,100000,0,6.300286,15872.295251
1,1,8,8,1,100000,100000,0,6.332278,15792.106262
1,1,8,8,1,100000,100000,0,6.326032,15807.696334
1,1,8,8,1,100000,100000,0,5.956866,16787.352342
1,1,8,8,1,100000,100000,0,6.351455,15744.423291
