OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,100000,100000,0,27.398166,3649.879378
0,1,1,1,1,100000,100000,0,27.875491,3587.380758
0,1,1,1,1,100000,100000,0,28.544991,3503.241569
0,1,1,1,1,100000,100000,0,27.341109,3657.496077
0,1,1,1,1,100000,100000,0,26.498981,3773.729976
0,1,1,1,1,100000,100000,0,27.324264,3659.750938
0,1,1,1,1,100000,100000,0,27.012427,3701.999856
0,1,1,1,1,100000,100000,0,26.215661,3814.513711
0,1,1,1,1,100000,100000,0,26.637791,3754.065078
0,1,1,1,1,100000,100000,0,26.896457,3717.961801
1,1,2,2,1,100000,100000,0,26.694663,3746.067090
1,1,2,2,1,100000,100000,0,27.431102,3645.497046
1,1,2,2,1,100000,100000,0,27.242051,3670.795589
1,1,2,2,1,100000,100000,0,28.307470,3532.636385
1,1,2,2,1,100000,100000,0,26.948712,3710.752419
1,1,2,2,1,100000,100000,0,27.077666,3693.080482
1,1,2,2,1,100000,100000,0,27.212314,3674.806961
1,1,2,2,1,100000,100000,0,26.635064,3754.449407
1,1,2,2,1,100000,100000,0,27.652687,3616.285141
1,1,2,2,1,100000,100000,0,26.802165,3731.041916
1,1,3,3,1,100000,100000,0,24.553051,4072.813535
1,1,3,3,1,100000,100000,0,24.433522,4092.737771
1,1,3,3,1,100000,100000,0,24.308640,4113.763695
1,1,3,3,1,100000,100000,0,24.476682,4085.521118
1,1,3,3,1,100000,100000,0,24.517214,4078.766810
1,1,3,3,1,100000,100000,0,24.276967,4119.130713
1,1,3,3,1,100000,100000,0,24.316113,4112.499384
1,1,3,3,1,100000,100000,0,24.400133,4098.338307
1,1,3,3,1,100000,100000,0,24.833680,4026.789435
1,1,3,3,1,100000,100000,0,24.252407,4123.302121
1,1,4,4,1,100000,100000,0,25.145572,3976.843252
1,1,4,4,1,100000,100000,0,25.131109,3979.131941
1,1,4,4,1,100000,100000,0,24.979925,4003.214598
1,1,4,4,1,100000,100000,0,25.050307,3991.967060
1,1,4,4,1,100000,100000,0,24.955254,4007.172212
1,1,4,4,1,100000,100000,0,25.059482,3990.505543
1,1,4,4,1,100000,100000,0,24.750327,4040.350639
1,1,4,4,1,100000,100000,0,24.775147,4036.302991
1,1,4,4,1,100000,100000,0,24.997598,4000.384301
1,1,4,4,1,100000,100000,0,24.933542,4010.661635
1,1,5,5,1,100000,100000,0,26.422144,3784.704211
1,1,5,5,1,100000,100000,0,25.944411,3854.394659
1,1,5,5,1,100000,100000,0,26.473161,3777.410664
1,1,5,5,1,100000,100000,0,26.407670,3786.778681
1,1,5,5,1,100000,100000,0,40.339198,2478.978388
1,1,5,5,1,100000,100000,0,26.936621,3712.418152
1,1,5,5,1,100000,100000,0,26.457149,3779.696755
1,1,5,5,1,100000,100000,0,26.637217,3754.145941
1,1,5,5,1,100000,100000,0,26.309663,3800.884934
1,1,5,5,1,100000,100000,0,26.566236,3764.176392
1,1,8,8,1,100000,100000,0,33.815591,2957.215820
1,1,8,8,1,100000,100000,0,34.725709,2879.710846
1,1,8,8,1,100000,100000,0,38.070522,2626.704209
1,1,8,8,1,100000,100000,0,34.767706,2876.232343
1,1,8,8,1,100000,100000,0,34.939631,2862.079491
1,1,8,8,1,100000,100000,0,34.648398,2886.136342
1,1,8,8,1,100000,100000,0,34.699137,2881.916078
1,1,8,8,1,100000,100000,0,34.848936,2869.528065
1,1,8,8,1,100000,100000,0,34.751654,2877.560849
1,1,8,8,1,100000,100000,0,35.268831,2835.364737
