OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,17.217740,5807.963293
1,1,2,2,1,100000,100000,0,17.079755,5854.884890
1,1,2,2,1,100000,100000,0,37.489404,2667.420363
1,1,2,2,1,100000,100000,0,18.112306,5521.108135
1,1,2,2,1,100000,100000,0,17.270737,5790.140800
1,1,2,2,1,100000,100000,0,17.213257,5809.475945
1,1,2,2,1,100000,100000,0,22.354061,4473.460184
1,1,2,2,1,100000,100000,0,32.139787,3111.408321
1,1,2,2,1,100000,100000,0,17.314047,5775.657067
1,1,2,2,1,100000,100000,0,17.028141,5872.631614
1,1,3,3,1,100000,100000,0,32.981743,3031.980427
1,1,3,3,1,100000,100000,0,12.822711,7798.663015
1,1,3,3,1,100000,100000,0,13.292013,7523.314976
1,1,3,3,1,100000,100000,0,20.736273,4822.467408
1,1,3,3,1,100000,100000,0,23.373644,4278.323069
1,1,3,3,1,100000,100000,0,12.598556,7937.417850
1,1,3,3,1,100000,100000,0,14.318819,6983.816418
1,1,3,3,1,100000,100000,0,32.587544,3068.657119
1,1,3,3,1,100000,100000,0,23.536358,4248.745662
1,1,3,3,1,100000,100000,0,21.455891,4660.724750
1,1,4,4,1,100000,100000,0,9.542704,10479.210598
1,1,4,4,1,100000,100000,0,9.582076,10436.152173
1,1,4,4,1,100000,100000,0,9.562118,10457.933771
1,1,4,4,1,100000,100000,0,9.461853,10568.754237
1,1,4,4,1,100000,100000,0,9.729367,10278.160981
1,1,4,4,1,100000,100000,0,9.754820,10251.342901
1,1,4,4,1,100000,100000,0,9.667304,10344.145280
1,1,4,4,1,100000,100000,0,9.923756,10076.830125
1,1,4,4,1,100000,100000,0,9.764512,10241.166964
1,1,4,4,1,100000,100000,0,10.527658,9498.788711
1,1,5,5,1,100000,100000,0,8.365204,11954.281344
1,1,5,5,1,100000,100000,0,8.356126,11967.268737
1,1,5,5,1,100000,100000,0,8.458161,11822.900885
1,1,5,5,1,100000,100000,0,8.601046,11626.493220
1,1,5,5,1,100000,100000,0,8.742162,11438.818467
1,1,5,5,1,100000,100000,0,8.694182,11501.944594
1,1,5,5,1,100000,100000,0,8.902508,11232.789971
1,1,5,5,1,100000,100000,0,9.079709,11013.568947
1,1,5,5,1,100000,100000,0,9.146885,10932.683930
1,1,5,5,1,100000,100000,0,9.531290,10491.759056
1,1,8,8,1,100000,100000,0,6.247269,16006.995016
1,1,8,8,1,100000,100000,0,6.642757,15053.991265
1,1,8,8,1,100000,100000,0,6.602957,15144.729230
1,1,8,8,1,100000,100000,0,6.369374,15700.130798
1,1,8,8,1,100000,100000,0,6.619472,15106.945184
1,1,8,8,1,100000,100000,0,6.631495,15079.556943
1,1,8,8,1,100000,100000,0,6.245785,16010.796534
1,1,8,8,1,100000,100000,0,6.619888,15105.995632
1,1,8,8,1,100000,100000,0,6.631825,15078.806745
1,1,8,8,1,100000,100000,0,6.268954,15951.624298
