OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,2,2,4,1,100000,100000,0,9.489638,10537.810284,11.976047,13.009075,15.685510
1,2,2,4,1,100000,100000,0,9.476237,10552.711987,11.941346,13.054301,15.739467
1,2,2,4,1,100000,100000,0,9.253627,10806.573897,11.304863,12.259726,14.759965
1,2,2,4,1,100000,100000,0,9.579751,10438.684447,11.239185,12.090038,14.517998
1,2,2,4,1,100000,100000,0,9.469507,10560.211673,11.131807,11.989132,14.409908
1,2,2,4,1,100000,100000,0,9.647220,10365.680323,11.218521,12.158979,14.626792
1,2,2,4,1,100000,100000,0,9.641881,10371.419874,11.153606,12.105363,14.578617
1,2,2,4,1,100000,100000,0,9.652003,10360.544124,11.649629,12.608788,15.079143
1,2,2,4,1,100000,100000,0,9.919049,10081.611273,11.593793,12.580762,15.025069
1,2,2,4,1,100000,100000,0,9.612814,10402.780807,11.148441,12.130994,14.663243
1,2,3,6,1,100000,100000,0,-8.517481,-11740.560738,12.681492,13.822804,16.570397
1,2,3,6,1,100000,100000,0,7.269922,13755.305343,12.653209,13.775940,16.644202
1,2,3,6,1,100000,100000,0,7.306797,13685.887153,12.556338,13.780545,16.643744
1,2,3,6,1,100000,100000,0,7.337744,13628.167461,12.773734,13.911868,16.769928
1,2,3,6,1,100000,100000,0,7.253861,13785.761747,12.575515,13.779734,16.500492
1,2,3,6,1,100000,100000,0,7.312041,13676.071624,12.727456,13.855902,16.667421
1,2,3,6,1,100000,100000,0,7.217779,13854.678184,12.511190,13.734360,16.511261
1,2,3,6,1,100000,100000,0,7.293945,13710.002650,12.732105,13.779535,16.627480
1,2,3,6,1,100000,100000,0,7.170686,13945.667119,12.427291,13.657662,16.433321
1,2,3,6,1,100000,100000,0,23.021880,4343.693940,12.588131,13.774637,16.573042
1,2,4,8,1,100000,100000,0,6.153894,16249.873824,14.179130,15.622639,18.900040
1,2,4,8,1,100000,100000,0,-9.536090,-10486.478395,14.392283,15.857990,19.155196
1,2,4,8,1,100000,100000,0,6.231425,16047.693792,14.311171,15.772450,19.101791
