OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,18.392934,5436.870555,11.721374,12.528190,15.225311
1,1,2,2,1,100000,100000,0,17.411148,5743.446664,11.035674,12.379240,15.104555
1,1,2,2,1,100000,100000,0,17.864353,5597.739956,10.958973,12.351454,15.130727
1,1,2,2,1,100000,100000,0,17.599507,5681.977224,11.059742,12.512396,15.325963
1,1,2,2,1,100000,100000,0,17.962285,5567.220406,10.973618,12.419726,15.229647
1,1,2,2,1,100000,100000,0,37.509126,2666.017879,23.644256,26.342550,32.237768
1,1,2,2,1,100000,100000,0,17.375427,5755.254320,10.641176,12.066557,14.766039
1,1,2,2,1,100000,100000,0,17.811132,5614.466400,11.182289,12.672406,15.481407
1,1,2,2,1,100000,100000,0,17.352496,5762.859726,10.917095,12.360133,15.141526
1,1,2,2,1,100000,100000,0,17.580806,5688.021229,10.748841,12.185589,14.914679
1,1,3,3,1,100000,100000,0,12.259966,8156.629239,11.578303,13.215883,16.125861
1,1,3,3,1,100000,100000,0,12.979457,7704.482637,11.778669,13.442762,16.361532
1,1,3,3,1,100000,100000,0,12.470548,8018.894102,11.731903,13.379535,16.420225
1,1,3,3,1,100000,100000,0,12.937706,7729.345569,11.743230,13.373006,16.320932
1,1,3,3,1,100000,100000,0,12.315635,8119.759677,11.608382,13.263850,16.218434
1,1,3,3,1,100000,100000,0,13.127479,7617.608651,11.871792,13.562028,16.572030
1,1,3,3,1,100000,100000,0,12.285540,8139.650654,11.639057,13.246634,16.102602
1,1,3,3,1,100000,100000,0,12.729405,7855.826781,11.542142,13.183189,16.075460
1,1,3,3,1,100000,100000,0,12.333910,8107.729118,11.625226,13.232366,16.267039
1,1,3,3,1,100000,100000,0,12.883106,7762.103569,11.671775,13.336539,16.272052
1,1,4,4,1,100000,100000,0,24.029131,4161.615312,11.889275,13.565260,16.623680
1,1,4,4,1,100000,100000,0,10.709806,9337.237458,11.974126,13.654131,16.778795
1,1,4,4,1,100000,100000,0,-5.778100,-17306.727556,11.898307,13.562259,16.663648
1,1,4,4,1,100000,100000,0,9.596558,10420.402542,11.848943,13.525973,16.561362
1,1,4,4,1,100000,100000,0,9.472983,10556.336742,11.710666,13.362459,16.430683
1,1,4,4,1,100000,100000,0,9.528758,10494.547519,11.826417,13.494124,16.390611
1,1,4,4,1,100000,100000,0,9.528625,10494.694071,11.786452,13.414812,16.501661
1,1,4,4,1,100000,100000,0,9.642672,10370.569606,11.892431,13.544007,16.663258
1,1,4,4,1,100000,100000,0,9.584796,10433.189747,11.820946,13.526076,16.595120
1,1,4,4,1,100000,100000,0,9.546512,10475.029860,11.801531,13.470527,16.488073
1,1,5,5,1,100000,100000,0,8.576024,11660.415339,12.611764,14.472748,17.780233
1,1,5,5,1,100000,100000,0,8.066386,12397.125959,12.713314,14.503980,17.683443
1,1,5,5,1,100000,100000,0,8.155967,12260.962206,12.854893,14.533908,17.817400
1,1,5,5,1,100000,100000,0,8.716151,11472.954610,13.155886,14.562908,17.839939
1,1,5,5,1,100000,100000,0,8.171678,12237.389343,12.841791,14.621493,17.902508
1,1,5,5,1,100000,100000,0,8.129948,12300.201688,12.817578,14.533501,17.826596
1,1,5,5,1,100000,100000,0,8.587144,11645.315593,12.678584,14.512752,17.756651
1,1,5,5,1,100000,100000,0,8.131514,12297.832689,12.788181,14.561506,17.864843
1,1,5,5,1,100000,100000,0,8.087302,12365.062925,12.844640,14.437400,17.667803
1,1,5,5,1,100000,100000,0,8.635263,11580.423498,12.740558,14.585572,17.879318
1,1,8,8,1,100000,100000,0,5.705405,17527.239205,14.942988,17.000819,20.859531
1,1,8,8,1,100000,100000,0,6.315173,15834.879875,15.120135,17.332924,21.282490
1,1,8,8,1,100000,100000,0,6.254761,15987.819880,14.974872,17.239912,21.095453
1,1,8,8,1,100000,100000,0,6.191576,16150.977748,14.868878,17.045751,20.903017
1,1,8,8,1,100000,100000,0,5.778968,17304.128942,15.095978,17.198007,21.144763
1,1,8,8,1,100000,100000,0,6.335563,15783.916688,15.200388,17.363979,21.263915
1,1,8,8,1,100000,100000,0,6.275874,15934.035939,15.038226,17.263018,21.078359
1,1,8,8,1,100000,100000,0,6.282163,15918.083786,14.995518,17.321720,21.155825
1,1,8,8,1,100000,100000,0,5.808684,17215.604523,15.173009,17.305620,21.275218
1,1,8,8,1,100000,100000,0,6.262524,15968.003305,15.073325,17.167885,21.082064
