OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
0,1,1,1,1,100000,100000,0,27.061721,3695.256447,8.244258,9.708755,12.100328
0,1,1,1,1,100000,100000,0,27.604118,3622.647883,8.264422,9.735589,12.093101
0,1,1,1,1,100000,100000,0,26.491586,3774.783485,7.949423,9.357728,11.673987
0,1,1,1,1,100000,100000,0,26.351925,3794.789212,8.040407,9.490957,11.813689
0,1,1,1,1,100000,100000,0,26.747989,3738.598849,8.037077,9.448304,11.754935
0,1,1,1,1,100000,100000,0,27.138268,3684.833574,8.135825,9.570194,11.919591
0,1,1,1,1,100000,100000,0,26.545478,3767.120007,8.094377,9.549085,11.894721
0,1,1,1,1,100000,100000,0,26.683112,3747.688735,7.999880,9.430690,11.741729
0,1,1,1,1,100000,100000,0,26.711825,3743.660403,8.010139,9.430723,11.754823
0,1,1,1,1,100000,100000,0,26.201721,3816.543158,8.020162,9.428906,11.741949
1,1,2,2,1,100000,100000,0,27.525324,3633.018119,7.989882,9.696170,12.329596
1,1,2,2,1,100000,100000,0,27.210028,3675.115613,7.929679,9.566819,12.196329
1,1,2,2,1,100000,100000,0,26.730111,3741.099290,7.920915,9.580286,12.216838
1,1,2,2,1,100000,100000,0,27.042151,3697.930689,7.872037,9.519653,12.141907
1,1,2,2,1,100000,100000,0,26.809167,3730.067416,7.937340,9.602995,12.255231
1,1,2,2,1,100000,100000,0,27.199200,3676.578697,7.904079,9.577174,12.205363
1,1,2,2,1,100000,100000,0,27.417630,3647.288320,7.962323,9.643634,12.296488
1,1,2,2,1,100000,100000,0,26.835195,3726.449528,7.950700,9.606563,12.265279
1,1,2,2,1,100000,100000,0,27.186687,3678.270977,7.906283,9.584332,12.186387
1,1,2,2,1,100000,100000,0,26.852401,3724.061826,7.957142,9.617281,12.268201
1,1,3,3,1,100000,100000,0,24.494830,4082.494149,6.691952,8.530179,11.259186
1,1,3,3,1,100000,100000,0,24.221601,4128.546171,6.749372,8.599433,11.363490
1,1,3,3,1,100000,100000,0,24.189147,4134.085379,6.735709,8.581368,11.358625
1,1,3,3,1,100000,100000,0,24.292288,4116.532796,6.782556,8.613299,11.387377
1,1,3,3,1,100000,100000,0,24.183055,4135.126902,6.743279,8.597805,11.326833
1,1,3,3,1,100000,100000,0,24.371618,4103.133349,6.791618,8.630866,11.439036
1,1,3,3,1,100000,100000,0,24.071827,4154.233828,6.730332,8.529783,11.298975
1,1,3,3,1,100000,100000,0,24.748234,4040.692350,6.776975,8.584933,11.371712
1,1,3,3,1,100000,100000,0,24.129934,4144.230176,6.731854,8.549641,11.337262
1,1,3,3,1,100000,100000,0,24.208196,4130.832457,6.763466,8.581057,11.352944
1,1,4,4,1,100000,100000,0,24.732006,4043.343691,6.880292,8.740996,11.595815
1,1,4,4,1,100000,100000,0,24.756826,4039.289973,6.875673,8.785006,11.583099
1,1,4,4,1,100000,100000,0,24.837185,4026.221096,6.893291,8.770582,11.664967
1,1,4,4,1,100000,100000,0,24.734303,4042.968255,6.872611,8.740370,11.603416
1,1,4,4,1,100000,100000,0,24.632846,4059.620195,6.857825,8.714496,11.548806
1,1,4,4,1,100000,100000,0,24.597107,4065.518697,6.823179,8.695600,11.562304
1,1,4,4,1,100000,100000,0,24.733473,4043.103777,6.871221,8.768009,11.580373
1,1,4,4,1,100000,100000,0,24.680637,4051.759263,6.874307,8.721652,11.571380
1,1,4,4,1,100000,100000,0,24.698524,4048.824926,6.875084,8.729554,11.578817
1,1,4,4,1,100000,100000,0,25.197948,3968.577186,7.018458,8.906239,11.761842
1,1,5,5,1,100000,100000,0,26.061037,3837.145871,7.237780,9.185909,12.122438
1,1,5,5,1,100000,100000,0,26.098719,3831.605726,7.263951,9.153118,12.163977
1,1,5,5,1,100000,100000,0,26.234556,3811.766476,7.303575,9.203420,12.214160
1,1,5,5,1,100000,100000,0,41.159727,2429.559365,7.323212,9.200503,12.205883
1,1,5,5,1,100000,100000,0,10.558631,9470.925047,7.236901,9.120019,12.095308
1,1,5,5,1,100000,100000,0,26.266446,3807.138641,7.299135,9.228719,12.223095
1,1,5,5,1,100000,100000,0,26.345373,3795.732894,7.352211,9.266181,12.211405
1,1,5,5,1,100000,100000,0,26.138207,3825.817102,7.268151,9.205134,12.152232
1,1,5,5,1,100000,100000,0,26.080726,3834.249145,7.283496,9.154593,12.126221
1,1,5,5,1,100000,100000,0,25.685743,3893.210331,7.304005,9.208775,12.158921
1,1,8,8,1,100000,100000,0,34.320245,2913.732079,10.104721,12.060064,15.141891
1,1,8,8,1,100000,100000,0,34.550922,2894.278799,10.331907,12.394575,15.303504
1,1,8,8,1,100000,100000,0,34.024499,2939.058727,10.186567,12.143272,15.176585
1,1,8,8,1,100000,100000,0,34.134430,2929.593410,10.175843,12.142142,15.304300
1,1,8,8,1,100000,100000,0,34.379469,2908.712714,10.280566,12.278346,15.299015
1,1,8,8,1,100000,100000,0,34.509740,2897.732608,10.297729,12.261173,15.431215
1,1,8,8,1,100000,100000,0,33.805234,2958.121802,10.077301,12.105640,15.110699
1,1,8,8,1,100000,100000,0,34.621887,2888.346362,10.220545,12.185625,15.198567
1,1,8,8,1,100000,100000,0,36.456957,2742.960725,11.214160,13.085989,16.140970
1,1,8,8,1,100000,100000,0,34.433141,2904.178875,10.314186,12.307100,15.294753
