OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,2,2,4,1,100000,100000,0,8.947349,11176.495018,10.277836,11.342917,13.548705
1,2,2,4,1,100000,100000,0,8.803005,11359.757158,10.341141,11.438124,13.660102
1,2,2,4,1,100000,100000,0,8.691078,11506.052095,10.021401,11.018547,13.234925
1,2,2,4,1,100000,100000,0,8.634546,11581.385369,10.025190,10.984849,13.149295
1,2,2,4,1,100000,100000,0,8.624622,11594.710599,9.882974,10.900873,13.112308
1,2,2,4,1,100000,100000,0,23.850243,4192.829411,9.918773,10.917525,13.106097
1,2,2,4,1,100000,100000,0,8.721636,11465.738140,10.025343,10.994490,13.179917
1,2,2,4,1,100000,100000,0,-6.630002,-15082.952265,10.000689,10.899149,13.089699
1,2,2,4,1,100000,100000,0,8.606172,11619.568272,9.915999,10.914123,13.130227
1,2,2,4,1,100000,100000,0,8.589836,11641.665403,9.860104,10.843459,13.039364
1,2,3,6,1,100000,100000,0,6.453394,15495.723196,11.448745,12.609938,15.130591
1,2,3,6,1,100000,100000,0,6.436434,15536.554109,11.769400,12.926355,15.562954
1,2,3,6,1,100000,100000,0,5.987039,16702.748035,11.751749,12.922840,15.536154
1,2,3,6,1,100000,100000,0,6.438902,15530.599194,11.855928,13.047505,15.700284
1,2,3,6,1,100000,100000,0,6.064090,16490.520310,11.126893,12.269455,14.849419
1,2,3,6,1,100000,100000,0,6.385403,15660.717906,11.008587,12.157356,14.631007
1,2,3,6,1,100000,100000,0,6.349307,15749.750183,10.954355,12.073325,14.487674
1,2,3,6,1,100000,100000,0,6.480019,15432.052500,11.056005,12.233062,14.698638
1,2,3,6,1,100000,100000,0,6.488337,15412.269551,11.158334,12.296338,14.855875
1,2,3,6,1,100000,100000,0,6.532696,15307.615746,11.278150,12.411163,15.027043
1,2,4,8,1,100000,100000,0,6.823062,14656.176744,15.302740,16.980955,21.052180
1,2,4,8,1,100000,100000,0,8.978198,11138.092485,19.931201,22.202146,26.284624
1,2,4,8,1,100000,100000,0,6.872816,14550.075766,14.548320,16.241203,19.921968
1,2,4,8,1,100000,100000,0,7.037973,14208.635564,15.263998,16.994228,20.483472
1,2,4,8,1,100000,100000,0,8.764088,11410.200617,19.981699,21.937014,26.650486
1,2,4,8,1,100000,100000,0,6.861988,14573.035642,14.949052,16.526934,19.842731
1,2,4,8,1,100000,100000,0,8.682059,11518.005138,20.106617,21.957462,25.964699
1,2,4,8,1,100000,100000,0,6.755986,14801.688627,15.451310,17.041160,20.365207
1,2,4,8,1,100000,100000,0,8.497264,11768.494446,19.375156,21.720102,25.829826
1,2,4,8,1,100000,100000,0,6.961277,14365.179625,15.711622,17.386468,20.939218
1,3,2,6,1,100000,100000,0,6.456261,15488.840586,11.848392,13.021924,15.565489
1,3,2,6,1,100000,100000,0,6.710529,14901.954302,11.460724,12.681742,15.124187
1,3,2,6,1,100000,100000,0,6.809474,14685.421151,11.491737,12.697557,15.199951
1,3,2,6,1,100000,100000,0,8.825411,11330.917341,15.387964,16.779059,19.987147
1,3,2,6,1,100000,100000,0,6.449152,15505.914699,11.096304,12.272576,14.708241
1,3,2,6,1,100000,100000,0,6.566078,15229.792143,11.083853,12.248561,14.726806
1,3,2,6,1,100000,100000,0,6.555079,15255.345979,11.243478,12.417594,14.871149
1,3,2,6,1,100000,100000,0,6.614621,15118.025061,11.287036,12.512024,14.979227
1,3,2,6,1,100000,100000,0,6.664705,15004.414466,11.424080,12.617545,15.071512
1,3,2,6,1,100000,100000,0,6.702782,14919.178275,11.444140,12.580253,15.025517
1,3,3,9,1,100000,100000,0,8.601391,11626.026190,21.319938,24.001774,29.012539
1,3,3,9,1,100000,100000,0,8.786858,11380.632564,22.206494,24.624292,29.374875
1,3,3,9,1,100000,100000,0,7.101056,14082.411903,17.613012,19.149757,23.034921
1,3,3,9,1,100000,100000,0,8.731979,11452.158060,22.086120,23.877510,28.899125
1,3,3,9,1,100000,100000,0,6.788026,14731.822354,17.864363,19.424731,23.375528
1,3,3,9,1,100000,100000,0,8.416949,11880.789774,23.224265,25.762438,31.128026
1,3,3,9,1,100000,100000,0,8.668165,11536.466563,23.825339,26.032695,31.414424
1,3,3,9,1,100000,100000,0,6.306465,15856.742961,16.696480,18.459186,22.146786
1,3,3,9,1,100000,100000,0,8.577069,11658.994983,21.722315,23.832764,28.678631
1,3,3,9,1,100000,100000,0,6.564659,15233.084747,16.398291,18.177882,21.712091
1,3,4,12,1,100000,100000,0,8.615435,11607.074898,28.311252,31.321602,38.359499
1,3,4,12,1,100000,100000,0,6.648466,15041.063296,21.773929,23.989542,28.868644
1,3,4,12,1,100000,100000,0,8.543518,11704.780618,28.928594,31.320529,37.300850
1,3,4,12,1,100000,100000,0,8.844081,11306.997680,26.369583,28.912710,35.247494
1,3,4,12,1,100000,100000,0,6.192604,16148.295695,20.218623,22.274146,27.198539
1,3,4,12,1,100000,100000,0,8.530827,11722.192564,29.483069,32.148637,38.888877
1,3,4,12,1,100000,100000,0,6.701106,14922.910678,22.854039,25.108534,30.211556
1,3,4,12,1,100000,100000,0,8.429944,11862.475106,30.859957,33.881259,41.193444
1,3,4,12,1,100000,100000,0,6.583412,15189.692663,23.207161,25.841758,31.366583
1,3,4,12,1,100000,100000,0,8.949191,11174.194131,31.323576,34.809540,41.797552
1,4,2,8,1,100000,100000,0,9.319399,10730.305464,17.257010,18.871308,22.555758
1,4,2,8,1,100000,100000,0,6.786359,14735.442969,14.361504,15.732263,18.740320
1,4,2,8,1,100000,100000,0,9.245817,10815.702329,19.872342,21.580198,25.993515
1,4,2,8,1,100000,100000,0,6.825748,14650.409830,14.323018,15.744025,18.735592
1,4,2,8,1,100000,100000,0,8.966984,11152.022162,19.581230,21.101594,25.015603
1,4,2,8,1,100000,100000,0,7.076771,14130.739179,14.776537,16.102913,19.510052
1,4,2,8,1,100000,100000,0,8.925014,11204.464281,19.529408,21.342790,25.915834
1,4,2,8,1,100000,100000,0,7.311902,13676.331188,14.966129,16.414305,19.786764
1,4,2,8,1,100000,100000,0,8.956505,11165.069787,19.860883,21.293959,25.286110
1,4,2,8,1,100000,100000,0,9.231661,10832.286803,16.366228,17.951683,21.403446
1,4,3,12,1,100000,100000,0,6.779712,14749.889464,21.367471,23.383236,28.371696
1,4,3,12,1,100000,100000,0,8.964799,11154.739526,29.924130,32.489125,38.587635
1,4,3,12,1,100000,100000,0,6.763008,14786.320078,21.883321,24.104346,28.684144
1,4,3,12,1,100000,100000,0,8.739567,11442.214614,28.878891,31.539286,38.233189
1,4,3,12,1,100000,100000,0,7.920674,12625.188210,23.993188,26.279155,31.754344
1,4,3,12,1,100000,100000,0,6.621660,15101.953250,21.122424,23.096179,27.495113
1,4,3,12,1,100000,100000,0,8.914327,11217.897370,28.683658,31.691743,38.692765
1,4,3,12,1,100000,100000,0,6.747483,14820.340674,22.016862,23.824638,29.531004
1,4,3,12,1,100000,100000,0,8.769132,11403.637858,29.142655,32.236915,38.627030
1,4,3,12,1,100000,100000,0,6.806716,14691.372397,22.252621,24.522383,29.201129
1,4,4,16,1,100000,100000,0,8.927991,11200.728640,38.164770,42.202747,51.602890
1,4,4,16,1,100000,100000,0,9.001671,11109.049106,35.521486,39.410115,47.923555
1,4,4,16,1,100000,100000,0,6.541431,15287.175941,28.291143,31.726861,37.886013
1,4,4,16,1,100000,100000,0,8.711570,11478.986855,38.375701,41.333477,49.549177
1,4,4,16,1,100000,100000,0,7.222239,13846.121688,28.902910,31.429507,37.334805
1,4,4,16,1,100000,100000,0,6.882970,14528.611392,30.322550,30.901283,36.654109
1,4,4,16,1,100000,100000,0,8.720065,11467.804847,38.181630,41.965693,51.057911
1,4,4,16,1,100000,100000,0,6.776508,14756.864048,28.803152,31.744079,37.735583
1,4,4,16,1,100000,100000,0,7.419128,13478.672133,32.687515,34.543276,41.221018
