OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,41.693141,2398.476022,25.737082,26.384341,32.091349
1,1,2,2,1,100000,100000,0,37.746659,2649.241084,21.481137,23.958883,29.322948
1,1,2,2,1,100000,100000,0,17.366322,5758.271641,10.533166,11.943085,14.627255
1,1,2,2,1,100000,100000,0,37.176679,2689.858373,21.556251,24.213125,29.508619
1,1,2,2,1,100000,100000,0,17.189929,5817.359602,9.660635,10.915760,13.419632
1,1,2,2,1,100000,100000,0,17.542602,5700.408497,9.910635,11.226747,13.751912
1,1,2,2,1,100000,100000,0,37.616865,2658.382072,21.904922,24.516182,30.041719
1,1,2,2,1,100000,100000,0,17.880376,5592.723420,10.262704,11.501083,13.980360
1,1,2,2,1,100000,100000,0,37.792233,2646.046333,21.795839,23.802225,29.240600
1,1,2,2,1,100000,100000,0,17.262072,5793.047392,9.807517,10.994786,13.427518
1,1,3,3,1,100000,100000,0,34.097946,2932.727964,31.182369,33.203558,40.394676
1,1,3,3,1,100000,100000,0,12.466919,8021.228260,10.907215,12.363634,15.051887
1,1,3,3,1,100000,100000,0,30.878491,3238.500188,26.368106,29.499367,35.764567
1,1,3,3,1,100000,100000,0,14.207569,7038.501875,12.150920,13.502179,16.546268
1,1,3,3,1,100000,100000,0,32.114084,3113.898581,28.677624,30.070748,36.523412
1,1,3,3,1,100000,100000,0,12.496920,8001.971980,10.547620,11.955006,14.647741
1,1,3,3,1,100000,100000,0,12.737445,7850.868252,10.808838,12.325848,14.987205
1,1,3,3,1,100000,100000,0,12.993385,7696.224087,11.010138,12.438759,15.190529
1,1,3,3,1,100000,100000,0,31.966480,3128.276863,27.527916,30.416346,36.856022
1,1,3,3,1,100000,100000,0,32.938235,3035.985419,28.956692,31.116955,37.609839
1,1,4,4,1,100000,100000,0,9.519735,10504.493744,10.718544,12.162020,14.839749
1,1,4,4,1,100000,100000,0,9.667170,10344.289020,11.375084,12.872635,15.673948
1,1,4,4,1,100000,100000,0,9.649143,10363.614172,11.824797,13.322828,16.385954
1,1,4,4,1,100000,100000,0,9.963784,10036.347933,11.662544,13.205892,16.266885
1,1,4,4,1,100000,100000,0,-5.535143,-18066.381764,11.012124,12.363082,15.150807
1,1,4,4,1,100000,100000,0,9.671330,10339.839136,10.816979,12.349100,15.141233
1,1,4,4,1,100000,100000,0,9.717526,10290.684670,10.904803,12.389789,15.199942
1,1,4,4,1,100000,100000,0,9.726032,10281.685310,10.984463,12.347509,15.188550
1,1,4,4,1,100000,100000,0,9.652044,10360.499704,10.881676,12.285771,15.051852
1,1,4,4,1,100000,100000,0,9.987734,10012.281119,11.245718,12.737788,15.576524
1,1,5,5,1,100000,100000,0,8.321665,12016.826243,12.846467,14.413640,17.706135
1,1,5,5,1,100000,100000,0,8.232920,12146.358661,12.099615,13.781842,16.926880
1,1,5,5,1,100000,100000,0,8.504105,11759.026632,12.021895,13.523979,16.535249
1,1,5,5,1,100000,100000,0,8.454173,11828.478303,11.811756,13.456965,16.561763
1,1,5,5,1,100000,100000,0,8.564955,11675.485002,11.982834,13.654914,16.740609
1,1,5,5,1,100000,100000,0,8.769089,11403.692929,12.318055,13.909378,17.131749
1,1,5,5,1,100000,100000,0,-6.395498,-15635.999821,12.403506,14.115173,17.291779
1,1,5,5,1,100000,100000,0,9.137954,10943.368448,12.794626,14.569515,17.832570
1,1,5,5,1,100000,100000,0,9.010859,11097.720755,12.541526,14.369020,17.658108
1,1,5,5,1,100000,100000,0,9.000232,11110.825263,12.686108,14.276268,17.546863
1,1,8,8,1,100000,100000,0,7.776696,12858.931756,17.351248,19.664172,24.391798
1,1,8,8,1,100000,100000,0,7.870965,12704.922352,17.604121,20.113785,24.265072
1,1,8,8,1,100000,100000,0,7.802981,12815.615353,17.220695,19.934650,24.372273
1,1,8,8,1,100000,100000,0,7.896488,12663.858106,17.400240,20.258895,24.583803
1,1,8,8,1,100000,100000,0,9.734933,10272.284121,21.565547,24.790285,30.385134
1,1,8,8,1,100000,100000,0,7.868716,12708.553668,17.227667,19.973709,24.927242
1,1,8,8,1,100000,100000,0,9.718283,10289.883476,21.564368,24.763603,30.162482
1,1,8,8,1,100000,100000,0,24.914879,4013.665950,21.169290,24.516032,30.539753
1,1,8,8,1,100000,100000,0,7.773805,12863.712917,17.122581,19.874645,24.125221
1,1,8,8,1,100000,100000,0,9.781214,10223.680137,21.259403,24.659604,30.375614
