OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,10000,10000,0,1.034179,9669.505133
1,2,2,4,1,10000,10000,0,0.970878,10299.958173
1,2,2,4,1,10000,10000,0,1.025936,9747.200516
1,2,2,4,1,10000,10000,0,0.926856,10789.159569
1,2,2,4,1,10000,10000,0,0.974564,10260.998091
1,2,2,4,1,10000,10000,0,0.917111,10903.811149
1,2,2,4,1,10000,10000,0,0.583935,17125.179270
1,2,2,4,1,10000,10000,0,0.924612,10815.352429
1,2,2,4,1,10000,10000,0,0.902195,11084.082244
1,2,2,4,1,10000,10000,0,0.908006,11013.138828
1,2,3,6,1,10000,10000,0,0.377232,26508.855562
1,2,3,6,1,10000,10000,0,0.696849,14350.310074
1,2,3,6,1,10000,10000,0,0.714274,14000.224331
1,2,3,6,1,10000,10000,0,0.691504,14461.224214
1,2,3,6,1,10000,10000,0,0.239367,41776.776323
1,2,3,6,1,10000,10000,0,0.703054,14223.652730
1,2,3,6,1,10000,10000,0,0.697418,14338.593441
1,2,3,6,1,10000,10000,0,0.707439,14135.486935
1,2,3,6,1,10000,10000,0,16.928466,590.720995
1,2,3,6,1,10000,10000,0,0.723875,13814.540261
1,2,4,8,1,10000,10000,0,0.634348,15764.205944
1,2,4,8,1,10000,10000,0,0.629713,15880.256060
1,2,4,8,1,10000,10000,0,0.628425,15912.804046
1,2,4,8,1,10000,10000,0,0.639174,15645.190363
1,2,4,8,1,10000,10000,0,0.607465,16461.858295
1,2,4,8,1,10000,10000,0,0.602729,16591.211055
1,2,4,8,1,10000,10000,0,0.598266,16714.968217
1,2,4,8,1,10000,10000,0,0.295930,33791.721984
1,2,4,8,1,10000,10000,0,0.602150,16607.147977
1,2,4,8,1,10000,10000,0,0.592148,16887.655743
1,3,2,6,1,10000,10000,0,0.703581,14213.004090
1,3,2,6,1,10000,10000,0,0.366539,27282.193102
1,3,2,6,1,10000,10000,0,0.708840,14107.549519
1,3,2,6,1,10000,10000,0,0.691251,14466.524012
1,3,2,6,1,10000,10000,0,0.699025,14305.644092
1,3,2,6,1,10000,10000,0,0.386085,25901.034840
1,3,2,6,1,10000,10000,0,0.672633,14866.951319
1,3,2,6,1,10000,10000,0,0.695036,14387.742537
1,3,2,6,1,10000,10000,0,0.682449,14653.112981
1,3,2,6,1,10000,10000,0,0.700426,14277.024697
1,3,3,9,1,10000,10000,0,0.640999,15600.655470
1,3,3,9,1,10000,10000,0,0.626729,15955.863630
1,3,3,9,1,10000,10000,0,0.675323,14807.718408
1,3,3,9,1,10000,10000,0,0.688357,14527.349875
1,3,3,9,1,10000,10000,0,0.628217,15918.064704
1,3,3,9,1,10000,10000,0,0.615977,16234.371254
1,3,3,9,1,10000,10000,0,0.326830,30596.930510
1,3,3,9,1,10000,10000,0,0.624497,16012.885890
1,3,3,9,1,10000,10000,0,0.640170,15620.860057
1,3,3,9,1,10000,10000,0,0.665671,15022.425086
1,4,2,8,1,10000,10000,0,0.348923,28659.623979
1,4,2,8,1,10000,10000,0,0.603522,16569.404017
1,4,2,8,1,10000,10000,0,0.613449,16301.270137
1,4,2,8,1,10000,10000,0,0.641521,15587.964434
1,4,2,8,1,10000,10000,0,0.651306,15353.774942
1,4,2,8,1,10000,10000,0,0.627094,15946.579342
1,4,2,8,1,10000,10000,0,0.622528,16063.546542
1,4,2,8,1,10000,10000,0,0.609312,16411.947228
1,4,2,8,1,10000,10000,0,0.642052,15575.070777
1,4,2,8,1,10000,10000,0,0.605319,16520.224131
1,4,4,16,1,10000,10000,0,17.033762,587.069360
