OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,10000,10000,0,2.762257,3620.227781
0,1,1,1,1,10000,10000,0,2.394160,4176.830229
0,1,1,1,1,10000,10000,0,2.619539,3817.465277
0,1,1,1,1,10000,10000,0,2.518555,3970.530026
0,1,1,1,1,10000,10000,0,2.646086,3779.166281
0,1,1,1,1,10000,10000,0,2.424624,4124.351103
0,1,1,1,1,10000,10000,0,2.623401,3811.845427
0,1,1,1,1,10000,10000,0,2.355641,4245.129719
0,1,1,1,1,10000,10000,0,2.625361,3808.999649
0,1,1,1,1,10000,10000,0,2.500546,3999.127248
1,1,2,2,1,10000,10000,0,2.838811,3522.601346
1,1,2,2,1,10000,10000,0,2.621483,3814.634546
1,1,2,2,1,10000,10000,0,2.547447,3925.498308
1,1,2,2,1,10000,10000,0,2.923453,3420.612037
1,1,2,2,1,10000,10000,0,2.469349,4049.649803
1,1,2,2,1,10000,10000,0,2.880210,3471.968676
1,1,2,2,1,10000,10000,0,2.645606,3779.851874
1,1,2,2,1,10000,10000,0,2.865931,3489.268027
1,1,2,2,1,10000,10000,0,2.698105,3706.304736
1,1,2,2,1,10000,10000,0,3.078419,3248.420298
1,1,3,3,1,10000,10000,0,2.334986,4282.680423
1,1,3,3,1,10000,10000,0,2.704527,3697.504622
1,1,3,3,1,10000,10000,0,2.394786,4175.737744
1,1,3,3,1,10000,10000,0,2.741615,3647.485400
1,1,3,3,1,10000,10000,0,2.349105,4256.940197
1,1,3,3,1,10000,10000,0,2.586132,3866.777925
1,1,3,3,1,10000,10000,0,2.406067,4156.160691
1,1,3,3,1,10000,10000,0,2.570162,3890.804661
1,1,3,3,1,10000,10000,0,2.372231,4215.440499
1,1,3,3,1,10000,10000,0,2.715982,3681.909636
1,1,4,4,1,10000,10000,0,2.341205,4271.304096
1,1,4,4,1,10000,10000,0,2.681650,3729.047558
1,1,4,4,1,10000,10000,0,2.404854,4158.255891
1,1,4,4,1,10000,10000,0,2.722401,3673.227859
1,1,4,4,1,10000,10000,0,19.097351,523.632842
1,1,4,4,1,10000,10000,0,2.668334,3747.656859
1,1,4,4,1,10000,10000,0,2.716137,3681.699644
1,1,4,4,1,10000,10000,0,2.688712,3719.253365
1,1,4,4,1,10000,10000,0,2.680394,3730.794580
1,1,5,5,1,10000,10000,0,2.851762,3506.604595
1,1,5,5,1,10000,10000,0,2.553492,3916.205763
1,1,5,5,1,10000,10000,0,2.820110,3545.960844
1,1,5,5,1,10000,10000,0,2.559053,3907.695366
1,1,5,5,1,10000,10000,0,2.855523,3501.985454
1,1,5,5,1,10000,10000,0,2.481766,4029.388764
1,1,5,5,1,10000,10000,0,2.840955,3519.943380
1,1,5,5,1,10000,10000,0,2.535375,3944.189821
1,1,5,5,1,10000,10000,0,2.861469,3494.708642
1,1,5,5,1,10000,10000,0,2.553767,3915.783293
1,1,8,8,1,10000,10000,0,19.776087,505.661211
1,1,8,8,1,10000,10000,0,3.513335,2846.298503
1,1,8,8,1,10000,10000,0,3.172473,3152.115365
1,1,8,8,1,10000,10000,0,3.424802,2919.876744
1,1,8,8,1,10000,10000,0,3.223645,3102.078569
1,1,8,8,1,10000,10000,0,3.141621,3183.070145
1,1,8,8,1,10000,10000,0,3.445663,2902.198671
1,1,8,8,1,10000,10000,0,3.132240,3192.602903
1,1,8,8,1,10000,10000,0,3.195551,3129.351017
1,1,8,8,1,10000,10000,0,3.456889,2892.774772
