OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,10000,10000,0,12.197725,819.825031
1,1,2,2,1,10000,10000,0,11.216639,891.532664
1,1,2,2,1,10000,10000,0,1.673546,5975.335135
1,1,2,2,1,10000,10000,0,1.577573,6338.849836
1,1,2,2,1,10000,10000,0,1.750041,5714.152875
1,1,2,2,1,10000,10000,0,1.892540,5283.904230
1,1,2,2,1,10000,10000,0,1.662730,6014.205749
1,1,2,2,1,10000,10000,0,1.701740,5876.338578
1,1,2,2,1,10000,10000,0,1.611372,6205.890312
1,1,2,2,1,10000,10000,0,1.933393,5172.255427
1,1,3,3,1,10000,10000,0,1.355745,7376.017182
1,1,3,3,1,10000,10000,0,1.407503,7104.778201
1,1,3,3,1,10000,10000,0,1.054657,9481.753720
1,1,3,3,1,10000,10000,0,1.328085,7529.636742
1,1,3,3,1,10000,10000,0,1.337270,7477.922192
1,1,3,3,1,10000,10000,0,1.358363,7361.803613
1,1,3,3,1,10000,10000,0,0.995944,10040.729375
1,1,3,3,1,10000,10000,0,1.391997,7183.924334
1,1,3,3,1,10000,10000,0,1.355352,7378.157173
1,1,3,3,1,10000,10000,0,8.639467,1157.478875
1,1,4,4,1,10000,10000,0,9.140732,1094.004321
1,1,4,4,1,10000,10000,0,5.238015,1909.120200
1,1,4,4,1,10000,10000,0,1.022717,9777.873582
1,1,4,4,1,10000,10000,0,0.999036,10009.649913
1,1,4,4,1,10000,10000,0,1.048366,9538.656925
1,1,4,4,1,10000,10000,0,0.713546,14014.515591
1,1,4,4,1,10000,10000,0,0.987464,10126.954602
1,1,4,4,1,10000,10000,0,1.016689,9835.851936
1,1,4,4,1,10000,10000,0,1.025849,9748.022879
1,1,4,4,1,10000,10000,0,1.017765,9825.451966
1,1,5,5,1,10000,10000,0,0.571052,17511.551543
1,1,5,5,1,10000,10000,0,0.894715,11176.746693
1,1,5,5,1,10000,10000,0,0.892502,11204.457162
1,1,5,5,1,10000,10000,0,0.892187,11208.412033
1,1,5,5,1,10000,10000,0,0.874569,11434.207814
1,1,5,5,1,10000,10000,0,0.892704,11201.917740
1,1,5,5,1,10000,10000,0,0.561671,17804.013804
1,1,5,5,1,10000,10000,0,0.896162,11158.697426
1,1,5,5,1,10000,10000,0,0.903054,11073.538116
1,1,5,5,1,10000,10000,0,0.883966,11312.657748
1,1,8,8,1,10000,10000,0,0.645929,15481.586996
1,1,8,8,1,10000,10000,0,0.644161,15524.068546
1,1,8,8,1,10000,10000,0,0.657380,15211.907392
1,1,8,8,1,10000,10000,0,0.710186,14080.824272
1,1,8,8,1,10000,10000,0,0.779333,12831.489107
1,1,8,8,1,10000,10000,0,0.755385,13238.286023
1,1,8,8,1,10000,10000,0,0.718214,13923.436202
1,1,8,8,1,10000,10000,0,0.704651,14191.422723
1,1,8,8,1,10000,10000,0,0.717307,13941.038014
1,1,8,8,1,10000,10000,0,0.708391,14116.493406
