OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,50000,50000,0,44.866540,1114.416218
1,1,2,2,1,50000,50000,0,9.058545,5519.650501
1,1,2,2,1,50000,50000,0,8.630914,5793.128941
1,1,2,2,1,50000,50000,0,29.635707,1687.153946
1,1,2,2,1,50000,50000,0,8.572646,5832.504786
1,1,2,2,1,50000,50000,0,8.744515,5717.869960
1,1,2,2,1,50000,50000,0,29.180036,1713.500304
1,1,2,2,1,50000,50000,0,8.714829,5737.347004
1,1,2,2,1,50000,50000,0,29.180873,1713.451142
1,1,2,2,1,50000,50000,0,8.566397,5836.759341
1,1,3,3,1,50000,50000,0,6.707375,7454.481282
1,1,3,3,1,50000,50000,0,26.745231,1869.492199
1,1,3,3,1,50000,50000,0,5.644418,8858.309508
1,1,3,3,1,50000,50000,0,6.564006,7617.299703
1,1,3,3,1,50000,50000,0,26.481014,1888.145189
1,1,3,3,1,50000,50000,0,6.396591,7816.663575
1,1,3,3,1,50000,50000,0,5.972556,8371.625428
1,1,3,3,1,50000,50000,0,19.733463,2533.767100
1,1,3,3,1,50000,50000,0,14.455328,3458.932158
1,1,3,3,1,50000,50000,0,6.422739,7784.841074
1,1,4,4,1,50000,50000,0,4.830614,10350.652144
1,1,4,4,1,50000,50000,0,4.816225,10381.574507
1,1,4,4,1,50000,50000,0,4.869682,10267.611616
1,1,4,4,1,50000,50000,0,4.806505,10402.568211
1,1,4,4,1,50000,50000,0,4.886999,10231.228431
1,1,4,4,1,50000,50000,0,4.953637,10093.592952
1,1,4,4,1,50000,50000,0,5.012744,9974.576072
1,1,4,4,1,50000,50000,0,5.096718,9810.234782
1,1,4,4,1,50000,50000,0,5.085903,9831.095764
1,1,4,4,1,50000,50000,0,5.117820,9769.784092
1,1,5,5,1,50000,50000,0,4.976542,10047.137948
1,1,5,5,1,50000,50000,0,5.111560,9781.750412
1,1,5,5,1,50000,50000,0,5.105556,9793.252715
1,1,5,5,1,50000,50000,0,5.185613,9642.061513
1,1,5,5,1,50000,50000,0,5.249111,9525.422646
1,1,5,5,1,50000,50000,0,5.060609,9880.233040
1,1,5,5,1,50000,50000,0,5.259491,9506.624229
1,1,5,5,1,50000,50000,0,5.285830,9459.252153
1,1,5,5,1,50000,50000,0,5.280896,9468.090635
1,1,5,5,1,50000,50000,0,5.123147,9759.625596
1,1,8,8,1,50000,50000,0,3.539741,14125.327875
1,1,8,8,1,50000,50000,0,3.359536,14883.008132
1,1,8,8,1,50000,50000,0,3.863816,12940.573504
1,1,8,8,1,50000,50000,0,3.413161,14649.178794
1,1,8,8,1,50000,50000,0,3.454487,14473.930683
1,1,8,8,1,50000,50000,0,3.563512,14031.103827
1,1,8,8,1,50000,50000,0,4.174992,11976.070614
1,1,8,8,1,50000,50000,0,3.882948,12876.813352
1,1,8,8,1,50000,50000,0,3.980335,12561.755837
1,1,8,8,1,50000,50000,0,4.081864,12249.304575
