OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,100000,100000,0,23.959575,4173.696698
0,1,1,1,1,100000,100000,0,23.776827,4205.775682
0,1,1,1,1,100000,100000,0,23.764761,4207.911081
0,1,1,1,1,100000,100000,0,23.579335,4241.001789
0,1,1,1,1,100000,100000,0,23.955186,4174.461440
0,1,1,1,1,100000,100000,0,23.665062,4225.638544
0,1,1,1,1,100000,100000,0,23.739566,4212.376842
0,1,1,1,1,100000,100000,0,23.708352,4217.922904
0,1,1,1,1,100000,100000,0,23.620025,4233.695694
0,1,1,1,1,100000,100000,0,23.739145,4212.451595
1,1,2,2,1,100000,100000,0,17.199845,5814.005832
1,1,2,2,1,100000,100000,0,17.776717,5625.335625
1,1,2,2,1,100000,100000,0,16.615035,6018.645166
1,1,2,2,1,100000,100000,0,16.493874,6062.856910
1,1,2,2,1,100000,100000,0,16.503683,6059.253444
1,1,2,2,1,100000,100000,0,16.415186,6091.919868
1,1,2,2,1,100000,100000,0,16.780377,5959.341720
1,1,2,2,1,100000,100000,0,16.543945,6044.507611
1,1,2,2,1,100000,100000,0,16.587433,6028.660541
1,1,2,2,1,100000,100000,0,16.376839,6106.184301
1,1,3,3,1,100000,100000,0,14.680502,6811.756102
1,1,3,3,1,100000,100000,0,29.586542,3379.915155
1,1,3,3,1,100000,100000,0,-0.455071,-219746.136430
1,1,3,3,1,100000,100000,0,14.661646,6820.516768
1,1,3,3,1,100000,100000,0,14.705985,6799.952681
1,1,3,3,1,100000,100000,0,14.573564,6861.739415
1,1,3,3,1,100000,100000,0,14.590525,6853.762769
1,1,3,3,1,100000,100000,0,14.602529,6848.128704
1,1,3,3,1,100000,100000,0,16.073505,6221.418557
1,1,3,3,1,100000,100000,0,14.678577,6812.649310
1,1,4,4,1,100000,100000,0,15.836694,6314.449312
1,1,4,4,1,100000,100000,0,14.946638,6690.467810
1,1,4,4,1,100000,100000,0,15.226074,6567.681285
1,1,4,4,1,100000,100000,0,14.896502,6712.985581
1,1,4,4,1,100000,100000,0,14.937854,6694.401840
1,1,4,4,1,100000,100000,0,14.857220,6730.734381
1,1,4,4,1,100000,100000,0,14.943673,6691.795099
1,1,4,4,1,100000,100000,0,14.873712,6723.271323
1,1,4,4,1,100000,100000,0,29.782554,3357.670395
1,1,4,4,1,100000,100000,0,-0.087962,-1136857.678538
1,1,5,5,1,100000,100000,0,15.822788,6319.998559
1,1,5,5,1,100000,100000,0,15.888075,6294.028829
1,1,5,5,1,100000,100000,0,15.922008,6280.615021
1,1,5,5,1,100000,100000,0,15.854965,6307.172695
1,1,5,5,1,100000,100000,0,15.877435,6298.246637
1,1,5,5,1,100000,100000,0,15.815541,6322.894503
1,1,5,5,1,100000,100000,0,15.850284,6309.035351
1,1,5,5,1,100000,100000,0,15.751323,6348.673112
1,1,5,5,1,100000,100000,0,15.921065,6280.986703
1,1,5,5,1,100000,100000,0,15.841865,6312.388041
1,1,8,8,1,100000,100000,0,20.900709,4784.526673
1,1,8,8,1,100000,100000,0,22.895579,4367.655463
1,1,8,8,1,100000,100000,0,20.890202,4786.933188
1,1,8,8,1,100000,100000,0,21.233414,4709.558310
1,1,8,8,1,100000,100000,0,21.167316,4724.264578
1,1,8,8,1,100000,100000,0,21.568257,4636.443307
1,1,8,8,1,100000,100000,0,22.200822,4504.337687
1,1,8,8,1,100000,100000,0,22.103151,4524.241767
1,1,8,8,1,100000,100000,0,22.045394,4536.094936
1,1,8,8,1,100000,100000,0,22.391090,4466.062078
