OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,6.677557,14975.537367
1,2,2,4,1,100000,100000,0,6.240612,16024.068261
1,2,2,4,1,100000,100000,0,6.538817,15293.287380
1,2,2,4,1,100000,100000,0,6.593892,15165.551136
1,2,2,4,1,100000,100000,0,-7.866069,-12712.830409
1,2,2,4,1,100000,100000,0,6.462588,15473.676199
1,2,2,4,1,100000,100000,0,6.123733,16329.909410
1,2,2,4,1,100000,100000,0,6.572752,15214.327385
1,2,2,4,1,100000,100000,0,6.489150,15410.337761
1,2,2,4,1,100000,100000,0,5.904660,16935.777541
1,2,3,6,1,100000,100000,0,4.851126,20613.769975
1,2,3,6,1,100000,100000,0,4.785992,20894.308772
1,2,3,6,1,100000,100000,0,4.886693,20463.735638
1,2,3,6,1,100000,100000,0,4.700742,21273.239457
1,2,3,6,1,100000,100000,0,4.713996,21213.426795
1,2,3,6,1,100000,100000,0,4.849279,20621.620342
1,2,3,6,1,100000,100000,0,4.798057,20841.771693
1,2,3,6,1,100000,100000,0,4.633432,21582.273325
1,2,3,6,1,100000,100000,0,4.778438,20927.340600
1,2,3,6,1,100000,100000,0,-9.221797,-10843.873782
1,2,4,8,1,100000,100000,0,4.952054,20193.638957
1,2,4,8,1,100000,100000,0,4.456563,22438.818367
1,2,4,8,1,100000,100000,0,4.383709,22811.732951
1,2,4,8,1,100000,100000,0,4.450029,22471.763541
1,2,4,8,1,100000,100000,0,3.914131,25548.454465
1,2,4,8,1,100000,100000,0,3.967275,25206.217129
1,2,4,8,1,100000,100000,0,3.904479,25611.612261
1,2,4,8,1,100000,100000,0,3.903947,25615.100539
1,2,4,8,1,100000,100000,0,3.942405,25365.225660
1,2,4,8,1,100000,100000,0,3.895520,25670.515034
1,3,2,6,1,100000,100000,0,4.529301,22078.464034
1,3,2,6,1,100000,100000,0,4.540295,22024.998424
1,3,2,6,1,100000,100000,0,4.578309,21842.126231
1,3,2,6,1,100000,100000,0,4.506651,22189.428451
1,3,2,6,1,100000,100000,0,4.562179,21919.350429
1,3,2,6,1,100000,100000,0,4.530359,22073.307167
1,3,2,6,1,100000,100000,0,4.486065,22291.250731
1,3,2,6,1,100000,100000,0,4.612438,21680.506040
1,3,2,6,1,100000,100000,0,4.542659,22013.536978
1,3,2,6,1,100000,100000,0,-9.330958,-10717.013063
1,3,3,9,1,100000,100000,0,4.434586,22550.017586
1,3,3,9,1,100000,100000,0,4.465921,22391.796040
1,3,3,9,1,100000,100000,0,3.938952,25387.465156
1,3,3,9,1,100000,100000,0,3.967301,25206.050845
1,3,3,9,1,100000,100000,0,3.941069,25373.823850
1,3,3,9,1,100000,100000,0,3.938360,25391.276524
1,3,3,9,1,100000,100000,0,3.965685,25216.325504
1,3,3,9,1,100000,100000,0,4.024002,24850.882886
1,3,3,9,1,100000,100000,0,4.121770,24261.424537
1,3,3,9,1,100000,100000,0,3.988385,25072.806428
1,3,4,12,1,100000,100000,0,4.024622,24847.052576
1,3,4,12,1,100000,100000,0,3.983856,25101.306703
1,3,4,12,1,100000,100000,0,4.037096,24770.282849
1,3,4,12,1,100000,100000,0,3.999361,25003.994282
1,3,4,12,1,100000,100000,0,4.003458,24978.406717
1,3,4,12,1,100000,100000,0,4.072535,24554.733125
1,3,4,12,1,100000,100000,0,4.034189,24788.127588
1,3,4,12,1,100000,100000,0,4.095855,24414.924807
1,3,4,12,1,100000,100000,0,4.079357,24513.667967
1,3,4,12,1,100000,100000,0,4.059046,24636.332854
1,4,2,8,1,100000,100000,0,4.035531,24779.889276
1,4,2,8,1,100000,100000,0,3.982498,25109.868998
1,4,2,8,1,100000,100000,0,3.969223,25193.844697
1,4,2,8,1,100000,100000,0,3.912962,25556.085332
1,4,2,8,1,100000,100000,0,4.048007,24703.514789
1,4,2,8,1,100000,100000,0,3.933574,25422.176423
1,4,2,8,1,100000,100000,0,3.911861,25563.278561
1,4,2,8,1,100000,100000,0,3.935655,25408.730963
1,4,2,8,1,100000,100000,0,18.368642,5444.060506
1,4,2,8,1,100000,100000,0,4.240167,23583.974805
1,4,3,12,1,100000,100000,0,4.130549,24209.858250
1,4,3,12,1,100000,100000,0,4.013226,24917.608669
1,4,3,12,1,100000,100000,0,4.157299,24054.080472
1,4,3,12,1,100000,100000,0,3.982659,25108.855854
1,4,3,12,1,100000,100000,0,4.615038,21668.293270
1,4,3,12,1,100000,100000,0,4.128758,24220.361583
1,4,3,12,1,100000,100000,0,4.146378,24117.431895
1,4,3,12,1,100000,100000,0,4.024661,24846.812944
1,4,3,12,1,100000,100000,0,4.069902,24570.615647
1,4,3,12,1,100000,100000,0,4.059555,24633.238908
1,4,4,16,1,100000,100000,0,4.077772,24523.193579
1,4,4,16,1,100000,100000,0,4.040329,24750.459335
1,4,4,16,1,100000,100000,0,4.053828,24668.039704
1,4,4,16,1,100000,100000,0,4.033244,24793.937074
1,4,4,16,1,100000,100000,0,4.177073,23940.209239
1,4,4,16,1,100000,100000,0,4.057920,24643.165072
1,4,4,16,1,100000,100000,0,4.073994,24545.937557
1,4,4,16,1,100000,100000,0,4.096104,24413.445184
1,4,4,16,1,100000,100000,0,4.094248,24424.507519
1,4,4,16,1,100000,100000,0,4.039756,24753.969487
1,2,2,4,2,100000,100000,0,5.561713,17980.071123
