OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,11.900500,8403.008315
1,1,2,2,1,100000,100000,0,10.867730,9201.553882
1,1,2,2,1,100000,100000,0,11.360222,8802.645095
1,1,2,2,1,100000,100000,0,11.074152,9030.036790
1,1,2,2,1,100000,100000,0,11.198731,8929.583067
1,1,2,2,1,100000,100000,0,10.717208,9330.788801
1,1,2,2,1,100000,100000,0,11.596338,8623.411674
1,1,2,2,1,100000,100000,0,10.969787,9115.946889
1,1,2,2,1,100000,100000,0,11.325098,8829.945752
1,1,2,2,1,100000,100000,0,10.976683,9110.220214
1,1,3,3,1,100000,100000,0,7.891780,12671.413268
1,1,3,3,1,100000,100000,0,7.978867,12533.107271
1,1,3,3,1,100000,100000,0,8.299121,12049.468260
1,1,3,3,1,100000,100000,0,7.893552,12668.568590
1,1,3,3,1,100000,100000,0,8.070495,12390.813875
1,1,3,3,1,100000,100000,0,8.359147,11962.943020
1,1,3,3,1,100000,100000,0,7.982350,12527.638760
1,1,3,3,1,100000,100000,0,7.912497,12638.234960
1,1,3,3,1,100000,100000,0,8.475658,11798.494434
1,1,3,3,1,100000,100000,0,8.197941,12198.185509
1,1,4,4,1,100000,100000,0,6.382284,15668.372167
1,1,4,4,1,100000,100000,0,6.325860,15808.126562
1,1,4,4,1,100000,100000,0,5.808233,17216.941489
1,1,4,4,1,100000,100000,0,6.227154,16058.700163
1,1,4,4,1,100000,100000,0,6.274768,15936.843518
1,1,4,4,1,100000,100000,0,6.454485,15493.101939
1,1,4,4,1,100000,100000,0,5.736869,17431.110012
1,1,4,4,1,100000,100000,0,6.529777,15314.458669
1,1,4,4,1,100000,100000,0,6.318749,15825.917252
1,1,4,4,1,100000,100000,0,6.216334,16086.650623
1,1,5,5,1,100000,100000,0,5.345102,18708.718036
1,1,5,5,1,100000,100000,0,-9.051222,-11048.231665
1,1,5,5,1,100000,100000,0,5.414471,18469.025764
1,1,5,5,1,100000,100000,0,5.454650,18332.981639
1,1,5,5,1,100000,100000,0,8.567671,11671.783296
1,1,5,5,1,100000,100000,0,9.369198,10673.272627
1,1,5,5,1,100000,100000,0,8.683066,11516.669728
1,1,5,5,1,100000,100000,0,7.152868,13980.405491
1,1,5,5,1,100000,100000,0,6.965342,14356.795966
1,1,5,5,1,100000,100000,0,5.668252,17642.122520
1,1,8,8,1,100000,100000,0,4.657428,21471.076996
1,1,8,8,1,100000,100000,0,4.609537,21694.154566
1,1,8,8,1,100000,100000,0,4.218596,23704.567508
1,1,8,8,1,100000,100000,0,4.081529,24500.620038
1,1,8,8,1,100000,100000,0,4.084380,24483.521174
1,1,8,8,1,100000,100000,0,4.565280,21904.460196
1,1,8,8,1,100000,100000,0,4.110612,24327.276148
1,1,8,8,1,100000,100000,0,4.016674,24896.221935
1,1,8,8,1,100000,100000,0,3.976443,25148.101944
1,1,8,8,1,100000,100000,0,4.070770,24565.375027
