OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,100000,100000,0,16.697809,5988.809509
0,1,1,1,1,100000,100000,0,16.247304,6154.867300
0,1,1,1,1,100000,100000,0,15.741472,6352.646045
0,1,1,1,1,100000,100000,0,30.213342,3309.796092
0,1,1,1,1,100000,100000,0,1.702165,58748.723418
0,1,1,1,1,100000,100000,0,16.638892,6010.015559
0,1,1,1,1,100000,100000,0,16.418586,6090.658559
0,1,1,1,1,100000,100000,0,15.858891,6305.611049
0,1,1,1,1,100000,100000,0,15.758141,6345.926080
0,1,1,1,1,100000,100000,0,17.666595,5660.400472
1,1,2,2,1,100000,100000,0,16.360667,6112.220297
1,1,2,2,1,100000,100000,0,16.458441,6075.909752
1,1,2,2,1,100000,100000,0,16.577274,6032.354971
1,1,2,2,1,100000,100000,0,16.595862,6025.598337
1,1,2,2,1,100000,100000,0,16.176310,6181.879489
1,1,2,2,1,100000,100000,0,16.783814,5958.121219
1,1,2,2,1,100000,100000,0,16.710116,5984.398914
1,1,2,2,1,100000,100000,0,16.686428,5992.894522
1,1,2,2,1,100000,100000,0,16.032170,6237.458915
1,1,2,2,1,100000,100000,0,16.591636,6027.133181
1,1,3,3,1,100000,100000,0,14.696396,6804.389270
1,1,3,3,1,100000,100000,0,14.644850,6828.339071
1,1,3,3,1,100000,100000,0,14.516856,6888.543914
1,1,3,3,1,100000,100000,0,14.869845,6725.019512
1,1,3,3,1,100000,100000,0,14.724880,6791.226626
1,1,3,3,1,100000,100000,0,14.490828,6900.916703
1,1,3,3,1,100000,100000,0,14.760335,6774.914129
1,1,3,3,1,100000,100000,0,14.612743,6843.342142
1,1,3,3,1,100000,100000,0,15.231056,6565.532824
1,1,3,3,1,100000,100000,0,14.522409,6885.910008
1,1,4,4,1,100000,100000,0,15.014464,6660.244628
1,1,4,4,1,100000,100000,0,15.026387,6654.959709
1,1,4,4,1,100000,100000,0,14.802326,6755.694879
1,1,4,4,1,100000,100000,0,14.878673,6721.029541
1,1,4,4,1,100000,100000,0,14.874233,6723.035564
1,1,4,4,1,100000,100000,0,14.987595,6672.184462
1,1,4,4,1,100000,100000,0,14.824990,6745.367188
1,1,4,4,1,100000,100000,0,14.865434,6727.015286
1,1,4,4,1,100000,100000,0,14.863406,6727.933033
1,1,4,4,1,100000,100000,0,15.001398,6666.045329
1,1,5,5,1,100000,100000,0,15.901498,6288.715830
1,1,5,5,1,100000,100000,0,15.469825,6464.197296
1,1,5,5,1,100000,100000,0,15.984808,6255.940109
1,1,5,5,1,100000,100000,0,15.887712,6294.172516
1,1,5,5,1,100000,100000,0,15.864718,6303.295198
1,1,5,5,1,100000,100000,0,15.901746,6288.617523
1,1,5,5,1,100000,100000,0,16.194797,6174.822803
1,1,5,5,1,100000,100000,0,15.402662,6492.384176
1,1,5,5,1,100000,100000,0,15.971498,6261.153531
1,1,5,5,1,100000,100000,0,15.950994,6269.201694
1,1,8,8,1,100000,100000,0,21.351799,4683.446099
1,1,8,8,1,100000,100000,0,21.328413,4688.581437
1,1,8,8,1,100000,100000,0,21.296322,4695.646552
1,1,8,8,1,100000,100000,0,21.540683,4642.378360
1,1,8,8,1,100000,100000,0,21.978548,4549.891076
1,1,8,8,1,100000,100000,0,20.940777,4775.371897
1,1,8,8,1,100000,100000,0,21.525258,4645.705148
1,1,8,8,1,100000,100000,0,21.947656,4556.295254
1,1,8,8,1,100000,100000,0,21.612089,4627.040046
1,1,8,8,1,100000,100000,0,22.571233,4430.418111
