OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,6.261667,15970.188044
1,2,2,4,1,100000,100000,0,6.194227,16144.064833
1,2,2,4,1,100000,100000,0,6.231806,16046.711363
1,2,2,4,1,100000,100000,0,-8.659902,-11547.475076
1,2,2,4,1,100000,100000,0,6.183423,16172.272980
1,2,2,4,1,100000,100000,0,6.227198,16058.585863
1,2,2,4,1,100000,100000,0,6.195666,16140.315388
1,2,2,4,1,100000,100000,0,6.176586,16190.174122
1,2,2,4,1,100000,100000,0,6.182350,16175.079213
1,2,2,4,1,100000,100000,0,6.172114,16201.904967
1,2,3,6,1,100000,100000,0,4.534817,22051.605612
1,2,3,6,1,100000,100000,0,4.569857,21882.521614
1,2,3,6,1,100000,100000,0,4.587465,21798.529737
1,2,3,6,1,100000,100000,0,4.558706,21936.047457
1,2,3,6,1,100000,100000,0,4.489535,22274.023071
1,2,3,6,1,100000,100000,0,4.528709,22081.347948
1,2,3,6,1,100000,100000,0,4.538453,22033.937797
1,2,3,6,1,100000,100000,0,4.531058,22069.902996
1,2,3,6,1,100000,100000,0,4.547143,21991.829057
1,2,3,6,1,100000,100000,0,4.576845,21849.111137
1,2,4,8,1,100000,100000,0,3.939694,25382.683358
1,2,4,8,1,100000,100000,0,3.937806,25394.851357
1,2,4,8,1,100000,100000,0,3.938473,25390.553965
1,2,4,8,1,100000,100000,0,3.942564,25364.203372
1,2,4,8,1,100000,100000,0,3.948953,25323.167528
1,2,4,8,1,100000,100000,0,3.937348,25397.805691
1,2,4,8,1,100000,100000,0,3.931481,25435.707204
1,2,4,8,1,100000,100000,0,3.942960,25361.655952
1,2,4,8,1,100000,100000,0,3.935597,25409.104573
1,2,4,8,1,100000,100000,0,3.960222,25251.107212
1,3,2,6,1,100000,100000,0,4.567221,21895.150676
1,3,2,6,1,100000,100000,0,4.575401,21856.005472
1,3,2,6,1,100000,100000,0,4.567163,21895.429420
1,3,2,6,1,100000,100000,0,4.636094,21569.881553
1,3,2,6,1,100000,100000,0,4.526030,22094.420352
1,3,2,6,1,100000,100000,0,4.560607,21926.908177
