OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,11.074818,9029.493812
1,1,2,2,1,100000,100000,0,31.265882,3198.374464
1,1,2,2,1,100000,100000,0,10.909906,9165.981487
1,1,2,2,1,100000,100000,0,10.860729,9207.485262
1,1,2,2,1,100000,100000,0,11.075121,9029.246594
1,1,2,2,1,100000,100000,0,10.916714,9160.265675
1,1,2,2,1,100000,100000,0,10.877701,9193.118909
1,1,2,2,1,100000,100000,0,10.829866,9233.724471
1,1,2,2,1,100000,100000,0,10.919848,9157.636346
1,1,2,2,1,100000,100000,0,11.132358,8982.822602
1,1,3,3,1,100000,100000,0,8.162281,12251.477338
1,1,3,3,1,100000,100000,0,8.231552,12148.377401
1,1,3,3,1,100000,100000,0,8.231517,12148.428562
1,1,3,3,1,100000,100000,0,8.235930,12141.919137
1,1,3,3,1,100000,100000,0,8.189354,12210.975136
1,1,3,3,1,100000,100000,0,8.236709,12140.771370
1,1,3,3,1,100000,100000,0,8.273194,12087.229944
1,1,3,3,1,100000,100000,0,27.135486,3685.211306
1,1,3,3,1,100000,100000,0,7.851135,12737.012101
1,1,3,3,1,100000,100000,0,8.026310,12459.025548
1,1,4,4,1,100000,100000,0,6.112850,16358.980730
1,1,4,4,1,100000,100000,0,6.088421,16424.620041
1,1,4,4,1,100000,100000,0,6.127648,16319.475398
1,1,4,4,1,100000,100000,0,6.151436,16256.367398
1,1,4,4,1,100000,100000,0,6.129412,16314.779225
1,1,4,4,1,100000,100000,0,6.100068,16393.259118
1,1,4,4,1,100000,100000,0,6.043266,16547.343360
1,1,4,4,1,100000,100000,0,6.142069,16281.158659
1,1,4,4,1,100000,100000,0,6.103267,16384.667159
1,1,4,4,1,100000,100000,0,6.075491,16459.574072
1,1,5,5,1,100000,100000,0,5.322826,18787.013882
1,1,5,5,1,100000,100000,0,5.342203,18718.869312
1,1,5,5,1,100000,100000,0,5.359682,18657.824567
1,1,5,5,1,100000,100000,0,5.317098,18807.251561
1,1,5,5,1,100000,100000,0,5.405330,18500.258380
1,1,5,5,1,100000,100000,0,5.383196,18576.324325
1,1,5,5,1,100000,100000,0,5.357817,18664.319311
1,1,5,5,1,100000,100000,0,5.375661,18602.363536
1,1,5,5,1,100000,100000,0,5.392353,18544.779097
1,1,5,5,1,100000,100000,0,5.304267,18852.746118
1,1,8,8,1,100000,100000,0,3.970830,25183.651210
1,1,8,8,1,100000,100000,0,3.930332,25443.140960
1,1,8,8,1,100000,100000,0,3.928498,25455.022696
1,1,8,8,1,100000,100000,0,3.921870,25498.041685
1,1,8,8,1,100000,100000,0,3.948248,25327.690463
1,1,8,8,1,100000,100000,0,3.948728,25324.609034
1,1,8,8,1,100000,100000,0,3.965095,25220.079423
1,1,8,8,1,100000,100000,0,4.039009,24758.549880
1,1,8,8,1,100000,100000,0,4.004024,24974.878282
1,1,8,8,1,100000,100000,0,3.969335,25193.139488
