OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,100000,100000,0,16.138278,6196.448159
0,1,1,1,1,100000,100000,0,15.720201,6361.241663
0,1,1,1,1,100000,100000,0,15.274456,6546.877884
0,1,1,1,1,100000,100000,0,15.379802,6502.034489
0,1,1,1,1,100000,100000,0,15.290471,6540.021013
0,1,1,1,1,100000,100000,0,15.456571,6469.740298
0,1,1,1,1,100000,100000,0,15.836122,6314.677192
0,1,1,1,1,100000,100000,0,15.614457,6404.321384
0,1,1,1,1,100000,100000,0,15.468766,6464.639806
0,1,1,1,1,100000,100000,0,15.342286,6517.933341
1,1,2,2,1,100000,100000,0,16.103311,6209.902853
1,1,2,2,1,100000,100000,0,16.407611,6094.732602
1,1,2,2,1,100000,100000,0,16.462303,6074.484091
1,1,2,2,1,100000,100000,0,16.271816,6145.595419
1,1,2,2,1,100000,100000,0,16.362073,6111.694991
1,1,2,2,1,100000,100000,0,18.644645,5363.470444
1,1,2,2,1,100000,100000,0,17.711706,5645.983604
1,1,2,2,1,100000,100000,0,18.735774,5337.383023
1,1,2,2,1,100000,100000,0,17.940435,5574.000706
1,1,2,2,1,100000,100000,0,17.846553,5603.322831
1,1,3,3,1,100000,100000,0,15.797222,6330.226750
1,1,3,3,1,100000,100000,0,17.382095,5753.046415
1,1,3,3,1,100000,100000,0,18.150923,5509.361714
1,1,3,3,1,100000,100000,0,14.700373,6802.548375
1,1,3,3,1,100000,100000,0,14.838258,6739.335430
1,1,3,3,1,100000,100000,0,14.582463,6857.552206
1,1,3,3,1,100000,100000,0,14.580302,6858.568649
1,1,3,3,1,100000,100000,0,14.581183,6858.154266
1,1,3,3,1,100000,100000,0,14.562395,6867.002497
1,1,3,3,1,100000,100000,0,14.499504,6896.787694
1,1,4,4,1,100000,100000,0,14.758658,6775.683766
1,1,4,4,1,100000,100000,0,14.684283,6810.002095
1,1,4,4,1,100000,100000,0,14.781413,6765.253175
1,1,4,4,1,100000,100000,0,14.656467,6822.926855
1,1,4,4,1,100000,100000,0,14.928495,6698.599019
1,1,4,4,1,100000,100000,0,14.836275,6740.236180
1,1,4,4,1,100000,100000,0,14.597142,6850.655896
1,1,4,4,1,100000,100000,0,14.802188,6755.758218
1,1,4,4,1,100000,100000,0,14.788965,6761.798194
1,1,4,4,1,100000,100000,0,14.787218,6762.597275
1,1,5,5,1,100000,100000,0,15.614983,6404.105541
1,1,5,5,1,100000,100000,0,15.682252,6376.635373
1,1,5,5,1,100000,100000,0,15.675132,6379.531511
1,1,5,5,1,100000,100000,0,15.682213,6376.651008
1,1,5,5,1,100000,100000,0,15.633673,6396.449395
1,1,5,5,1,100000,100000,0,15.756623,6346.537735
1,1,5,5,1,100000,100000,0,15.811478,6324.519418
1,1,5,5,1,100000,100000,0,15.709640,6365.518187
1,1,5,5,1,100000,100000,0,15.605723,6407.905773
1,1,5,5,1,100000,100000,0,15.756461,6346.602670
1,1,8,8,1,100000,100000,0,19.632240,5093.662284
1,1,8,8,1,100000,100000,0,19.543811,5116.709419
1,1,8,8,1,100000,100000,0,20.624188,4848.675790
1,1,8,8,1,100000,100000,0,23.301585,4291.553504
1,1,8,8,1,100000,100000,0,19.399926,5154.658751
1,1,8,8,1,100000,100000,0,19.724007,5069.963668
1,1,8,8,1,100000,100000,0,19.283339,5185.823813
1,1,8,8,1,100000,100000,0,19.221895,5202.400641
1,1,8,8,1,100000,100000,0,19.216168,5203.951108
1,1,8,8,1,100000,100000,0,19.391029,5157.023811
