OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,2,2,4,1,100000,100000,0,6.204672,16116.888258,7.346923,7.795081,9.055583
1,2,2,4,1,100000,100000,0,6.175194,16193.823721,7.375992,7.754474,8.999860
1,2,2,4,1,100000,100000,0,6.248675,16003.393646,7.508016,7.859266,9.115315
1,2,2,4,1,100000,100000,0,21.120920,4734.642343,7.303009,7.782229,9.036368
1,2,2,4,1,100000,100000,0,6.288642,15901.684358,7.452879,7.871498,9.144400
1,2,2,4,1,100000,100000,0,6.236523,16034.576867,7.406946,7.798827,9.028406
1,2,2,4,1,100000,100000,0,6.233736,16041.743906,7.459269,7.928975,9.218403
1,2,2,4,1,100000,100000,0,6.134754,16300.572978,7.301810,7.712980,8.907882
1,2,2,4,1,100000,100000,0,6.259862,15974.791998,7.375184,7.795291,9.095497
1,2,2,4,1,100000,100000,0,21.155626,4726.875122,7.368459,7.721133,9.001679
1,2,3,6,1,100000,100000,0,4.489878,22272.321543,7.976180,8.529819,9.903029
1,2,3,6,1,100000,100000,0,4.490372,22269.871706,8.011152,8.532241,9.964479
1,2,3,6,1,100000,100000,0,-10.449683,-9569.668136,8.048331,8.481694,9.902120
1,2,3,6,1,100000,100000,0,4.496146,22241.272722,7.973133,8.520085,9.902653
1,2,3,6,1,100000,100000,0,4.487544,22283.902182,8.006333,8.521456,9.968741
1,2,3,6,1,100000,100000,0,4.531646,22067.037975,8.050620,8.566067,10.025348
1,2,3,6,1,100000,100000,0,4.580005,21834.037127,8.123334,8.600712,9.973242
1,2,3,6,1,100000,100000,0,4.524593,22101.433771,8.037861,8.567744,10.005679
1,2,3,6,1,100000,100000,0,4.510690,22169.556976,8.049804,8.564016,9.970663
1,2,3,6,1,100000,100000,0,4.526105,22094.051365,8.118802,8.605380,9.980017
1,2,4,8,1,100000,100000,0,3.917489,25526.554048,9.294466,9.910181,11.543573
1,2,4,8,1,100000,100000,0,3.916910,25530.331961,9.331356,9.887358,11.519309
