OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,19.133035,5226.562447,11.750609,12.076058,13.923837
1,1,2,2,1,100000,100000,0,22.840576,4378.173337,14.114846,14.320474,16.576770
1,1,2,2,1,100000,100000,0,11.064570,9037.856637,6.750981,6.990849,8.129065
1,1,2,2,1,100000,100000,0,11.055098,9045.600212,6.741425,7.016035,8.102902
1,1,2,2,1,100000,100000,0,11.256247,8883.955777,6.848294,7.136974,8.265732
1,1,2,2,1,100000,100000,0,11.114899,8996.932829,6.767722,7.045283,8.172568
1,1,2,2,1,100000,100000,0,11.043098,9055.429737,6.745887,6.976243,8.102393
1,1,2,2,1,100000,100000,0,11.639059,8591.759638,7.096800,7.349683,8.500569
1,1,2,2,1,100000,100000,0,10.968963,9116.632025,6.696093,6.945541,8.053984
1,1,2,2,1,100000,100000,0,31.017447,3223.992004,18.874136,19.531008,22.710569
1,1,3,3,1,100000,100000,0,8.073473,12386.243052,7.285667,7.665034,8.954846
1,1,3,3,1,100000,100000,0,8.069519,12392.312927,7.358086,7.646975,8.886944
1,1,3,3,1,100000,100000,0,8.171160,12238.164378,7.404585,7.777127,8.999073
1,1,3,3,1,100000,100000,0,8.225882,12156.750899,7.432983,7.828522,9.092583
1,1,3,3,1,100000,100000,0,8.137636,12288.580597,7.401295,7.739618,8.958451
1,1,3,3,1,100000,100000,0,8.052845,12417.972255,7.275418,7.657677,8.919159
1,1,3,3,1,100000,100000,0,8.271957,12089.037165,7.475794,7.883280,9.129098
1,1,3,3,1,100000,100000,0,8.250711,12120.167016,7.476331,7.864531,9.094558
1,1,3,3,1,100000,100000,0,8.060911,12405.546133,7.311720,7.651781,8.914777
1,1,3,3,1,100000,100000,0,8.354905,11969.017061,7.547516,7.951247,9.206520
1,1,4,4,1,100000,100000,0,6.150863,16257.882271,7.526855,7.742647,8.989576
1,1,4,4,1,100000,100000,0,6.405908,15610.589404,7.532637,8.210007,9.515568
1,1,4,4,1,100000,100000,0,6.204743,16116.702256,7.477709,7.844828,9.128585
1,1,4,4,1,100000,100000,0,6.171589,16203.283617,7.432305,7.803373,9.102783
1,1,4,4,1,100000,100000,0,6.146639,16269.054367,7.428078,7.754750,9.052368
1,1,4,4,1,100000,100000,0,6.108260,16371.274969,7.322080,7.732309,9.030102
1,1,4,4,1,100000,100000,0,6.238423,16029.693366,7.592504,7.885227,9.118525
1,1,4,4,1,100000,100000,0,6.218658,16080.640791,7.444025,7.866909,9.168901
1,1,4,4,1,100000,100000,0,6.221416,16073.512376,7.535602,7.865232,9.120295
1,1,4,4,1,100000,100000,0,6.108611,16370.334634,7.365401,7.720290,8.992761
1,1,5,5,1,100000,100000,0,5.278233,18945.735813,7.888811,8.302797,9.749095
1,1,5,5,1,100000,100000,0,5.368692,18626.509595,7.991711,8.491424,9.934186
1,1,5,5,1,100000,100000,0,5.391463,18547.842530,8.119126,8.497937,9.916766
1,1,5,5,1,100000,100000,0,5.374178,18607.497611,8.022930,8.501054,9.902638
1,1,5,5,1,100000,100000,0,5.377238,18596.906242,8.037872,8.476948,9.938246
1,1,5,5,1,100000,100000,0,5.361878,18650.182497,8.038537,8.452317,9.879281
1,1,5,5,1,100000,100000,0,5.348172,18697.977391,7.994023,8.479431,9.866768
1,1,5,5,1,100000,100000,0,5.407337,18493.392915,8.116003,8.543748,9.950852
1,1,5,5,1,100000,100000,0,5.356317,18669.544321,7.945520,8.469903,9.927306
1,1,5,5,1,100000,100000,0,5.454534,18333.372990,8.161183,8.585192,10.073267
1,1,8,8,1,100000,100000,0,3.927607,25460.792646,9.310803,9.898105,11.615843
1,1,8,8,1,100000,100000,0,3.944494,25351.793227,9.340758,9.901764,11.640232
1,1,8,8,1,100000,100000,0,3.926787,25466.111750,9.272753,9.894165,11.597867
1,1,8,8,1,100000,100000,0,3.934955,25413.252013,9.275699,9.949118,11.633219
1,1,8,8,1,100000,100000,0,3.945178,25347.398401,9.350126,9.957844,11.681995
1,1,8,8,1,100000,100000,0,3.958604,25261.430979,9.417770,9.967174,11.699530
1,1,8,8,1,100000,100000,0,3.955585,25280.711842,9.348104,9.961049,11.703453
1,1,8,8,1,100000,100000,0,3.948168,25328.204225,9.364945,9.970986,11.672549
1,1,8,8,1,100000,100000,0,3.963338,25231.257539,9.372960,9.954091,11.753142
1,1,8,8,1,100000,100000,0,3.981281,25117.544747,9.436902,9.977821,11.735012
