OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
0,1,1,1,1,100000,100000,0,18.225766,5486.737845,5.273615,5.918568,7.021037
0,1,1,1,1,100000,100000,0,16.530924,6049.268464,4.762161,5.375120,6.382177
0,1,1,1,1,100000,100000,0,15.291179,6539.717885,4.412440,4.979871,5.888587
0,1,1,1,1,100000,100000,0,17.198531,5814.449947,4.955401,5.611220,6.620484
0,1,1,1,1,100000,100000,0,15.988853,6254.357452,4.601852,5.196821,6.178633
0,1,1,1,1,100000,100000,0,15.648345,6390.452305,4.511112,5.096885,6.029741
0,1,1,1,1,100000,100000,0,15.237044,6562.952603,4.388163,4.959817,5.878607
0,1,1,1,1,100000,100000,0,15.632574,6396.899360,4.487550,5.102991,6.031446
0,1,1,1,1,100000,100000,0,15.590838,6414.023254,4.502299,5.071380,6.005860
0,1,1,1,1,100000,100000,0,15.061452,6639.466319,4.338043,4.897826,5.815433
1,1,2,2,1,100000,100000,0,16.098842,6211.626958,4.564896,5.219893,6.301850
1,1,2,2,1,100000,100000,0,16.006215,6247.573056,4.521611,5.206958,6.265655
1,1,2,2,1,100000,100000,0,16.122058,6202.681956,4.563010,5.229264,6.317198
1,1,2,2,1,100000,100000,0,16.685131,5993.360324,4.706457,5.418260,6.547902
1,1,2,2,1,100000,100000,0,16.515058,6055.080104,4.653318,5.360357,6.488768
1,1,2,2,1,100000,100000,0,16.505521,6058.578735,4.670667,5.360159,6.461910
1,1,2,2,1,100000,100000,0,15.960002,6265.663443,4.512937,5.179263,6.255817
1,1,2,2,1,100000,100000,0,15.931607,6276.830894,4.502803,5.167886,6.249046
1,1,2,2,1,100000,100000,0,16.624979,6015.045372,4.694253,5.409661,6.508046
1,1,2,2,1,100000,100000,0,16.042481,6233.449817,4.538917,5.205087,6.286405
1,1,3,3,1,100000,100000,0,14.510148,6891.728312,3.954407,4.680425,5.862890
1,1,3,3,1,100000,100000,0,14.651031,6825.458274,4.000039,4.734414,5.903628
1,1,3,3,1,100000,100000,0,14.745578,6781.693986,4.022559,4.769345,5.941406
1,1,3,3,1,100000,100000,0,14.723774,6791.737141,4.011241,4.752931,5.946724
1,1,3,3,1,100000,100000,0,15.314949,6529.567855,4.177712,4.941476,6.181992
1,1,3,3,1,100000,100000,0,14.504131,6894.587288,3.950723,4.687595,5.853656
1,1,3,3,1,100000,100000,0,14.611891,6843.741081,3.976661,4.710984,5.911315
1,1,3,3,1,100000,100000,0,14.489904,6901.356804,3.958030,4.682349,5.837223
1,1,3,3,1,100000,100000,0,14.327369,6979.648547,3.909631,4.619778,5.785669
1,1,3,3,1,100000,100000,0,14.495334,6898.771823,3.957832,4.672129,5.853158
1,1,4,4,1,100000,100000,0,14.754651,6777.523758,4.031959,4.763272,5.945549
1,1,4,4,1,100000,100000,0,14.972343,6678.981469,4.092045,4.824882,6.041042
1,1,4,4,1,100000,100000,0,14.819545,6747.845454,4.052125,4.783434,5.970339
1,1,4,4,1,100000,100000,0,14.735771,6786.207578,4.015614,4.760609,5.945838
1,1,4,4,1,100000,100000,0,14.893893,6714.161455,4.072430,4.816820,5.990925
1,1,4,4,1,100000,100000,0,14.823168,6746.196038,4.052941,4.786284,5.969491
1,1,4,4,1,100000,100000,0,14.719945,6793.503611,4.024367,4.745205,5.937119
1,1,4,4,1,100000,100000,0,14.699972,6802.733977,4.014485,4.742816,5.928999
1,1,4,4,1,100000,100000,0,14.794075,6759.463002,4.044057,4.772494,5.963368
1,1,4,4,1,100000,100000,0,14.735964,6786.118862,4.018197,4.758927,5.945064
1,1,5,5,1,100000,100000,0,15.659637,6385.843896,4.300650,5.059668,6.285722
1,1,5,5,1,100000,100000,0,15.669636,6381.769359,4.285717,5.064376,6.305662
1,1,5,5,1,100000,100000,0,15.671158,6381.149493,4.317439,5.068023,6.271301
1,1,5,5,1,100000,100000,0,15.698937,6369.857884,4.307477,5.070871,6.305995
1,1,5,5,1,100000,100000,0,15.673067,6380.371962,4.301488,5.072589,6.285357
1,1,5,5,1,100000,100000,0,15.683946,6375.946635,4.301668,5.061540,6.306822
1,1,5,5,1,100000,100000,0,15.708285,6366.067330,4.318966,5.071799,6.303828
1,1,5,5,1,100000,100000,0,15.679547,6377.735448,4.311204,5.069289,6.284512
1,1,5,5,1,100000,100000,0,15.700829,6369.090305,4.314395,5.066828,6.305569
1,1,5,5,1,100000,100000,0,15.704161,6367.738990,4.325549,5.069645,6.293650
1,1,8,8,1,100000,100000,0,19.415970,5150.399304,5.504039,6.339726,7.557129
1,1,8,8,1,100000,100000,0,20.370260,4909.117597,5.776079,6.584837,7.993571
1,1,8,8,1,100000,100000,0,19.427884,5147.240943,5.425289,6.358000,7.629375
1,1,8,8,1,100000,100000,0,19.170047,5216.471215,5.392666,6.191818,7.569148
1,1,8,8,1,100000,100000,0,19.219668,5203.003418,5.361684,6.247829,7.594339
1,1,8,8,1,100000,100000,0,19.299214,5181.558184,5.423644,6.267196,7.591035
1,1,8,8,1,100000,100000,0,19.560839,5112.255108,5.518426,6.364337,7.659302
1,1,8,8,1,100000,100000,0,19.227641,5200.846139,5.385331,6.248228,7.577340
1,1,8,8,1,100000,100000,0,20.552260,4865.645012,5.845048,6.741593,7.949058
1,1,8,8,1,100000,100000,0,19.111851,5232.355440,5.373987,6.182064,7.539597
