OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC, ENC_SEC, DEC_SEC
1,2,2,4,1,100000,100000,0,7.088786,14106.788572,8.407101,8.989730,10.458276
1,2,2,4,1,100000,100000,0,7.164151,13958.387126,8.479906,9.023820,10.525188
1,2,2,4,1,100000,100000,0,7.537274,13267.395922,8.719079,9.578937,11.023451
1,2,2,4,1,100000,100000,0,7.287645,13721.853651,8.691363,9.270457,10.730323
1,2,2,4,1,100000,100000,0,7.576763,13198.247674,9.019653,9.578930,11.095300
1,2,2,4,1,100000,100000,0,7.062060,14160.173884,8.484352,8.958250,10.337374
1,2,2,4,1,100000,100000,0,7.175495,13936.320247,8.575292,9.070654,10.460918
1,2,2,4,1,100000,100000,0,7.176194,13934.962877,8.551645,9.017429,10.439367
1,2,2,4,1,100000,100000,0,7.103594,14077.380458,8.407076,8.942203,10.377919
1,2,2,4,1,100000,100000,0,7.177969,13931.517989,8.603847,9.039345,10.468012
1,2,3,6,1,100000,100000,0,5.463625,18302.866211,9.742105,10.282214,11.951341
1,2,3,6,1,100000,100000,0,5.377037,18597.604221,9.591333,10.268768,11.937028
1,2,3,6,1,100000,100000,0,5.420689,18447.838726,9.692154,10.324466,11.989590
1,2,3,6,1,100000,100000,0,-10.346020,-9665.552294,9.617003,10.304765,11.940944
1,2,3,6,1,100000,100000,0,5.406511,18496.216698,9.609404,10.217135,11.966975
1,2,3,6,1,100000,100000,0,5.382776,18577.775971,9.535940,10.206483,11.941847
1,2,3,6,1,100000,100000,0,5.501427,18177.103352,9.735955,10.414451,12.170842
1,2,3,6,1,100000,100000,0,5.446386,18360.797642,9.781485,10.328212,12.034565
1,2,3,6,1,100000,100000,0,5.444696,18366.499516,9.751428,10.349818,12.037399
1,2,3,6,1,100000,100000,0,5.315548,18812.734868,9.428533,10.070441,11.738502
1,2,4,8,1,100000,100000,0,4.629283,21601.617566,11.025934,11.725416,13.675485
1,2,4,8,1,100000,100000,0,4.664347,21439.227158,11.156960,11.770893,13.726090
1,2,4,8,1,100000,100000,0,4.659681,21460.694495,11.091428,11.743356,13.742581
1,2,4,8,1,100000,100000,0,4.711963,21222.576264,11.166119,11.860458,13.893680
1,2,4,8,1,100000,100000,0,4.804803,20812.508260,11.388478,12.103368,14.080419
1,2,4,8,1,100000,100000,0,4.665436,21434.225079,11.163513,11.768012,13.701622
1,2,4,8,1,100000,100000,0,4.682704,21355.182238,11.042032,11.723011,13.677154
1,2,4,8,1,100000,100000,0,4.754271,21033.719798,11.287905,11.968659,14.019813
1,2,4,8,1,100000,100000,0,4.655857,21478.321290,11.071102,11.692134,13.694849
1,2,4,8,1,100000,100000,0,4.715999,21204.414676,11.151401,11.870028,13.868453
1,3,2,6,1,100000,100000,0,5.387780,18560.519868,9.622763,10.230762,11.825020
1,3,2,6,1,100000,100000,0,5.408459,18489.554330,9.663023,10.295859,11.980533
1,3,2,6,1,100000,100000,0,5.327738,18769.690005,9.389743,10.028169,11.652443
1,3,2,6,1,100000,100000,0,5.388921,18556.591169,9.647816,10.327442,11.947226
1,3,2,6,1,100000,100000,0,5.432194,18408.768468,9.683195,10.239882,11.836627
1,3,2,6,1,100000,100000,0,5.375248,18603.793990,9.523052,10.088053,11.711222
1,3,2,6,1,100000,100000,0,5.378244,18593.429010,9.573909,10.171763,11.767710
1,3,2,6,1,100000,100000,0,5.397395,18527.456768,9.567537,10.205535,11.929672
1,3,2,6,1,100000,100000,0,5.401758,18512.491907,9.606631,10.155334,11.767828
1,3,2,6,1,100000,100000,0,5.288633,18908.479306,9.434230,10.017921,11.692502
1,3,3,9,1,100000,100000,0,4.650274,21504.107361,12.185444,12.965941,15.214926
1,3,3,9,1,100000,100000,0,4.663299,21444.048606,12.001452,12.941809,15.215739
1,3,3,9,1,100000,100000,0,4.630662,21595.185846,12.114228,13.000850,15.133150
1,3,3,9,1,100000,100000,0,4.980882,20076.766609,12.867969,14.068379,16.300564
1,3,3,9,1,100000,100000,0,4.630345,21596.660682,12.158780,13.124932,15.244129
1,3,3,9,1,100000,100000,0,4.635392,21573.149930,12.279089,12.947709,15.169211
1,3,3,9,1,100000,100000,0,4.665626,21433.350198,12.038852,12.955512,15.191476
1,3,3,9,1,100000,100000,0,4.609227,21695.611477,12.094962,13.040567,15.154738
1,3,3,9,1,100000,100000,0,4.677566,21378.639740,12.147194,12.995525,15.150154
1,3,3,9,1,100000,100000,0,4.665104,21435.748534,12.254585,12.985445,15.197018
1,3,4,12,1,100000,100000,0,4.694276,21302.540980,16.358323,17.311527,20.251461
1,3,4,12,1,100000,100000,0,4.712345,21220.857208,15.881909,16.858379,20.014888
1,3,4,12,1,100000,100000,0,4.663324,21443.933668,15.926539,17.029021,20.139213
1,3,4,12,1,100000,100000,0,4.682775,21354.859309,15.639313,17.218477,20.265715
1,3,4,12,1,100000,100000,0,4.944680,20223.755023,16.839183,18.017890,21.565714
1,3,4,12,1,100000,100000,0,4.702900,21263.474778,17.103872,18.322564,21.947891
1,3,4,12,1,100000,100000,0,4.651909,21496.552855,17.188415,18.323079,21.686031
1,3,4,12,1,100000,100000,0,4.762666,20996.645134,17.025969,18.600424,21.558882
1,3,4,12,1,100000,100000,0,4.794113,20858.915720,17.351352,18.551984,21.938073
1,3,4,12,1,100000,100000,0,5.076501,19698.607860,17.250930,18.652086,21.824871
1,4,2,8,1,100000,100000,0,4.660824,21455.433728,10.978998,11.721258,13.542305
1,4,2,8,1,100000,100000,0,4.603614,21722.064245,10.900395,11.626528,13.419052
1,4,2,8,1,100000,100000,0,4.586734,21802.005589,10.840157,11.491045,13.380402
1,4,2,8,1,100000,100000,0,4.737019,21110.322107,11.137113,11.882564,13.728082
1,4,2,8,1,100000,100000,0,4.743086,21083.322220,11.157732,11.913674,13.766876
1,4,2,8,1,100000,100000,0,4.608029,21701.252729,10.960083,11.618811,13.496728
1,4,2,8,1,100000,100000,0,4.590772,21782.828437,10.883956,11.582533,13.466673
1,4,2,8,1,100000,100000,0,4.580006,21834.032236,10.900515,11.540926,13.444796
1,4,2,8,1,100000,100000,0,4.524754,22100.650043,10.758965,11.465048,13.312672
1,4,2,8,1,100000,100000,0,4.577596,21845.525806,10.902111,11.593246,13.519702
1,4,3,12,1,100000,100000,0,4.690688,21318.834402,15.778512,17.057744,19.969490
1,4,3,12,1,100000,100000,0,4.651698,21497.526136,15.849869,17.044708,20.113074
1,4,3,12,1,100000,100000,0,4.772777,20952.163748,15.439762,16.757898,19.738739
1,4,3,12,1,100000,100000,0,4.582311,21823.049210,15.756531,16.901587,20.022114
1,4,3,12,1,100000,100000,0,4.657461,21470.923878,15.906594,16.693335,19.668197
1,4,3,12,1,100000,100000,0,4.645841,21524.626934,15.773214,16.938438,20.050271
1,4,3,12,1,100000,100000,0,4.568804,21887.567684,15.997477,17.212929,20.522939
1,4,3,12,1,100000,100000,0,-11.118186,-8994.272740,15.806992,16.871222,19.861818
1,4,3,12,1,100000,100000,0,4.642155,21541.717564,15.691634,16.881991,20.086112
1,4,3,12,1,100000,100000,0,4.707081,21244.588417,15.802852,16.781797,19.881759
1,4,4,16,1,100000,100000,0,4.728780,21147.103718,22.704867,22.844714,26.078775
1,4,4,16,1,100000,100000,0,4.689569,21323.921371,21.170458,22.674797,26.127730
1,4,4,16,1,100000,100000,0,4.657897,21468.918104,21.865517,22.544656,26.174798
1,4,4,16,1,100000,100000,0,4.676821,21382.044358,22.200829,22.205476,26.155980
1,4,4,16,1,100000,100000,0,4.651088,21500.343507,21.626824,22.157711,26.212472
1,4,4,16,1,100000,100000,0,4.669525,21415.455609,21.133245,22.260881,26.122425
1,4,4,16,1,100000,100000,0,4.670010,21413.228732,21.754669,22.467066,26.551220
1,4,4,16,1,100000,100000,0,4.665696,21433.030505,22.381668,22.341229,25.735906
1,4,4,16,1,100000,100000,0,4.715499,21206.661288,21.882602,22.372861,25.700054
1,4,4,16,1,100000,100000,0,4.630200,21597.341521,21.630574,22.377142,25.750730
1,2,2,4,2,100000,100000,0,5.926567,16873.175610,5.914770,6.327379,7.298141
1,2,2,4,2,100000,100000,0,5.574371,17939.244587,5.908037,6.195113,7.245392
1,2,2,4,2,100000,100000,0,5.458782,18319.104213,5.824298,6.125962,7.172031
1,2,2,4,2,100000,100000,0,25.740865,3884.873350,18.036380,18.903103,21.955851
1,2,2,4,2,100000,100000,0,5.555939,17998.756987,5.667201,5.965644,6.923385
1,2,2,4,2,100000,100000,0,5.562029,17979.049688,5.970817,6.280621,7.615861
1,2,2,4,2,100000,100000,0,5.561816,17979.740330,5.968214,6.284258,7.323290
1,2,2,4,2,100000,100000,0,5.559928,17985.845178,6.040625,6.330643,7.413142
1,2,2,4,2,100000,100000,0,5.422745,18440.846649,5.860638,6.137862,7.254627
1,2,2,4,2,100000,100000,0,5.463205,18304.274427,5.872626,6.183576,7.223900
1,2,3,6,2,100000,100000,0,4.004576,24971.429912,6.549817,6.948755,8.102017
1,2,3,6,2,100000,100000,0,21.434274,4665.425152,22.223697,23.465105,27.422364
1,2,3,6,2,100000,100000,0,5.253833,19033.721646,7.354760,7.764857,8.918100
1,2,3,6,2,100000,100000,0,3.927647,25460.535221,6.578712,6.950659,8.103804
1,2,3,6,2,100000,100000,0,3.926067,25470.784793,6.481731,6.857874,8.014682
1,2,3,6,2,100000,100000,0,3.891332,25698.142788,6.575694,6.962275,8.115976
1,2,3,6,2,100000,100000,0,3.938327,25391.491771,6.472997,6.847675,7.979563
1,2,3,6,2,100000,100000,0,4.035393,24780.734473,6.641565,7.020480,8.207334
1,2,3,6,2,100000,100000,0,3.928795,25453.097739,6.863392,7.235470,8.449046
1,2,3,6,2,100000,100000,0,4.031133,24806.919251,7.059489,7.463377,8.714494
1,2,4,8,2,100000,100000,0,3.119599,32055.402198,7.263461,7.702738,9.032123
