OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,12.073351,8282.704829,8.104535,7.410888,8.347408
1,1,2,2,1,100000,100000,0,11.212191,8918.863695,6.724217,7.139918,8.317293
1,1,2,2,1,100000,100000,0,11.149330,8969.148990,6.712958,7.097377,8.254651
1,1,2,2,1,100000,100000,0,11.128840,8985.662272,6.771301,7.059050,8.189113
1,1,2,2,1,100000,100000,0,13.782284,7255.691438,8.233232,8.742849,10.194168
1,1,2,2,1,100000,100000,0,21.065069,4747.195468,13.765889,12.805844,14.540488
1,1,2,2,1,100000,100000,0,12.106958,8259.713400,7.245756,7.698762,8.987429
1,1,2,2,1,100000,100000,0,11.942112,8373.728435,7.111150,7.609134,8.892844
1,1,2,2,1,100000,100000,0,12.111117,8256.876488,7.232840,7.737658,8.991757
1,1,2,2,1,100000,100000,0,10.876972,9193.735408,6.492008,6.917373,8.107648
1,1,3,3,1,100000,100000,0,8.595760,11633.642046,7.687845,8.181975,9.568782
1,1,3,3,1,100000,100000,0,8.694606,11501.383861,7.747266,8.318565,9.685690
1,1,3,3,1,100000,100000,0,8.564238,11676.462424,7.678433,8.186454,9.518928
1,1,3,3,1,100000,100000,0,8.574028,11663.129725,7.674830,8.217060,9.498566
1,1,3,3,1,100000,100000,0,8.685495,11513.448736,7.775380,8.285935,9.674003
1,1,3,3,1,100000,100000,0,8.701371,11492.441971,7.772945,8.298161,9.694900
1,1,3,3,1,100000,100000,0,8.906200,11228.133620,7.947091,8.482465,9.918705
1,1,3,3,1,100000,100000,0,8.700834,11493.150966,7.783989,8.317594,9.669210
1,1,3,3,1,100000,100000,0,8.766091,11407.593725,7.862359,8.404719,9.690150
1,1,3,3,1,100000,100000,0,8.647540,11563.982884,7.730892,8.262152,9.593490
1,1,4,4,1,100000,100000,0,7.120288,14044.374863,8.462499,9.018555,10.588248
1,1,4,4,1,100000,100000,0,7.104694,14075.202487,8.437390,9.033728,10.547254
1,1,4,4,1,100000,100000,0,7.096854,14090.751267,8.427572,9.016144,10.543298
1,1,4,4,1,100000,100000,0,7.043877,14196.726398,8.329755,8.906773,10.502410
1,1,4,4,1,100000,100000,0,7.124864,14035.354744,8.458940,9.065619,10.562053
1,1,4,4,1,100000,100000,0,7.065477,14153.325979,8.335633,8.974092,10.533474
1,1,4,4,1,100000,100000,0,7.089043,14106.276977,8.374737,8.974776,10.591598
1,1,4,4,1,100000,100000,0,7.056917,14170.493029,8.367750,8.993021,10.459702
1,1,4,4,1,100000,100000,0,7.206203,13876.932999,8.550365,9.162164,10.704268
1,1,4,4,1,100000,100000,0,7.177533,13932.364323,8.499883,9.110028,10.694498
1,1,5,5,1,100000,100000,0,6.352537,15741.742960,9.385003,10.059129,11.772360
1,1,5,5,1,100000,100000,0,6.143056,16278.543571,9.074674,9.760229,11.380411
1,1,5,5,1,100000,100000,0,6.197846,16134.638423,9.210154,9.855104,11.452343
1,1,5,5,1,100000,100000,0,6.692218,14942.729228,9.863020,10.537162,12.429852
1,1,5,5,1,100000,100000,0,6.312608,15841.314004,9.358697,9.974336,11.744025
1,1,5,5,1,100000,100000,0,6.146159,16270.325367,9.135053,9.740322,11.364043
1,1,5,5,1,100000,100000,0,6.132297,16307.102838,9.100487,9.732160,11.336521
1,1,5,5,1,100000,100000,0,6.301564,15869.075740,9.339396,9.988286,11.698360
1,1,5,5,1,100000,100000,0,6.167785,16213.275354,9.108460,9.789954,11.451002
1,1,5,5,1,100000,100000,0,6.201351,16125.517262,9.220623,9.834502,11.417560
1,1,8,8,1,100000,100000,0,4.762341,20998.077332,11.179097,12.035471,14.149182
1,1,8,8,1,100000,100000,0,4.789937,20877.102653,11.189001,12.066296,14.190161
1,1,8,8,1,100000,100000,0,4.747976,21061.606870,11.120970,12.024485,14.122708
1,1,8,8,1,100000,100000,0,4.755113,21029.994512,11.209309,12.030059,14.128184
1,1,8,8,1,100000,100000,0,4.750620,21049.882385,11.144314,12.003920,14.122060
1,1,8,8,1,100000,100000,0,4.767819,20973.948364,11.212572,12.033153,14.133183
1,1,8,8,1,100000,100000,0,4.780058,20920.250029,11.237571,12.092944,14.157855
1,1,8,8,1,100000,100000,0,4.760283,21007.153105,11.160355,12.028904,14.159513
1,1,8,8,1,100000,100000,0,4.763775,20991.754752,11.163113,12.041079,14.118749
1,1,8,8,1,100000,100000,0,4.779217,20923.928455,11.215619,12.073421,14.166435
