OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC, ENC_SEC, DEC_SEC
0,1,1,1,1,100000,100000,0,17.144537,5832.761728,4.961624,5.572168,6.598193
0,1,1,1,1,100000,100000,0,18.451740,5419.543217,5.333828,5.957486,7.147331
0,1,1,1,1,100000,100000,0,15.997547,6250.958287,4.609656,5.210098,6.166710
0,1,1,1,1,100000,100000,0,15.445959,6474.185320,4.462548,5.011727,5.961367
0,1,1,1,1,100000,100000,0,15.298038,6536.785813,4.411230,4.966343,5.909694
0,1,1,1,1,100000,100000,0,15.418177,6485.851179,4.451222,5.016657,5.940136
0,1,1,1,1,100000,100000,0,16.136521,6197.122607,4.683165,5.241246,6.201015
0,1,1,1,1,100000,100000,0,16.144155,6194.192132,4.669370,5.249702,6.214111
0,1,1,1,1,100000,100000,0,16.685945,5993.067873,4.833257,5.407292,6.434246
0,1,1,1,1,100000,100000,0,15.707313,6366.461473,4.552210,5.094918,6.049369
1,1,2,2,1,100000,100000,0,16.228482,6162.005648,4.606664,5.251778,6.357383
1,1,2,2,1,100000,100000,0,16.440692,6082.469165,4.663186,5.308894,6.456312
1,1,2,2,1,100000,100000,0,16.715944,5982.312423,4.737061,5.410769,6.554964
1,1,2,2,1,100000,100000,0,39.727072,2517.175186,11.396637,12.817728,15.479010
1,1,2,2,1,100000,100000,0,17.553988,5696.711350,4.972841,5.687553,6.880732
1,1,2,2,1,100000,100000,0,16.689050,5991.952856,4.741789,5.403250,6.531603
1,1,2,2,1,100000,100000,0,16.169289,6184.563886,4.589277,5.227144,6.340718
1,1,2,2,1,100000,100000,0,16.368527,6109.285048,4.638179,5.285360,6.432157
1,1,2,2,1,100000,100000,0,16.373983,6107.249576,4.634404,5.305522,6.421390
1,1,2,2,1,100000,100000,0,16.298283,6135.615782,4.624840,5.271183,6.389874
1,1,3,3,1,100000,100000,0,14.686463,6808.991560,4.014912,4.731502,5.927763
1,1,3,3,1,100000,100000,0,35.744679,2797.619172,10.062787,11.482690,14.163719
1,1,3,3,1,100000,100000,0,14.455573,6917.747376,3.943681,4.648195,5.850911
1,1,3,3,1,100000,100000,0,14.533481,6880.664267,3.967161,4.677397,5.875923
1,1,3,3,1,100000,100000,0,15.103324,6621.059197,4.127263,4.871350,6.092223
1,1,3,3,1,100000,100000,0,14.625122,6837.549832,4.002105,4.705761,5.904200
1,1,3,3,1,100000,100000,0,35.003309,2856.872787,9.754968,11.263593,13.952316
1,1,3,3,1,100000,100000,0,14.040138,7122.437172,3.845070,4.513849,5.669424
1,1,3,3,1,100000,100000,0,15.605755,6407.892675,4.219186,5.038405,6.334833
1,1,3,3,1,100000,100000,0,14.331192,6977.786419,3.924513,4.610493,5.783461
1,1,4,4,1,100000,100000,0,16.159447,6188.330511,4.415286,5.189268,6.540492
1,1,4,4,1,100000,100000,0,16.299350,6135.214122,4.464211,5.233752,6.586710
1,1,4,4,1,100000,100000,0,16.140605,6195.554800,4.420093,5.189419,6.516165
1,1,4,4,1,100000,100000,0,16.108212,6208.013818,4.403315,5.176465,6.513975
1,1,4,4,1,100000,100000,0,16.518958,6053.650637,4.518327,5.309301,6.676490
1,1,4,4,1,100000,100000,0,16.686121,5993.004644,4.565714,5.365777,6.738834
1,1,4,4,1,100000,100000,0,16.612601,6019.526947,4.550505,5.334240,6.713199
1,1,4,4,1,100000,100000,0,16.895700,5918.665754,4.608525,5.438961,6.832832
1,1,4,4,1,100000,100000,0,16.615659,6018.418998,4.562693,5.338792,6.698743
1,1,4,4,1,100000,100000,0,16.622113,6016.082472,4.542185,5.340982,6.723304
1,1,5,5,1,100000,100000,0,17.407239,5744.736461,4.770703,5.608409,7.011827
1,1,5,5,1,100000,100000,0,17.051798,5864.484189,4.701453,5.489533,6.845569
1,1,5,5,1,100000,100000,0,16.962376,5895.400527,4.664768,5.463567,6.818786
1,1,5,5,1,100000,100000,0,17.676490,5657.231614,4.876173,5.685240,7.099360
1,1,5,5,1,100000,100000,0,17.427686,5737.996572,4.810974,5.588893,7.012364
1,1,5,5,1,100000,100000,0,17.442864,5733.003420,4.822690,5.612036,6.991410
1,1,5,5,1,100000,100000,0,17.139989,5834.309322,4.729142,5.502230,6.892912
1,1,5,5,1,100000,100000,0,17.973583,5563.721050,4.945120,5.776174,7.236072
1,1,5,5,1,100000,100000,0,18.227557,5486.198756,5.008986,5.864203,7.338059
1,1,5,5,1,100000,100000,0,17.575909,5689.606186,4.842210,5.661176,7.055848
1,1,8,8,1,100000,100000,0,22.032328,4538.784928,6.236468,7.214686,8.561835
1,1,8,8,1,100000,100000,0,21.677798,4613.014669,6.136036,6.970319,8.553199
1,1,8,8,1,100000,100000,0,21.644793,4620.048896,6.068227,7.050196,8.507277
1,1,8,8,1,100000,100000,0,21.377389,4677.839836,6.060936,6.907545,8.391485
1,1,8,8,1,100000,100000,0,21.178054,4721.869215,5.974819,6.846323,8.336747
1,1,8,8,1,100000,100000,0,21.228701,4710.603739,5.949865,6.861392,8.398530
1,1,8,8,1,100000,100000,0,21.218192,4712.936868,5.975075,6.874403,8.350863
1,1,8,8,1,100000,100000,0,21.383188,4676.571217,6.010999,6.935265,8.419114
1,1,8,8,1,100000,100000,0,21.129732,4732.667621,5.934907,6.804178,8.371929
1,1,8,8,1,100000,100000,0,21.105462,4738.109894,5.930447,6.824180,8.333318
