OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,2,2,4,1,100000,100000,0,21.489680,4653.396501,7.906903,8.375177,9.747585
1,2,2,4,1,100000,100000,0,6.312530,15841.508759,7.447028,7.939709,9.196849
1,2,2,4,1,100000,100000,0,-8.652483,-11557.375713,7.619632,8.057333,9.325759
1,2,2,4,1,100000,100000,0,6.273236,15940.735882,7.534778,7.953136,9.223539
1,2,2,4,1,100000,100000,0,6.179177,16183.385702,7.394534,7.810882,9.023342
1,2,2,4,1,100000,100000,0,6.282196,15917.999574,7.440902,7.906636,9.209298
1,2,2,4,1,100000,100000,0,6.378874,15676.747680,7.841263,8.277317,9.591405
1,2,2,4,1,100000,100000,0,-8.589640,-11641.931290,7.747258,8.142187,9.374092
1,2,2,4,1,100000,100000,0,6.233463,16042.446200,7.473785,7.951932,9.205352
1,2,2,4,1,100000,100000,0,6.306086,15857.697237,7.572877,7.954894,9.224011
1,2,3,6,1,100000,100000,0,4.605207,21714.551154,8.205354,8.735789,10.141928
1,2,3,6,1,100000,100000,0,4.530416,22073.027407,8.095167,8.620078,9.997754
1,2,3,6,1,100000,100000,0,4.555393,21952.002270,8.114741,8.632648,10.063156
1,2,3,6,1,100000,100000,0,4.573561,21864.800854,8.186292,8.678027,10.107269
1,2,3,6,1,100000,100000,0,4.583302,21818.331057,8.255358,8.714498,10.098235
1,2,3,6,1,100000,100000,0,4.682756,21354.943780,8.291628,8.767128,10.178037
1,2,3,6,1,100000,100000,0,4.553033,21963.379148,8.161120,8.650633,10.042242
1,2,3,6,1,100000,100000,0,4.639522,21553.942327,8.351590,8.786714,10.199223
1,2,3,6,1,100000,100000,0,4.619318,21648.217480,8.216871,8.733128,10.157103
1,2,3,6,1,100000,100000,0,4.633640,21581.304525,8.259863,8.762345,10.171692
1,2,4,8,1,100000,100000,0,4.142748,24138.567136,9.899310,10.309495,12.044995
1,2,4,8,1,100000,100000,0,4.312188,23190.084189,10.090145,10.721886,12.455599
1,2,4,8,1,100000,100000,0,4.452640,22458.588828,10.304153,10.974106,12.728166
1,2,4,8,1,100000,100000,0,4.673257,21398.352452,11.096905,11.545353,13.523123
1,2,4,8,1,100000,100000,0,4.867845,20542.972717,11.440869,12.119283,13.989915
1,2,4,8,1,100000,100000,0,4.964961,20141.146204,11.693175,12.329902,14.728284
1,2,4,8,1,100000,100000,0,4.933697,20268.776001,11.673233,12.389011,14.745012
1,2,4,8,1,100000,100000,0,5.174584,19325.226732,11.765367,12.576962,14.509919
1,2,4,8,1,100000,100000,0,20.159822,4960.361159,11.816928,12.513192,14.825625
1,2,4,8,1,100000,100000,0,5.288299,18909.670895,11.637456,12.423985,14.489070
1,3,2,6,1,100000,100000,0,5.072443,19714.365024,8.884566,9.439701,10.962271
1,3,2,6,1,100000,100000,0,5.353204,18680.401229,9.387332,9.845406,11.425089
1,3,2,6,1,100000,100000,0,4.944574,20224.187145,8.778546,9.337332,10.802894
1,3,2,6,1,100000,100000,0,4.839143,20664.818152,8.646630,9.105026,10.653614
1,3,2,6,1,100000,100000,0,4.832292,20694.112095,8.621384,9.184096,10.552699
1,3,2,6,1,100000,100000,0,4.837209,20673.079959,8.651531,9.151399,10.596569
1,3,2,6,1,100000,100000,0,4.748338,21060.001196,8.462145,8.924507,10.383201
1,3,2,6,1,100000,100000,0,4.758592,21014.618099,8.483584,8.994747,10.418774
1,3,2,6,1,100000,100000,0,4.809090,20793.955439,8.538378,9.031355,10.414734
1,3,2,6,1,100000,100000,0,4.809588,20791.801355,8.436239,8.944953,10.391024
1,3,3,9,1,100000,100000,0,5.000786,19996.857202,12.693909,13.187669,15.577287
1,3,3,9,1,100000,100000,0,5.252694,19037.850204,12.533928,13.483916,15.707125
1,3,3,9,1,100000,100000,0,5.092743,19635.782141,12.913163,13.663943,15.875672
1,3,3,9,1,100000,100000,0,5.271124,18971.285745,13.047051,13.863228,15.955769
1,3,3,9,1,100000,100000,0,5.048728,19806.967765,13.369874,14.063138,16.645469
1,3,3,9,1,100000,100000,0,20.081612,4979.679849,12.968486,14.021659,16.430102
1,3,3,9,1,100000,100000,0,5.040039,19841.116710,13.174251,14.143388,16.268571
1,3,3,9,1,100000,100000,0,5.399290,18520.954734,13.022006,13.841932,16.318393
1,3,3,9,1,100000,100000,0,5.176688,19317.369410,13.405053,14.253094,16.350903
1,3,3,9,1,100000,100000,0,5.334776,18744.928214,13.262274,13.959355,16.251845
1,3,4,12,1,100000,100000,0,5.194563,19250.897291,17.116054,18.147443,21.553817
1,3,4,12,1,100000,100000,0,5.205591,19210.115409,17.455865,18.614250,22.333409
1,3,4,12,1,100000,100000,0,5.079809,19685.778040,16.322993,17.612444,20.754491
1,3,4,12,1,100000,100000,0,-10.347041,-9664.598492,15.911158,16.964443,19.461426
1,3,4,12,1,100000,100000,0,19.639196,5091.858037,15.416531,16.477957,19.124171
1,3,4,12,1,100000,100000,0,4.450132,22471.245716,14.826121,16.022665,18.502540
1,3,4,12,1,100000,100000,0,4.416545,22642.133361,14.520525,16.070599,19.120872
1,3,4,12,1,100000,100000,0,4.498261,22230.814402,14.832489,15.848057,18.575381
1,3,4,12,1,100000,100000,0,4.369839,22884.137127,14.806514,16.157853,19.041445
1,3,4,12,1,100000,100000,0,4.348851,22994.580191,14.492426,15.350660,18.238928
1,4,2,8,1,100000,100000,0,4.311918,23191.536684,10.087751,10.694488,12.486410
1,4,2,8,1,100000,100000,0,4.256561,23493.145937,9.926758,10.622943,12.292413
1,4,2,8,1,100000,100000,0,4.279146,23369.147498,10.006129,10.561190,12.267398
1,4,2,8,1,100000,100000,0,4.212867,23736.805405,9.871124,10.495023,12.211816
1,4,2,8,1,100000,100000,0,4.496530,22239.371006,10.314802,10.971792,12.640061
1,4,2,8,1,100000,100000,0,4.344687,23016.619447,10.096183,10.699410,12.525254
1,4,2,8,1,100000,100000,0,4.246403,23549.343159,9.941093,10.526885,12.270278
1,4,2,8,1,100000,100000,0,4.261159,23467.792404,10.019918,10.688713,12.404669
1,4,2,8,1,100000,100000,0,4.235024,23612.618738,9.874100,10.555670,12.290320
1,4,2,8,1,100000,100000,0,19.511815,5125.099871,10.553824,11.219426,13.169987
1,4,3,12,1,100000,100000,0,4.239831,23585.845406,14.090159,15.261441,18.024449
1,4,3,12,1,100000,100000,0,4.241721,23575.337004,14.060859,15.319499,18.009126
1,4,3,12,1,100000,100000,0,-10.793636,-9264.718843,14.061075,15.435952,17.893159
1,4,3,12,1,100000,100000,0,4.249438,23532.525062,14.363246,15.366388,18.078979
1,4,3,12,1,100000,100000,0,4.249121,23534.276826,14.395117,15.128965,18.141711
1,4,3,12,1,100000,100000,0,4.399497,22729.871790,14.714925,16.131334,18.583695
1,4,3,12,1,100000,100000,0,4.405559,22698.593817,15.823520,16.978573,19.343225
1,4,3,12,1,100000,100000,0,3.826302,26134.894388,14.448967,15.406576,18.145113
1,4,3,12,1,100000,100000,0,4.314947,23175.253367,14.508489,15.718156,18.137968
1,4,3,12,1,100000,100000,0,4.197834,23821.809335,14.324578,15.505676,18.332129
1,4,4,16,1,100000,100000,0,4.288242,23319.581447,19.737782,20.417662,23.510734
1,4,4,16,1,100000,100000,0,4.216094,23718.638139,19.446677,20.685173,23.626828
1,4,4,16,1,100000,100000,0,4.293057,23293.422533,19.503393,20.495965,24.117295
1,4,4,16,1,100000,100000,0,4.286143,23331.000463,18.524350,20.093818,23.599431
1,4,4,16,1,100000,100000,0,4.254842,23502.637013,19.094798,20.750289,24.030423
1,4,4,16,1,100000,100000,0,19.261644,5191.664795,18.994318,20.336215,23.327059
1,4,4,16,1,100000,100000,0,4.221089,23690.570151,18.711509,20.534575,23.836137
1,4,4,16,1,100000,100000,0,4.240374,23582.825594,18.661590,20.716777,24.006534
1,4,4,16,1,100000,100000,0,-10.768140,-9286.655034,18.998929,20.269433,23.973458
1,4,4,16,1,100000,100000,0,4.287140,23325.574394,19.075459,20.432945,23.693650
1,2,2,4,2,100000,100000,0,5.661217,17664.044906,5.726843,5.930593,6.870852
1,2,2,4,2,100000,100000,0,5.719721,17483.370047,5.779492,6.003610,6.962650
1,2,2,4,2,100000,100000,0,5.563630,17973.876939,5.731248,5.938369,6.839902
1,2,2,4,2,100000,100000,0,5.669652,17637.766858,5.725671,5.975185,6.917311
1,2,2,4,2,100000,100000,0,5.660632,17665.871910,5.702249,5.939768,6.929535
1,2,2,4,2,100000,100000,0,5.667095,17645.725534,5.694519,5.967719,6.893412
1,2,2,4,2,100000,100000,0,5.594501,17874.694265,5.819160,6.074587,7.031914
1,2,2,4,2,100000,100000,0,5.679918,17605.888202,6.046123,6.287417,7.336880
1,2,2,4,2,100000,100000,0,5.476361,18260.302232,5.937529,6.181998,7.181329
1,2,2,4,2,100000,100000,0,25.934212,3855.910551,18.536761,19.011500,21.947640
1,2,3,6,2,100000,100000,0,4.044101,24727.372570,6.607791,6.915333,8.071833
1,2,3,6,2,100000,100000,0,4.102792,24373.648260,6.603647,6.927244,8.032724
1,2,3,6,2,100000,100000,0,19.348995,5168.227142,6.671165,7.010119,8.174876
1,2,3,6,2,100000,100000,0,3.983144,25105.796322,6.549545,6.882041,8.206712
1,2,3,6,2,100000,100000,0,4.037179,24769.773734,6.583224,6.973195,8.124746
1,2,3,6,2,100000,100000,0,11.300063,8849.507842,13.253053,13.668656,15.892129
1,2,3,6,2,100000,100000,0,15.747752,6350.112799,17.136588,17.345514,20.092513
1,2,3,6,2,100000,100000,0,3.968535,25198.213145,6.713370,7.075851,8.286846
1,2,3,6,2,100000,100000,0,4.002335,24985.412823,6.603083,6.922837,8.060204
1,2,3,6,2,100000,100000,0,4.028785,24821.377259,6.601734,6.951664,8.063985
1,2,4,8,2,100000,100000,0,3.220350,31052.525973,6.936101,7.315848,8.527572
1,2,4,8,2,100000,100000,0,3.317888,30139.653398,7.027277,7.412548,8.683256
1,2,4,8,2,100000,100000,0,18.574206,5383.810193,6.947630,7.929698,9.329703
1,2,4,8,2,100000,100000,0,3.110465,32149.537953,6.976694,7.369722,8.604059
1,2,4,8,2,100000,100000,0,3.173182,31514.111019,7.014745,7.529761,8.624448
1,2,4,8,2,100000,100000,0,3.117473,32077.265644,6.972145,7.352503,8.591991
1,2,4,8,2,100000,100000,0,3.097896,32279.971808,6.941377,7.342541,8.603759
1,2,4,8,2,100000,100000,0,3.208225,31169.887185,7.137400,7.546324,8.815803
1,2,4,8,2,100000,100000,0,3.210841,31144.488294,7.141488,7.512349,8.776455
1,2,4,8,2,100000,100000,0,3.108362,32171.285959,6.991314,7.449244,8.642042
1,2,8,16,2,100000,100000,0,2.658160,37620.008561,11.110116,11.884015,13.889772
1,2,8,16,2,100000,100000,0,2.689161,37186.313892,11.054800,11.984149,14.023645
1,2,8,16,2,100000,100000,0,2.626090,38079.426473,10.999854,11.832664,13.886612
1,2,8,16,2,100000,100000,0,2.556047,39122.913312,10.730972,11.579578,13.599153
