OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,2,2,4,1,100000,100000,0,6.321806,15818.263347,8.157969,8.645588,10.022131
1,2,2,4,1,100000,100000,0,6.380851,15671.890546,8.237101,8.746822,10.200886
1,2,2,4,1,100000,100000,0,5.964166,16766.802575,8.370055,8.804598,10.227218
1,2,2,4,1,100000,100000,0,6.387823,15654.785850,8.286076,8.732910,10.159245
1,2,2,4,1,100000,100000,0,6.353896,15738.374967,8.263549,8.703533,10.069555
1,2,2,4,1,100000,100000,0,5.866372,17046.310567,8.238738,8.720938,10.056576
1,2,2,4,1,100000,100000,0,6.822021,14658.413796,8.477716,8.928977,10.362180
1,2,2,4,1,100000,100000,0,5.865576,17048.622897,8.117182,8.580708,9.956523
1,2,2,4,1,100000,100000,0,6.438355,15531.918508,8.252796,8.694608,10.080525
1,2,2,4,1,100000,100000,0,6.324900,15810.527794,8.190317,8.667396,10.027420
1,2,3,6,1,100000,100000,0,4.556915,21944.671084,9.011858,9.525843,11.074354
1,2,3,6,1,100000,100000,0,4.471670,22363.008117,8.876476,9.380349,10.952243
1,2,3,6,1,100000,100000,0,4.607777,21702.440511,9.127034,9.589086,11.182331
1,2,3,6,1,100000,100000,0,4.518653,22130.487530,8.957089,9.549439,11.069185
1,2,3,6,1,100000,100000,0,4.704465,21256.400681,9.202225,9.771208,11.456468
1,2,3,6,1,100000,100000,0,5.052636,19791.651249,9.085827,9.515137,11.130317
1,2,3,6,1,100000,100000,0,4.545003,22002.183848,8.939565,9.478354,11.041596
1,2,3,6,1,100000,100000,0,4.533334,22058.821998,8.994281,9.515302,11.080315
1,2,3,6,1,100000,100000,0,4.522856,22109.921524,8.987871,9.523186,11.089966
1,2,3,6,1,100000,100000,0,4.563616,21912.448523,9.057369,9.532278,11.111297
1,2,4,8,1,100000,100000,0,3.871511,25829.707682,10.341793,10.979973,12.845584
1,2,4,8,1,100000,100000,0,4.364854,22910.274507,10.401082,10.966431,12.884930
1,2,4,8,1,100000,100000,0,4.426189,22592.798853,10.447272,11.120912,13.010399
1,2,4,8,1,100000,100000,0,3.879471,25776.713202,10.381399,11.088034,12.932263
1,2,4,8,1,100000,100000,0,3.876052,25799.448983,10.431195,11.029195,12.885370
1,2,4,8,1,100000,100000,0,3.916518,25532.881279,10.442669,11.060946,12.885396
1,2,4,8,1,100000,100000,0,3.908870,25582.839303,10.440825,11.078142,12.869673
1,2,4,8,1,100000,100000,0,3.902668,25623.497231,10.470934,11.102180,12.918293
1,2,4,8,1,100000,100000,0,3.918375,25520.782023,10.460435,11.151912,12.981478
1,2,4,8,1,100000,100000,0,3.903254,25619.650273,10.471812,11.067551,12.931575
1,3,2,6,1,100000,100000,0,4.563013,21915.345367,8.986812,9.656802,11.244017
1,3,2,6,1,100000,100000,0,4.548504,21985.251787,8.995362,9.556371,11.072888
1,3,2,6,1,100000,100000,0,4.526189,22093.643335,9.006668,9.526195,11.103206
1,3,2,6,1,100000,100000,0,4.583381,21817.955311,8.990412,9.609658,11.131822
1,3,2,6,1,100000,100000,0,4.498143,22231.394288,8.939019,9.426853,10.949845
1,3,2,6,1,100000,100000,0,4.573585,21864.686998,8.957541,9.576472,11.093439
1,3,2,6,1,100000,100000,0,4.666604,21428.861277,9.141690,9.701201,11.260695
1,3,2,6,1,100000,100000,0,4.566879,21896.790233,9.028963,9.528549,11.124997
1,3,2,6,1,100000,100000,0,4.620800,21641.276496,8.989261,9.531880,11.071806
1,3,2,6,1,100000,100000,0,4.516357,22141.737150,8.960010,9.529031,11.059886
1,3,3,9,1,100000,100000,0,-9.911518,-10089.271587,11.932093,12.523269,14.716169
1,3,3,9,1,100000,100000,0,3.961472,25243.144314,11.552138,12.430768,14.318622
1,3,3,9,1,100000,100000,0,3.949473,25319.832362,11.615070,12.301809,14.420647
1,3,3,9,1,100000,100000,0,3.950141,25315.551418,11.450364,12.396509,14.396181
1,3,3,9,1,100000,100000,0,3.942891,25362.102517,11.636732,12.317552,14.421912
1,3,3,9,1,100000,100000,0,4.009598,24940.158304,11.718037,12.531861,14.599652
1,3,3,9,1,100000,100000,0,3.956154,25277.076213,11.610978,12.491295,14.301252
1,3,3,9,1,100000,100000,0,4.061581,24620.953296,11.781478,12.386197,14.474656
1,3,3,9,1,100000,100000,0,4.036415,24774.457139,11.915637,12.588465,14.808120
1,3,3,9,1,100000,100000,0,4.040438,24749.794667,11.611095,12.368008,14.465794
1,3,4,12,1,100000,100000,0,3.965024,25220.531435,15.292260,16.434392,19.342767
1,3,4,12,1,100000,100000,0,3.975810,25152.105503,15.001946,16.581667,19.042026
1,3,4,12,1,100000,100000,0,4.055032,24660.717844,14.953410,16.448561,19.136963
1,3,4,12,1,100000,100000,0,3.978597,25134.489627,15.320518,16.100722,19.037713
1,3,4,12,1,100000,100000,0,4.011189,24930.263341,15.269470,16.604594,19.561016
1,3,4,12,1,100000,100000,0,3.998627,25008.587055,14.892037,16.408943,19.052893
1,3,4,12,1,100000,100000,0,3.965168,25219.615438,15.276622,16.093610,19.156118
1,3,4,12,1,100000,100000,0,3.967963,25201.845290,15.305180,16.219484,19.239214
1,3,4,12,1,100000,100000,0,3.957754,25266.858861,15.287762,16.256795,19.229414
1,3,4,12,1,100000,100000,0,4.095885,24414.745559,14.989309,16.381139,19.264554
