OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,11.639748,8591.251138,7.751159,8.001181,9.237617
1,1,2,2,1,100000,100000,0,30.582645,3269.828370,20.373636,21.290809,24.538991
1,1,2,2,1,100000,100000,0,11.383718,8784.475945,7.532341,7.862086,9.084372
1,1,2,2,1,100000,100000,0,10.929127,9149.861454,7.563909,7.885297,9.127419
1,1,2,2,1,100000,100000,0,11.614021,8610.282199,7.672060,7.987940,9.269059
1,1,2,2,1,100000,100000,0,11.445919,8736.738615,7.565693,7.872550,9.170113
1,1,2,2,1,100000,100000,0,11.373345,8792.487752,7.776408,8.179162,9.502250
1,1,2,2,1,100000,100000,0,11.605707,8616.450875,7.629659,8.006761,9.293719
1,1,2,2,1,100000,100000,0,11.421419,8755.479708,7.509975,7.895341,9.153439
1,1,2,2,1,100000,100000,0,11.382390,8785.501011,7.480184,7.836818,9.157540
1,1,3,3,1,100000,100000,0,7.930173,12610.065483,8.094352,8.490646,9.842582
1,1,3,3,1,100000,100000,0,7.778853,12855.365409,7.908797,8.358913,9.713655
1,1,3,3,1,100000,100000,0,8.534293,11717.431865,8.165757,8.565252,9.973997
1,1,3,3,1,100000,100000,0,7.967344,12551.234122,8.269038,8.452348,9.804183
1,1,3,3,1,100000,100000,0,7.939571,12595.139085,8.169911,8.433942,9.851557
1,1,3,3,1,100000,100000,0,8.358598,11963.729036,8.111327,8.384471,9.720405
1,1,3,3,1,100000,100000,0,7.939506,12595.241442,8.113673,8.470415,9.866842
1,1,3,3,1,100000,100000,0,7.976030,12537.566462,8.143764,8.511605,9.905461
1,1,3,3,1,100000,100000,0,8.414506,11884.238853,8.065744,8.454089,9.827404
1,1,3,3,1,100000,100000,0,7.961460,12560.510058,8.180806,8.457004,9.865274
1,1,4,4,1,100000,100000,0,6.330200,15797.290413,8.177925,8.654711,10.061337
1,1,4,4,1,100000,100000,0,6.282324,15917.676044,8.204724,8.588543,9.929957
1,1,4,4,1,100000,100000,0,5.844732,17109.423964,8.306994,8.577111,10.050938
1,1,4,4,1,100000,100000,0,6.281267,15920.355181,8.127638,8.555747,9.975951
1,1,4,4,1,100000,100000,0,6.230806,16049.287493,8.039108,8.558354,10.009844
1,1,4,4,1,100000,100000,0,6.325705,15808.514107,8.218133,8.620739,10.075951
1,1,4,4,1,100000,100000,0,5.905180,16934.283710,8.318887,8.723700,10.149751
1,1,4,4,1,100000,100000,0,6.342000,15767.897132,8.292466,8.621892,10.032521
1,1,4,4,1,100000,100000,0,6.371308,15695.363529,8.226067,8.663843,10.186667
1,1,4,4,1,100000,100000,0,6.492058,15403.436101,8.515600,8.787896,10.226141
1,1,5,5,1,100000,100000,0,5.445310,18364.428203,8.945996,9.374481,10.905717
1,1,5,5,1,100000,100000,0,5.416986,18460.451551,8.819916,9.353008,10.941040
1,1,5,5,1,100000,100000,0,5.452930,18338.763992,8.901960,9.388542,10.969341
1,1,5,5,1,100000,100000,0,5.357699,18664.727935,8.717091,9.275541,10.805305
1,1,5,5,1,100000,100000,0,5.450605,18346.588079,8.924437,9.381783,10.932117
1,1,5,5,1,100000,100000,0,5.475558,18262.977526,9.031081,9.401834,10.971426
1,1,5,5,1,100000,100000,0,5.403475,18506.610666,8.744434,9.357515,10.963076
1,1,5,5,1,100000,100000,0,5.431308,18411.771286,8.877025,9.358970,10.912288
1,1,5,5,1,100000,100000,0,5.427483,18424.747768,8.978031,9.329393,10.857447
1,1,5,5,1,100000,100000,0,5.412427,18476.000407,8.762900,9.353267,10.968797
1,1,8,8,1,100000,100000,0,4.088383,24459.545826,10.891759,11.396700,13.506905
1,1,8,8,1,100000,100000,0,3.909745,25577.116245,10.444155,11.047708,12.966914
1,1,8,8,1,100000,100000,0,3.909829,25576.568576,10.451472,11.085120,12.975502
1,1,8,8,1,100000,100000,0,3.905412,25605.493194,10.382086,11.036683,13.011131
1,1,8,8,1,100000,100000,0,4.384686,22806.652775,10.402635,11.011571,12.941411
1,1,8,8,1,100000,100000,0,3.979949,25125.951009,10.578348,11.242492,13.179787
1,1,8,8,1,100000,100000,0,3.924976,25477.863385,10.471253,11.094715,13.020339
1,1,8,8,1,100000,100000,0,3.940004,25380.681717,10.509053,11.080588,13.050491
1,1,8,8,1,100000,100000,0,3.927695,25460.227953,10.451156,11.095080,13.048291
1,1,8,8,1,100000,100000,0,4.007978,24950.237886,10.657478,11.328309,13.226769
