OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
0,1,1,1,1,100000,100000,0,16.720996,5980.505102,5.252584,5.938030,7.018445
0,1,1,1,1,100000,100000,0,16.103944,6209.659138,5.069505,5.728674,6.796111
0,1,1,1,1,100000,100000,0,15.745627,6350.969672,4.980882,5.617577,6.638022
0,1,1,1,1,100000,100000,0,16.161169,6187.671102,5.106771,5.743497,6.799175
0,1,1,1,1,100000,100000,0,15.939369,6273.773990,5.179666,5.827267,6.922346
0,1,1,1,1,100000,100000,0,16.344098,6118.416482,5.160042,5.806607,6.866290
0,1,1,1,1,100000,100000,0,16.416979,6091.254747,5.167136,5.832901,6.902395
0,1,1,1,1,100000,100000,0,15.979054,6258.192770,5.056402,5.695450,6.715390
0,1,1,1,1,100000,100000,0,15.755670,6346.921377,5.167127,5.773050,6.810403
0,1,1,1,1,100000,100000,0,16.408660,6094.342690,5.176682,5.828934,6.888333
1,1,2,2,1,100000,100000,0,17.034903,5870.300652,5.241202,6.012025,7.266475
1,1,2,2,1,100000,100000,0,16.971920,5892.085229,5.227663,5.988787,7.239357
1,1,2,2,1,100000,100000,0,16.351863,6115.511143,5.220364,5.947898,7.170035
1,1,2,2,1,100000,100000,0,16.935108,5904.892788,5.208515,5.983405,7.234074
1,1,2,2,1,100000,100000,0,16.808822,5949.256787,5.173593,5.959206,7.159102
1,1,2,2,1,100000,100000,0,32.210102,3104.616016,5.311193,6.097758,7.375653
1,1,2,2,1,100000,100000,0,1.553058,64389.087327,5.228045,5.988116,7.234991
1,1,2,2,1,100000,100000,0,16.483160,6066.797998,5.226256,5.999547,7.241410
1,1,2,2,1,100000,100000,0,16.911635,5913.088985,5.204311,5.972962,7.224753
1,1,2,2,1,100000,100000,0,17.054931,5863.406727,5.266755,6.020853,7.248881
1,1,3,3,1,100000,100000,0,14.411258,6939.019346,4.342807,5.143694,6.410724
1,1,3,3,1,100000,100000,0,14.297503,6994.228143,4.313464,5.105007,6.368500
1,1,3,3,1,100000,100000,0,14.516639,6888.646797,4.383793,5.169463,6.448473
1,1,3,3,1,100000,100000,0,14.579527,6858.933106,4.390246,5.181939,6.494868
1,1,3,3,1,100000,100000,0,14.635836,6832.544668,4.400314,5.210478,6.511206
1,1,3,3,1,100000,100000,0,16.321981,6126.707325,4.770368,5.736855,7.297981
1,1,3,3,1,100000,100000,0,14.579339,6859.021364,4.392486,5.181072,6.491312
1,1,3,3,1,100000,100000,0,14.644738,6828.391359,4.410904,5.219857,6.501351
1,1,3,3,1,100000,100000,0,14.690080,6807.315073,4.421171,5.229922,6.525448
1,1,3,3,1,100000,100000,0,14.449799,6920.511266,4.343125,5.155886,6.438343
1,1,4,4,1,100000,100000,0,15.021701,6657.035730,4.512790,5.333511,6.659960
1,1,4,4,1,100000,100000,0,15.071408,6635.080180,4.539052,5.356458,6.665662
1,1,4,4,1,100000,100000,0,15.116752,6615.177603,4.530225,5.379661,6.696157
1,1,4,4,1,100000,100000,0,15.000992,6666.225779,4.513113,5.328604,6.645011
1,1,4,4,1,100000,100000,0,14.953674,6687.319783,4.508835,5.309474,6.620448
1,1,4,4,1,100000,100000,0,15.053442,6642.999064,4.518064,5.345580,6.675231
1,1,4,4,1,100000,100000,0,15.058855,6640.611245,4.531675,5.342531,6.667809
1,1,4,4,1,100000,100000,0,15.095498,6624.491653,4.549779,5.363317,6.668881
1,1,4,4,1,100000,100000,0,15.173556,6590.412980,4.568613,5.383574,6.706209
1,1,4,4,1,100000,100000,0,15.124769,6611.671245,4.538843,5.365185,6.709734
1,1,5,5,1,100000,100000,0,16.095763,6212.815099,4.820870,5.676561,7.078036
1,1,5,5,1,100000,100000,0,16.040867,6234.076881,4.822454,5.680215,7.025808
1,1,5,5,1,100000,100000,0,16.040840,6234.087419,4.840910,5.658544,7.028148
1,1,5,5,1,100000,100000,0,15.661030,6385.276193,4.861186,5.705210,7.080393
1,1,5,5,1,100000,100000,0,16.077736,6219.781042,4.815203,5.690131,7.058191
1,1,5,5,1,100000,100000,0,16.107391,6208.329894,4.840596,5.706018,7.048325
1,1,5,5,1,100000,100000,0,16.225334,6163.201479,4.866916,5.723433,7.121100
1,1,5,5,1,100000,100000,0,16.066899,6223.976312,4.817446,5.681464,7.048542
1,1,5,5,1,100000,100000,0,15.582663,6417.388198,4.825019,5.684205,7.057568
1,1,5,5,1,100000,100000,0,16.144425,6194.088559,4.847544,5.711450,7.069569
1,1,8,8,1,100000,100000,0,21.754413,4596.768390,6.796669,7.743744,9.197584
1,1,8,8,1,100000,100000,0,21.338387,4686.389853,6.647183,7.618418,9.054138
1,1,8,8,1,100000,100000,0,20.736084,4822.511276,6.592040,7.634115,8.996733
1,1,8,8,1,100000,100000,0,21.701265,4608.026271,6.751240,7.731801,9.203381
1,1,8,8,1,100000,100000,0,21.227268,4710.921907,6.648241,7.554550,9.005788
1,1,8,8,1,100000,100000,0,23.342650,4284.003829,7.503383,8.415399,9.909917
1,1,8,8,1,100000,100000,0,21.184888,4720.346046,6.580563,7.587553,8.999378
1,1,8,8,1,100000,100000,0,21.534968,4643.610265,6.723375,7.707596,9.084924
1,1,8,8,1,100000,100000,0,21.071506,4745.745271,6.789749,7.676830,9.091738
1,1,8,8,1,100000,100000,0,21.387445,4675.640370,6.663530,7.629545,9.078043
