OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,6.309821,15848.310279
1,2,2,4,1,100000,100000,0,6.348332,15752.168529
1,2,2,4,1,100000,100000,0,6.590809,15172.643117
1,2,2,4,1,100000,100000,0,6.336667,15781.167885
1,2,2,4,1,100000,100000,0,6.203443,16120.080416
1,2,2,4,1,100000,100000,0,6.255297,15986.451268
1,2,2,4,1,100000,100000,0,6.170360,16206.509883
1,2,2,4,1,100000,100000,0,6.277538,15929.813212
1,2,2,4,1,100000,100000,0,6.202174,16123.377735
1,2,2,4,1,100000,100000,0,6.206481,16112.188831
1,2,3,6,1,100000,100000,0,4.620722,21641.638588
1,2,3,6,1,100000,100000,0,4.659464,21461.697870
1,2,3,6,1,100000,100000,0,4.486577,22288.705071
1,2,3,6,1,100000,100000,0,4.778387,20927.566126
1,2,3,6,1,100000,100000,0,4.686759,21336.708284
1,2,3,6,1,100000,100000,0,4.571690,21873.750616
1,2,3,6,1,100000,100000,0,4.558523,21936.927671
1,2,3,6,1,100000,100000,0,4.779457,20922.877211
1,2,3,6,1,100000,100000,0,4.914466,20348.089613
1,2,3,6,1,100000,100000,0,4.874042,20516.852152
1,2,4,8,1,100000,100000,0,4.247253,23544.632516
1,2,4,8,1,100000,100000,0,4.243163,23567.326125
1,2,4,8,1,100000,100000,0,4.285238,23335.927201
1,2,4,8,1,100000,100000,0,4.234086,23617.849737
1,2,4,8,1,100000,100000,0,4.295930,23277.844447
1,2,4,8,1,100000,100000,0,4.262517,23460.314503
1,2,4,8,1,100000,100000,0,4.238379,23593.927728
1,2,4,8,1,100000,100000,0,4.295844,23278.311440
1,2,4,8,1,100000,100000,0,4.226889,23658.060076
1,2,4,8,1,100000,100000,0,4.260288,23472.594180
1,3,2,6,1,100000,100000,0,4.936605,20256.837718
1,3,2,6,1,100000,100000,0,4.992542,20029.874895
1,3,2,6,1,100000,100000,0,4.996232,20015.081788
1,3,2,6,1,100000,100000,0,5.040637,19838.762603
1,3,2,6,1,100000,100000,0,4.898029,20416.376182
1,3,2,6,1,100000,100000,0,5.017579,19929.930220
1,3,2,6,1,100000,100000,0,5.026778,19893.457232
1,3,2,6,1,100000,100000,0,4.907136,20378.485582
1,3,2,6,1,100000,100000,0,4.971883,20113.104389
1,3,2,6,1,100000,100000,0,5.055761,19779.414765
1,3,3,9,1,100000,100000,0,4.321281,23141.287115
1,3,3,9,1,100000,100000,0,4.234695,23614.453853
1,3,3,9,1,100000,100000,0,4.237654,23597.964941
1,3,3,9,1,100000,100000,0,4.285860,23332.541938
1,3,3,9,1,100000,100000,0,4.290756,23305.918290
1,3,3,9,1,100000,100000,0,4.353705,22968.944359
1,3,3,9,1,100000,100000,0,-10.771615,-9283.658674
1,3,3,9,1,100000,100000,0,-10.675747,-9367.026290
1,3,3,9,1,100000,100000,0,4.256816,23491.737325
1,3,3,9,1,100000,100000,0,4.293483,23291.111839
1,3,4,12,1,100000,100000,0,4.276811,23381.907092
1,3,4,12,1,100000,100000,0,4.369121,22887.900654
1,3,4,12,1,100000,100000,0,4.314094,23179.836541
1,3,4,12,1,100000,100000,0,4.233597,23620.573618
1,3,4,12,1,100000,100000,0,19.307038,5179.458287
1,3,4,12,1,100000,100000,0,19.265250,5190.693198
1,3,4,12,1,100000,100000,0,4.301529,23247.548671
1,3,4,12,1,100000,100000,0,4.297155,23271.210235
1,3,4,12,1,100000,100000,0,4.305870,23224.108190
1,3,4,12,1,100000,100000,0,4.256310,23494.529906
1,4,2,8,1,100000,100000,0,4.156784,24057.058333
1,4,2,8,1,100000,100000,0,4.182552,23908.845474
1,4,2,8,1,100000,100000,0,4.290484,23307.392003
1,4,2,8,1,100000,100000,0,4.163072,24020.723516
1,4,2,8,1,100000,100000,0,4.279330,23368.146230
1,4,2,8,1,100000,100000,0,4.223543,23676.805024
1,4,2,8,1,100000,100000,0,4.269410,23422.439033
1,4,2,8,1,100000,100000,0,4.195047,23837.636709
1,4,2,8,1,100000,100000,0,4.260077,23473.756212
1,4,2,8,1,100000,100000,0,4.177127,23939.901877
1,4,3,12,1,100000,100000,0,4.279961,23364.700702
1,4,3,12,1,100000,100000,0,4.260607,23470.834537
1,4,3,12,1,100000,100000,0,4.330284,23093.175848
1,4,3,12,1,100000,100000,0,4.274697,23393.469495
1,4,3,12,1,100000,100000,0,4.236271,23605.663763
1,4,3,12,1,100000,100000,0,4.352596,22974.794084
1,4,3,12,1,100000,100000,0,4.271701,23409.875860
1,4,3,12,1,100000,100000,0,4.313363,23183.766909
1,4,3,12,1,100000,100000,0,4.251258,23522.448605
1,4,3,12,1,100000,100000,0,4.259137,23478.933202
1,4,4,16,1,100000,100000,0,4.214066,23730.049439
1,4,4,16,1,100000,100000,0,4.404899,22701.994093
1,4,4,16,1,100000,100000,0,4.319180,23152.541809
1,4,4,16,1,100000,100000,0,4.296004,23277.447499
1,4,4,16,1,100000,100000,0,4.293723,23289.811011
1,4,4,16,1,100000,100000,0,4.278011,23375.347386
1,4,4,16,1,100000,100000,0,4.656506,21475.331376
1,4,4,16,1,100000,100000,0,4.591249,21780.567410
