OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,11.892200,8408.873256
1,1,2,2,1,100000,100000,0,26.094924,3832.162858
1,1,2,2,1,100000,100000,0,15.826685,6318.442745
1,1,2,2,1,100000,100000,0,11.177158,8946.818379
1,1,2,2,1,100000,100000,0,11.007103,9085.042497
1,1,2,2,1,100000,100000,0,10.932755,9146.824951
1,1,2,2,1,100000,100000,0,11.384231,8784.080016
1,1,2,2,1,100000,100000,0,11.137331,8978.811820
1,1,2,2,1,100000,100000,0,11.369503,8795.459575
1,1,2,2,1,100000,100000,0,10.913418,9163.032320
1,1,3,3,1,100000,100000,0,8.093992,12354.842208
1,1,3,3,1,100000,100000,0,27.639923,3617.955098
1,1,3,3,1,100000,100000,0,7.655263,13062.908100
1,1,3,3,1,100000,100000,0,7.947168,12583.099486
1,1,3,3,1,100000,100000,0,8.033905,12447.247166
1,1,3,3,1,100000,100000,0,8.131976,12297.134459
1,1,3,3,1,100000,100000,0,28.268201,3537.543838
1,1,3,3,1,100000,100000,0,7.635013,13097.555037
1,1,3,3,1,100000,100000,0,7.621036,13121.575402
1,1,3,3,1,100000,100000,0,8.218931,12167.032511
1,1,4,4,1,100000,100000,0,5.945006,16820.841971
1,1,4,4,1,100000,100000,0,6.140950,16284.125434
1,1,4,4,1,100000,100000,0,-8.881279,-11259.639295
1,1,4,4,1,100000,100000,0,6.085976,16431.217251
1,1,4,4,1,100000,100000,0,6.166184,16217.486497
1,1,4,4,1,100000,100000,0,6.046269,16539.124363
1,1,4,4,1,100000,100000,0,6.122971,16331.940791
1,1,4,4,1,100000,100000,0,6.201534,16125.041490
1,1,4,4,1,100000,100000,0,6.172855,16199.959551
1,1,4,4,1,100000,100000,0,6.298825,15875.977229
1,1,5,5,1,100000,100000,0,5.290808,18900.703005
1,1,5,5,1,100000,100000,0,-9.675211,-10335.692351
1,1,5,5,1,100000,100000,0,5.363570,18644.299294
1,1,5,5,1,100000,100000,0,5.315407,18813.234031
1,1,5,5,1,100000,100000,0,5.326782,18773.058966
1,1,5,5,1,100000,100000,0,5.392424,18544.535650
1,1,5,5,1,100000,100000,0,5.332905,18751.506648
1,1,5,5,1,100000,100000,0,5.351053,18687.909949
1,1,5,5,1,100000,100000,0,5.336174,18740.019275
1,1,5,5,1,100000,100000,0,5.347462,18700.459413
1,1,8,8,1,100000,100000,0,4.075990,24533.918268
1,1,8,8,1,100000,100000,0,4.235773,23608.443078
1,1,8,8,1,100000,100000,0,4.163871,24016.114630
1,1,8,8,1,100000,100000,0,4.171557,23971.863443
1,1,8,8,1,100000,100000,0,4.176208,23945.169294
1,1,8,8,1,100000,100000,0,3.986008,25087.757307
1,1,8,8,1,100000,100000,0,4.361725,22926.711261
1,1,8,8,1,100000,100000,0,4.371130,22877.378215
1,1,8,8,1,100000,100000,0,4.218983,23702.394410
1,1,8,8,1,100000,100000,0,4.196442,23829.708736
