OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,16.397975,6098.313812
1,1,2,2,1,100000,100000,0,31.398828,3184.832270
1,1,2,2,1,100000,100000,0,1.427123,70071.046898
1,1,2,2,1,100000,100000,0,16.384130,6103.467149
1,1,2,2,1,100000,100000,0,16.562530,6037.724931
1,1,2,2,1,100000,100000,0,16.562752,6037.643812
1,1,2,2,1,100000,100000,0,16.507961,6057.683445
1,1,2,2,1,100000,100000,0,16.502305,6059.759520
1,1,2,2,1,100000,100000,0,16.662745,6001.411971
1,1,2,2,1,100000,100000,0,16.315499,6129.141529
1,1,3,3,1,100000,100000,0,14.808480,6752.887573
1,1,3,3,1,100000,100000,0,14.611447,6843.949204
1,1,3,3,1,100000,100000,0,14.718731,6794.063790
1,1,3,3,1,100000,100000,0,14.789611,6761.503071
1,1,3,3,1,100000,100000,0,14.629734,6835.394213
1,1,3,3,1,100000,100000,0,14.811499,6751.511229
1,1,3,3,1,100000,100000,0,14.460147,6915.559035
1,1,3,3,1,100000,100000,0,14.707821,6799.103632
1,1,3,3,1,100000,100000,0,14.548827,6873.406434
1,1,3,3,1,100000,100000,0,14.660466,6821.065782
1,1,4,4,1,100000,100000,0,14.932434,6696.831691
1,1,4,4,1,100000,100000,0,15.045034,6646.711684
1,1,4,4,1,100000,100000,0,15.044639,6646.885925
1,1,4,4,1,100000,100000,0,15.068119,6636.528225
1,1,4,4,1,100000,100000,0,15.084585,6629.283998
1,1,4,4,1,100000,100000,0,15.324693,6525.416297
1,1,4,4,1,100000,100000,0,14.909368,6707.192223
1,1,4,4,1,100000,100000,0,15.030122,6653.306076
1,1,4,4,1,100000,100000,0,15.552471,6429.846572
1,1,4,4,1,100000,100000,0,14.943582,6691.836182
1,1,5,5,1,100000,100000,0,15.650518,6389.564866
1,1,5,5,1,100000,100000,0,15.875909,6298.851870
1,1,5,5,1,100000,100000,0,15.840787,6312.817773
1,1,5,5,1,100000,100000,0,15.763013,6343.964926
1,1,5,5,1,100000,100000,0,15.842817,6312.008594
1,1,5,5,1,100000,100000,0,15.752794,6348.080299
1,1,5,5,1,100000,100000,0,15.854740,6307.261922
1,1,5,5,1,100000,100000,0,15.757517,6346.177658
1,1,5,5,1,100000,100000,0,15.791624,6332.470779
1,1,5,5,1,100000,100000,0,15.856055,6306.738903
1,1,8,8,1,100000,100000,0,21.711867,4605.776255
1,1,8,8,1,100000,100000,0,21.400659,4672.753318
1,1,8,8,1,100000,100000,0,21.055034,4749.457968
1,1,8,8,1,100000,100000,0,21.247725,4706.386202
1,1,8,8,1,100000,100000,0,21.652273,4618.452666
1,1,8,8,1,100000,100000,0,21.907669,4564.611652
1,1,8,8,1,100000,100000,0,22.105431,4523.775274
1,1,8,8,1,100000,100000,0,22.258828,4492.599557
1,1,8,8,1,100000,100000,0,22.178065,4508.959626
1,1,8,8,1,100000,100000,0,21.746212,4598.501980
