OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,5.629747,17762.786756
1,2,2,4,1,100000,100000,0,5.560308,17984.613960
1,2,2,4,1,100000,100000,0,5.558876,17989.249484
1,2,2,4,1,100000,100000,0,5.508760,18152.906322
1,2,2,4,1,100000,100000,0,5.622760,17784.861430
1,2,2,4,1,100000,100000,0,5.629758,17762.753062
1,2,2,4,1,100000,100000,0,5.731721,17446.767832
1,2,2,4,1,100000,100000,0,5.739493,17423.140996
1,2,2,4,1,100000,100000,0,5.485082,18231.267984
1,2,2,4,1,100000,100000,0,5.747958,17397.484194
1,2,3,6,1,100000,100000,0,4.109686,24332.757318
1,2,3,6,1,100000,100000,0,4.134276,24188.034494
1,2,3,6,1,100000,100000,0,4.101545,24381.057625
1,2,3,6,1,100000,100000,0,4.089994,24449.910683
1,2,3,6,1,100000,100000,0,4.504422,22200.408520
1,2,3,6,1,100000,100000,0,4.159605,24040.743814
1,2,3,6,1,100000,100000,0,4.124301,24246.530658
1,2,3,6,1,100000,100000,0,4.214333,23728.548865
1,2,3,6,1,100000,100000,0,10.003339,9996.662521
1,2,3,6,1,100000,100000,0,4.064500,24603.272586
1,2,4,8,1,100000,100000,0,3.533514,28300.440541
1,2,4,8,1,100000,100000,0,3.703193,27003.720634
1,2,4,8,1,100000,100000,0,3.709800,26955.629818
1,2,4,8,1,100000,100000,0,3.549680,28171.557183
1,2,4,8,1,100000,100000,0,3.563754,28060.295647
1,2,4,8,1,100000,100000,0,3.696093,27055.597621
1,2,4,8,1,100000,100000,0,4.070528,24566.836772
1,2,4,8,1,100000,100000,0,3.707229,26974.322758
1,2,4,8,1,100000,100000,0,3.729745,26811.485567
1,2,4,8,1,100000,100000,0,3.777945,26469.413379
1,3,2,6,1,100000,100000,0,4.193013,23849.195931
1,3,2,6,1,100000,100000,0,4.184433,23898.099401
1,3,2,6,1,100000,100000,0,4.216538,23716.141221
1,3,2,6,1,100000,100000,0,4.241525,23576.425926
1,3,2,6,1,100000,100000,0,27.320396,3660.269039
1,3,2,6,1,100000,100000,0,4.162593,24023.486764
1,3,2,6,1,100000,100000,0,4.068144,24581.232005
1,3,2,6,1,100000,100000,0,4.080852,24504.689523
1,3,2,6,1,100000,100000,0,4.105304,24358.730354
1,3,2,6,1,100000,100000,0,4.503083,22207.007584
1,3,3,9,1,100000,100000,0,4.433291,22556.607044
1,3,3,9,1,100000,100000,0,4.064315,24604.392360
1,3,3,9,1,100000,100000,0,3.759421,26599.840321
1,3,3,9,1,100000,100000,0,3.890493,25703.682381
1,3,3,9,1,100000,100000,0,3.787785,26400.656921
1,3,3,9,1,100000,100000,0,3.793472,26361.071822
1,3,3,9,1,100000,100000,0,3.939029,25386.968013
1,3,3,9,1,100000,100000,0,3.867617,25855.713780
1,3,3,9,1,100000,100000,0,3.841868,26029.004668
1,3,3,9,1,100000,100000,0,3.887545,25723.172738
1,3,4,12,1,100000,100000,0,3.907137,25594.188303
1,3,4,12,1,100000,100000,0,31.877885,3136.970944
1,3,4,12,1,100000,100000,0,3.503606,28542.025531
1,3,4,12,1,100000,100000,0,3.564170,28057.019465
1,3,4,12,1,100000,100000,0,3.558887,28098.674009
1,3,4,12,1,100000,100000,0,3.646520,27423.405125
1,3,4,12,1,100000,100000,0,19.131718,5226.922214
1,3,4,12,1,100000,100000,0,3.738834,26746.306347
1,3,4,12,1,100000,100000,0,3.782964,26434.300355
1,3,4,12,1,100000,100000,0,3.873007,25819.729470
1,4,2,8,1,100000,100000,0,3.805744,26276.069419
1,4,2,8,1,100000,100000,0,3.823190,26156.168674
1,4,2,8,1,100000,100000,0,3.874049,25812.783339
1,4,2,8,1,100000,100000,0,3.886260,25731.680204
1,4,2,8,1,100000,100000,0,4.103349,24370.339149
1,4,2,8,1,100000,100000,0,3.831569,26098.968726
1,4,2,8,1,100000,100000,0,3.868327,25850.965474
1,4,2,8,1,100000,100000,0,3.965781,25215.713533
1,4,2,8,1,100000,100000,0,3.910190,25574.203860
1,4,2,8,1,100000,100000,0,4.126451,24233.901781
1,4,3,12,1,100000,100000,0,4.196266,23830.710860
1,4,3,12,1,100000,100000,0,4.165829,24004.825521
1,4,3,12,1,100000,100000,0,4.189134,23871.279834
1,4,3,12,1,100000,100000,0,4.326446,23113.657435
1,4,3,12,1,100000,100000,0,4.574822,21858.774881
1,4,3,12,1,100000,100000,0,4.278721,23371.469573
1,4,3,12,1,100000,100000,0,4.244880,23557.793218
1,4,3,12,1,100000,100000,0,3.978275,25136.524123
1,4,3,12,1,100000,100000,0,4.517391,22136.673586
1,4,3,12,1,100000,100000,0,4.388314,22787.792593
1,4,4,16,1,100000,100000,0,4.469535,22373.690866
1,4,4,16,1,100000,100000,0,4.490441,22269.526616
1,4,4,16,1,100000,100000,0,20.111824,4972.199433
1,4,4,16,1,100000,100000,0,4.584612,21812.098048
1,4,4,16,1,100000,100000,0,4.558659,21936.273518
1,4,4,16,1,100000,100000,0,4.522250,22112.887336
1,4,4,16,1,100000,100000,0,4.688853,21327.178226
1,4,4,16,1,100000,100000,0,4.658714,21465.148915
1,4,4,16,1,100000,100000,0,4.310862,23197.218712
1,4,4,16,1,100000,100000,0,4.775697,20939.353678
