OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,6.254145,15989.396710
1,2,2,4,1,100000,100000,0,6.340056,15772.730798
1,2,2,4,1,100000,100000,0,6.276113,15933.429405
1,2,2,4,1,100000,100000,0,6.300264,15872.349988
1,2,2,4,1,100000,100000,0,6.377380,15680.419276
1,2,2,4,1,100000,100000,0,6.305471,15859.243339
1,2,2,4,1,100000,100000,0,6.299530,15874.198985
1,2,2,4,1,100000,100000,0,6.272270,15943.192426
1,2,2,4,1,100000,100000,0,6.193446,16146.099224
1,2,2,4,1,100000,100000,0,6.337277,15779.648340
1,2,3,6,1,100000,100000,0,4.758905,21013.235461
1,2,3,6,1,100000,100000,0,-10.429473,-9588.211850
1,2,3,6,1,100000,100000,0,5.172213,19334.082339
1,2,3,6,1,100000,100000,0,5.353376,18679.801230
1,2,3,6,1,100000,100000,0,4.769613,20966.061022
1,2,3,6,1,100000,100000,0,4.744561,21076.763990
1,2,3,6,1,100000,100000,0,4.724720,21165.276281
1,2,3,6,1,100000,100000,0,4.788540,20883.190005
1,2,3,6,1,100000,100000,0,4.830885,20700.142921
1,2,3,6,1,100000,100000,0,4.861673,20569.050271
1,2,4,8,1,100000,100000,0,4.383532,22812.654911
1,2,4,8,1,100000,100000,0,4.268093,23429.664813
1,2,4,8,1,100000,100000,0,4.500968,22217.442806
1,2,4,8,1,100000,100000,0,4.360180,22934.831414
1,2,4,8,1,100000,100000,0,4.577681,21845.123243
1,2,4,8,1,100000,100000,0,4.537449,22038.815022
1,2,4,8,1,100000,100000,0,4.492735,22258.156443
1,2,4,8,1,100000,100000,0,4.529126,22079.313434
1,2,4,8,1,100000,100000,0,4.570967,21877.209010
1,2,4,8,1,100000,100000,0,4.589139,21790.578616
1,3,2,6,1,100000,100000,0,39.798177,2512.677889
1,3,2,6,1,100000,100000,0,6.373166,15690.789600
1,3,2,6,1,100000,100000,0,6.377063,15681.200265
1,3,2,6,1,100000,100000,0,6.436707,15535.893253
1,3,2,6,1,100000,100000,0,6.534790,15302.709417
1,3,2,6,1,100000,100000,0,6.377755,15679.497863
1,3,2,6,1,100000,100000,0,6.594063,15165.157753
1,3,2,6,1,100000,100000,0,29.603433,3377.986587
1,3,2,6,1,100000,100000,0,6.443588,15519.302955
1,3,2,6,1,100000,100000,0,6.682439,14964.597052
1,3,3,9,1,100000,100000,0,4.644696,21529.932834
1,3,3,9,1,100000,100000,0,4.773229,20950.178590
1,3,3,9,1,100000,100000,0,4.669995,21413.300038
1,3,3,9,1,100000,100000,0,26.882771,3719.854630
1,3,3,9,1,100000,100000,0,20.125098,4968.919977
1,3,3,9,1,100000,100000,0,4.647843,21515.358388
1,3,3,9,1,100000,100000,0,4.545337,22000.567115
1,3,3,9,1,100000,100000,0,4.757110,21021.168006
1,3,3,9,1,100000,100000,0,4.672296,21402.752864
1,3,3,9,1,100000,100000,0,4.657688,21469.880449
1,3,4,12,1,100000,100000,0,28.641384,3491.451440
1,3,4,12,1,100000,100000,0,3.952569,25300.001434
1,3,4,12,1,100000,100000,0,4.007821,24951.215988
1,3,4,12,1,100000,100000,0,4.020366,24873.354400
1,3,4,12,1,100000,100000,0,4.143739,24132.795086
1,3,4,12,1,100000,100000,0,24.407606,4097.083502
1,3,4,12,1,100000,100000,0,4.069415,24573.557638
1,3,4,12,1,100000,100000,0,4.106337,24352.604867
1,3,4,12,1,100000,100000,0,4.321352,23140.907321
1,3,4,12,1,100000,100000,0,3.913884,25550.069882
1,4,2,8,1,100000,100000,0,6.470445,15454.886676
1,4,2,8,1,100000,100000,0,6.360319,15722.481117
1,4,2,8,1,100000,100000,0,6.477702,15437.574125
1,4,2,8,1,100000,100000,0,6.474535,15445.125284
1,4,2,8,1,100000,100000,0,6.549354,15268.682279
1,4,2,8,1,100000,100000,0,6.520030,15337.353655
1,4,2,8,1,100000,100000,0,6.567240,15227.096789
1,4,2,8,1,100000,100000,0,6.559304,15245.520672
1,4,2,8,1,100000,100000,0,6.723466,14873.280948
1,4,2,8,1,100000,100000,0,6.761874,14788.798888
1,4,3,12,1,100000,100000,0,4.782082,20911.395035
1,4,3,12,1,100000,100000,0,4.863749,20560.270188
1,4,3,12,1,100000,100000,0,4.827821,20713.278738
1,4,3,12,1,100000,100000,0,4.929207,20287.239127
1,4,3,12,1,100000,100000,0,4.863543,20561.142407
1,4,3,12,1,100000,100000,0,5.018196,19927.479879
1,4,3,12,1,100000,100000,0,5.027526,19890.497212
1,4,3,12,1,100000,100000,0,5.002832,19988.677382
1,4,3,12,1,100000,100000,0,5.118287,19537.785958
1,4,3,12,1,100000,100000,0,40.878894,2446.250114
1,4,4,16,1,100000,100000,0,4.120703,24267.701221
1,4,4,16,1,100000,100000,0,3.934502,25416.180217
1,4,4,16,1,100000,100000,0,4.102803,24373.583446
1,4,4,16,1,100000,100000,0,4.162433,24024.412466
1,4,4,16,1,100000,100000,0,4.229066,23645.885695
1,4,4,16,1,100000,100000,0,4.157340,24053.840789
1,4,4,16,1,100000,100000,0,4.225552,23665.549262
1,4,4,16,1,100000,100000,0,4.335683,23064.417335
1,4,4,16,1,100000,100000,0,4.707047,21244.740833
1,4,4,16,1,100000,100000,0,4.349753,22989.808603
