OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,10.634571,9403.294393
1,2,2,4,1,100000,100000,0,10.643453,9395.447084
1,2,2,4,1,100000,100000,0,11.545693,8661.238568
1,2,2,4,1,100000,100000,0,11.910384,8396.034599
1,2,2,4,1,100000,100000,0,12.513549,7991.337757
1,2,2,4,1,100000,100000,0,12.923422,7737.888626
1,2,2,4,1,100000,100000,0,14.564809,6865.864232
1,2,2,4,1,100000,100000,0,13.313451,7511.200376
1,2,2,4,1,100000,100000,0,13.079637,7645.472309
1,2,2,4,1,100000,100000,0,13.430260,7445.872327
1,2,2,4,1,100000,100000,0,13.815850,7238.063345
1,2,2,4,1,100000,100000,0,13.277188,7531.715129
1,2,2,4,1,100000,100000,0,12.924472,7737.260206
1,2,2,4,1,100000,100000,0,13.106123,7630.021419
1,2,2,4,1,100000,100000,0,57.018157,1753.827299
1,2,2,4,1,100000,100000,0,19.198517,5208.735748
1,2,2,4,1,100000,100000,0,10.450278,9569.123403
1,2,2,4,1,100000,100000,0,11.333457,8823.432890
1,2,2,4,1,100000,100000,0,13.701700,7298.364330
1,2,2,4,1,100000,100000,0,13.236625,7554.795881
1,2,3,6,1,100000,100000,0,10.704917,9341.501797
1,2,3,6,1,100000,100000,0,10.385382,9628.919227
1,2,3,6,1,100000,100000,0,10.582991,9449.124460
1,2,3,6,1,100000,100000,0,46.372793,2156.436838
1,2,3,6,1,100000,100000,0,10.200350,9803.584837
1,2,3,6,1,100000,100000,0,10.345925,9665.641669
1,2,3,6,1,100000,100000,0,10.556002,9473.283820
1,2,3,6,1,100000,100000,0,11.670044,8568.947910
1,2,3,6,1,100000,100000,0,12.042162,8304.156904
1,2,3,6,1,100000,100000,0,12.483782,8010.392810
1,2,3,6,1,100000,100000,0,12.793767,7816.306275
1,2,3,6,1,100000,100000,0,12.788161,7819.732600
1,2,3,6,1,100000,100000,0,13.068913,7651.745877
1,2,3,6,1,100000,100000,0,12.778940,7825.375193
1,2,3,6,1,100000,100000,0,13.012961,7684.646127
1,2,3,6,1,100000,100000,0,13.180426,7587.008037
1,2,3,6,1,100000,100000,0,13.672825,7313.777286
1,2,3,6,1,100000,100000,0,18.148397,5510.128434
1,2,3,6,1,100000,100000,0,20.831956,4800.317457
1,2,3,6,1,100000,100000,0,17.649853,5665.769616
1,2,4,8,1,100000,100000,0,15.020082,6657.753408
1,2,4,8,1,100000,100000,0,13.359791,7485.147249
1,2,4,8,1,100000,100000,0,72.477913,1379.730684
1,2,4,8,1,100000,100000,0,10.203465,9800.591777
1,2,4,8,1,100000,100000,0,10.519484,9506.169981
1,2,4,8,1,100000,100000,0,10.786672,9270.699717
1,2,4,8,1,100000,100000,0,11.373852,8792.096132
1,2,4,8,1,100000,100000,0,12.176004,8212.875329
1,2,4,8,1,100000,100000,0,12.626304,7919.974011
1,2,4,8,1,100000,100000,0,12.805474,7809.160178
1,2,4,8,1,100000,100000,0,12.717333,7863.283741
1,2,4,8,1,100000,100000,0,12.950500,7721.709553
1,2,4,8,1,100000,100000,0,13.090278,7639.257318
1,2,4,8,1,100000,100000,0,13.302123,7517.597140
1,2,4,8,1,100000,100000,0,13.295057,7521.592573
1,2,4,8,1,100000,100000,0,13.556868,7376.334758
1,2,4,8,1,100000,100000,0,13.234406,7556.062554
