OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS,KEYGEN_SEC,ENC_SEC,DEC_SEC
1,1,2,2,1,100000,100000,0,33.351258,2998.387667,20.788640,20.926753,24.026599
1,1,2,2,1,100000,100000,0,11.509891,8688.179470,7.102698,7.273830,8.384288
1,1,2,2,1,100000,100000,0,11.245650,8892.327536,6.832234,7.110613,8.266570
1,1,2,2,1,100000,100000,0,31.444317,3180.224885,19.262104,19.935017,22.792840
1,1,2,2,1,100000,100000,0,-3.933725,-25421.199818,6.747639,7.029542,8.177972
1,1,2,2,1,100000,100000,0,11.230897,8904.008405,6.930357,7.225795,8.354389
1,1,2,2,1,100000,100000,0,31.194847,3205.657639,18.973333,19.703400,22.632444
1,1,2,2,1,100000,100000,0,11.712657,8537.772660,7.139365,7.391073,8.574299
1,1,2,2,1,100000,100000,0,11.288872,8858.280836,6.818989,7.152425,8.274346
1,1,2,2,1,100000,100000,0,30.224662,3308.556448,18.587534,18.842915,22.058986
1,1,3,3,1,100000,100000,0,8.188496,12212.255375,7.435904,7.759622,9.008717
1,1,3,3,1,100000,100000,0,8.217984,12168.434966,7.426520,7.850730,9.060796
1,1,3,3,1,100000,100000,0,8.284267,12071.073469,7.485576,7.885590,9.168234
1,1,3,3,1,100000,100000,0,8.375590,11939.457811,7.601998,7.976416,9.206049
1,1,3,3,1,100000,100000,0,8.202841,12190.898927,7.376991,7.804892,9.090042
1,1,3,3,1,100000,100000,0,28.300321,3533.528807,25.952939,26.737767,30.742278
1,1,3,3,1,100000,100000,0,8.128172,12302.889873,7.397676,7.765946,8.914827
1,1,3,3,1,100000,100000,0,-6.825695,-14650.522370,7.455972,7.786802,9.072214
1,1,3,3,1,100000,100000,0,8.222925,12161.122054,7.491282,7.906383,9.180463
1,1,3,3,1,100000,100000,0,27.569850,3627.150669,24.836925,26.021263,30.360503
1,1,4,4,1,100000,100000,0,6.208347,16107.346262,7.442469,7.869672,9.172945
1,1,4,4,1,100000,100000,0,6.150138,16259.796492,7.375704,7.800112,9.059285
1,1,4,4,1,100000,100000,0,6.140862,16284.360088,7.339681,7.775658,9.100478
1,1,4,4,1,100000,100000,0,6.190204,16154.557454,7.381516,7.838998,9.130515
1,1,4,4,1,100000,100000,0,6.261422,15970.812969,7.485965,7.907726,9.200466
1,1,4,4,1,100000,100000,0,6.107861,16372.344227,7.415738,7.843900,9.092432
1,1,4,4,1,100000,100000,0,6.368023,15703.459977,7.494832,7.955180,9.263729
1,1,4,4,1,100000,100000,0,21.166741,4724.392768,7.345523,7.775545,9.033805
1,1,4,4,1,100000,100000,0,6.231127,16048.461130,7.450509,7.915328,9.189046
1,1,4,4,1,100000,100000,0,-8.824763,-11331.749459,7.450113,7.886458,9.165321
1,1,5,5,1,100000,100000,0,5.417913,18457.292780,8.071578,8.578047,10.013901
1,1,5,5,1,100000,100000,0,5.378614,18592.151993,7.995151,8.523040,9.979430
1,1,5,5,1,100000,100000,0,5.399707,18519.524489,8.050599,8.534551,9.974121
1,1,5,5,1,100000,100000,0,5.429773,18416.977112,8.095337,8.600270,10.016134
1,1,5,5,1,100000,100000,0,5.376041,18601.048982,8.017152,8.526249,9.918142
1,1,5,5,1,100000,100000,0,5.396629,18530.084874,8.021990,8.547275,9.974840
1,1,5,5,1,100000,100000,0,5.372107,18614.670115,7.972670,8.524084,9.962909
1,1,5,5,1,100000,100000,0,5.441833,18376.162563,8.088329,8.615536,10.080591
1,1,5,5,1,100000,100000,0,5.504935,18165.520391,8.210104,8.711290,10.156453
1,1,5,5,1,100000,100000,0,5.441991,18375.628623,8.050876,8.611122,10.091256
1,1,8,8,1,100000,100000,0,4.018412,24885.449867,9.448287,10.195235,11.853000
1,1,8,8,1,100000,100000,0,4.070167,24569.015973,9.594998,10.230454,12.042565
1,1,8,8,1,100000,100000,0,4.090741,24445.448343,9.576851,10.322862,12.121557
1,1,8,8,1,100000,100000,0,4.467094,22385.920139,10.420682,11.171535,13.129363
1,1,8,8,1,100000,100000,0,4.537616,22038.005243,10.748607,11.275054,13.264191
1,1,8,8,1,100000,100000,0,4.300372,23253.799563,10.219982,10.753573,12.682159
1,1,8,8,1,100000,100000,0,4.365722,22905.720351,10.264238,10.993645,12.914083
1,1,8,8,1,100000,100000,0,4.489702,22273.192890,10.539439,11.254122,13.328746
1,1,8,8,1,100000,100000,0,4.527628,22086.619771,10.715902,11.398325,13.197222
1,1,8,8,1,100000,100000,0,5.014174,19943.464518,11.895168,12.365972,14.648438
