OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,2,2,4,1,100000,100000,0,8.569028,11669.934510
1,2,2,4,1,100000,100000,0,9.060099,11037.407308
1,2,2,4,1,100000,100000,0,8.936541,11190.012122
1,2,2,4,1,100000,100000,0,8.500648,11763.809448
1,2,2,4,1,100000,100000,0,8.659159,11548.465187
1,2,2,4,1,100000,100000,0,8.606054,11619.726754
1,2,2,4,1,100000,100000,0,8.420043,11876.423276
1,2,2,4,1,100000,100000,0,8.919940,11210.837339
1,2,2,4,1,100000,100000,0,8.993027,11119.727010
1,2,2,4,1,100000,100000,0,8.504398,11758.621609
1,2,3,6,1,100000,100000,0,6.075539,16459.444437
1,2,3,6,1,100000,100000,0,6.592274,15169.273540
1,2,3,6,1,100000,100000,0,6.980166,14326.306853
1,2,3,6,1,100000,100000,0,6.894025,14505.313871
1,2,3,6,1,100000,100000,0,7.141766,14002.138271
1,2,3,6,1,100000,100000,0,7.042344,14199.818456
1,2,3,6,1,100000,100000,0,7.093308,14097.794090
1,2,3,6,1,100000,100000,0,7.038318,14207.939047
1,2,3,6,1,100000,100000,0,7.155187,13975.874315
1,2,3,6,1,100000,100000,0,7.112691,14059.375461
1,2,4,8,1,100000,100000,0,5.993065,16685.952012
1,2,4,8,1,100000,100000,0,5.992007,16688.898758
1,2,4,8,1,100000,100000,0,5.987060,16702.687817
1,2,4,8,1,100000,100000,0,6.035810,16567.784743
1,2,4,8,1,100000,100000,0,6.024253,16599.569401
1,2,4,8,1,100000,100000,0,-10.076867,-9923.719436
1,2,4,8,1,100000,100000,0,6.034126,16572.409013
1,2,4,8,1,100000,100000,0,5.998740,16670.168083
1,2,4,8,1,100000,100000,0,5.603197,17846.955085
1,2,4,8,1,100000,100000,0,6.001174,16663.406232
1,3,2,6,1,100000,100000,0,7.089433,14105.499922
1,3,2,6,1,100000,100000,0,7.162423,13961.756389
1,3,2,6,1,100000,100000,0,7.070382,14143.507405
1,3,2,6,1,100000,100000,0,6.918352,14454.308610
1,3,2,6,1,100000,100000,0,6.689635,14948.497818
1,3,2,6,1,100000,100000,0,6.980572,14325.473848
1,3,2,6,1,100000,100000,0,6.594846,15163.356702
1,3,2,6,1,100000,100000,0,6.929348,14431.371402
1,3,2,6,1,100000,100000,0,6.610905,15126.522012
1,3,2,6,1,100000,100000,0,7.046517,14191.407811
1,3,3,9,1,100000,100000,0,5.954265,16794.685467
1,3,3,9,1,100000,100000,0,5.953387,16797.160969
1,3,3,9,1,100000,100000,0,5.950789,16804.494924
1,3,3,9,1,100000,100000,0,5.925938,16874.964535
1,3,3,9,1,100000,100000,0,5.618024,17799.851385
1,3,3,9,1,100000,100000,0,5.982222,16716.197356
1,3,3,9,1,100000,100000,0,5.959942,16778.686502
1,3,3,9,1,100000,100000,0,5.534017,18070.057678
1,3,3,9,1,100000,100000,0,5.949814,16807.246906
1,3,3,9,1,100000,100000,0,6.037015,16564.478565
1,3,4,12,1,100000,100000,0,5.623085,17783.832982
1,3,4,12,1,100000,100000,0,5.975994,16733.618311
1,3,4,12,1,100000,100000,0,6.017843,16617.249048
1,3,4,12,1,100000,100000,0,5.630855,17759.290754
1,3,4,12,1,100000,100000,0,6.105670,16378.219833
1,3,4,12,1,100000,100000,0,6.047478,16535.818312
1,3,4,12,1,100000,100000,0,5.550864,18015.213832
1,3,4,12,1,100000,100000,0,6.050606,16527.270167
1,3,4,12,1,100000,100000,0,5.994536,16681.858059
1,3,4,12,1,100000,100000,0,5.635692,17744.048635
1,4,2,8,1,100000,100000,0,6.014236,16627.216163
1,4,2,8,1,100000,100000,0,5.965712,16762.458673
1,4,2,8,1,100000,100000,0,5.401592,18513.062129
1,4,2,8,1,100000,100000,0,5.891180,16974.527231
1,4,2,8,1,100000,100000,0,5.860719,17062.753815
1,4,2,8,1,100000,100000,0,5.393502,18540.829595
1,4,2,8,1,100000,100000,0,5.889181,16980.290899
1,4,2,8,1,100000,100000,0,5.908632,16924.391455
1,4,2,8,1,100000,100000,0,5.403745,18505.685806
1,4,2,8,1,100000,100000,0,5.879038,17009.584916
1,4,3,12,1,100000,100000,0,5.953646,16796.429885
1,4,3,12,1,100000,100000,0,-10.052159,-9948.111325
1,4,3,12,1,100000,100000,0,6.008391,16643.390405
1,4,3,12,1,100000,100000,0,6.002810,16658.865123
1,4,3,12,1,100000,100000,0,6.077312,16454.642561
1,4,3,12,1,100000,100000,0,6.091520,16416.264217
