OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,2,2,1,100000,100000,0,38.822509,2575.825295
1,1,2,2,1,100000,100000,0,17.886959,5590.665173
1,1,2,2,1,100000,100000,0,17.575659,5689.687056
1,1,2,2,1,100000,100000,0,18.000339,5555.451024
1,1,2,2,1,100000,100000,0,17.683181,5655.091131
1,1,2,2,1,100000,100000,0,17.835983,5606.643505
1,1,2,2,1,100000,100000,0,37.334056,2678.519556
1,1,2,2,1,100000,100000,0,17.924601,5578.924794
1,1,2,2,1,100000,100000,0,17.751445,5633.344269
1,1,2,2,1,100000,100000,0,17.705548,5647.947173
1,1,3,3,1,100000,100000,0,12.320052,8116.849052
1,1,3,3,1,100000,100000,0,12.534323,7978.093148
1,1,3,3,1,100000,100000,0,12.992537,7696.726283
1,1,3,3,1,100000,100000,0,12.734057,7852.956563
1,1,3,3,1,100000,100000,0,12.984220,7701.656108
1,1,3,3,1,100000,100000,0,12.712099,7866.521774
1,1,3,3,1,100000,100000,0,13.254355,7544.689819
1,1,3,3,1,100000,100000,0,12.604413,7933.728970
1,1,3,3,1,100000,100000,0,12.618381,7924.947023
1,1,3,3,1,100000,100000,0,13.253484,7545.185613
1,1,4,4,1,100000,100000,0,9.717934,10290.253200
1,1,4,4,1,100000,100000,0,9.721586,10286.387616
1,1,4,4,1,100000,100000,0,9.787476,10217.138857
1,1,4,4,1,100000,100000,0,9.670117,10341.136214
1,1,4,4,1,100000,100000,0,9.667300,10344.149571
1,1,4,4,1,100000,100000,0,9.979606,10020.435551
1,1,4,4,1,100000,100000,0,9.747652,10258.880743
1,1,4,4,1,100000,100000,0,9.825052,10178.062745
1,1,4,4,1,100000,100000,0,9.830078,10172.859413
1,1,4,4,1,100000,100000,0,9.808785,10194.942233
1,1,5,5,1,100000,100000,0,8.304666,12041.423643
1,1,5,5,1,100000,100000,0,8.832780,11321.464517
1,1,5,5,1,100000,100000,0,8.613566,11609.593434
1,1,5,5,1,100000,100000,0,8.753036,11424.607320
1,1,5,5,1,100000,100000,0,8.806117,11355.743234
1,1,5,5,1,100000,100000,0,9.335250,10712.086100
1,1,5,5,1,100000,100000,0,9.103026,10985.357519
1,1,5,5,1,100000,100000,0,9.307819,10743.655419
1,1,5,5,1,100000,100000,0,9.052036,11047.239016
1,1,5,5,1,100000,100000,0,9.034654,11068.492379
1,1,8,8,1,100000,100000,0,7.092370,14099.660146
1,1,8,8,1,100000,100000,0,6.575471,15208.036344
1,1,8,8,1,100000,100000,0,7.098572,14087.340719
1,1,8,8,1,100000,100000,0,7.040411,14203.715953
1,1,8,8,1,100000,100000,0,6.562919,15237.122447
1,1,8,8,1,100000,100000,0,7.060981,14162.337876
1,1,8,8,1,100000,100000,0,6.595479,15161.902136
1,1,8,8,1,100000,100000,0,7.022089,14240.777078
1,1,8,8,1,100000,100000,0,7.063075,14158.138846
1,1,8,8,1,100000,100000,0,6.581672,15193.706955
