OMP_ENABLED,MPI_RANKS,OMP_THREADS,TOT_WORKERS,NODES,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
0,1,1,1,1,100000,100000,0,26.864056,3722.446032
0,1,1,1,1,100000,100000,0,27.071055,3693.982337
0,1,1,1,1,100000,100000,0,27.250375,3669.674256
0,1,1,1,1,100000,100000,0,26.690640,3746.631709
0,1,1,1,1,100000,100000,0,27.257984,3668.649824
0,1,1,1,1,100000,100000,0,27.175837,3679.739446
0,1,1,1,1,100000,100000,0,27.383964,3651.772276
0,1,1,1,1,100000,100000,0,27.685563,3611.990797
0,1,1,1,1,100000,100000,0,27.941298,3578.931815
0,1,1,1,1,100000,100000,0,28.269277,3537.409173
1,1,2,2,1,100000,100000,0,42.737914,2339.842778
1,1,2,2,1,100000,100000,0,10.472328,9548.974963
1,1,2,2,1,100000,100000,0,26.737342,3740.087620
1,1,2,2,1,100000,100000,0,26.565435,3764.289902
1,1,2,2,1,100000,100000,0,26.567905,3763.939947
1,1,2,2,1,100000,100000,0,26.325191,3798.642884
1,1,2,2,1,100000,100000,0,26.362226,3793.306431
1,1,2,2,1,100000,100000,0,26.774096,3734.953437
1,1,2,2,1,100000,100000,0,26.684747,3747.459230
1,1,2,2,1,100000,100000,0,27.258368,3668.598200
1,1,3,3,1,100000,100000,0,24.144274,4141.768854
1,1,3,3,1,100000,100000,0,24.321744,4111.547340
1,1,3,3,1,100000,100000,0,24.632288,4059.712174
1,1,3,3,1,100000,100000,0,24.425698,4094.048809
1,1,3,3,1,100000,100000,0,24.650532,4056.707498
1,1,3,3,1,100000,100000,0,24.744731,4041.264353
1,1,3,3,1,100000,100000,0,24.851561,4023.892083
1,1,3,3,1,100000,100000,0,24.993496,4001.040960
1,1,3,3,1,100000,100000,0,24.897447,4016.476124
1,1,3,3,1,100000,100000,0,24.844595,4025.020384
1,1,4,4,1,100000,100000,0,25.446710,3929.781085
1,1,4,4,1,100000,100000,0,25.380113,3940.092773
1,1,4,4,1,100000,100000,0,25.851283,3868.279902
1,1,4,4,1,100000,100000,0,25.524962,3917.733488
1,1,4,4,1,100000,100000,0,25.418348,3934.165950
1,1,4,4,1,100000,100000,0,25.751335,3883.293783
1,1,4,4,1,100000,100000,0,25.422543,3933.516856
1,1,4,4,1,100000,100000,0,25.347206,3945.207981
1,1,4,4,1,100000,100000,0,25.219379,3965.204669
1,1,4,4,1,100000,100000,0,41.627893,2402.235439
1,1,5,5,1,100000,100000,0,10.407193,9608.739066
1,1,5,5,1,100000,100000,0,26.627614,3755.499804
1,1,5,5,1,100000,100000,0,26.434011,3783.005172
1,1,5,5,1,100000,100000,0,26.651784,3752.094049
1,1,5,5,1,100000,100000,0,26.877860,3720.534296
1,1,5,5,1,100000,100000,0,26.487840,3775.317284
1,1,5,5,1,100000,100000,0,26.426335,3784.103970
1,1,5,5,1,100000,100000,0,26.636308,3754.274043
1,1,5,5,1,100000,100000,0,26.536238,3768.431668
1,1,5,5,1,100000,100000,0,26.711078,3743.765086
1,1,8,8,1,100000,100000,0,34.682737,2883.278800
1,1,8,8,1,100000,100000,0,36.084009,2771.310696
1,1,8,8,1,100000,100000,0,36.675134,2726.643078
1,1,8,8,1,100000,100000,0,36.596099,2732.531720
1,1,8,8,1,100000,100000,0,35.732858,2798.544663
1,1,8,8,1,100000,100000,0,36.094220,2770.526682
1,1,8,8,1,100000,100000,0,36.304886,2754.450200
1,1,8,8,1,100000,100000,0,36.156463,2765.757227
1,1,8,8,1,100000,100000,0,36.526040,2737.772846
1,1,8,8,1,100000,100000,0,36.601455,2732.131839
