OMP_ENABLED,RANK,N_THREADS,N_JOBS,SUCCESS,FAIL,TIME_SEC,THROUGHPUT_JS
1,1,1,100000,100000,0,32.035970,3121.491241
1,1,2,100000,100000,0,18.688447,5350.899346
1,1,2,100000,100000,0,19.432021,5146.145146
1,1,2,100000,100000,0,18.351489,5449.149029
1,1,2,100000,100000,0,18.274948,5471.971826
#
1,1,4,100000,100000,0,10.107150,9893.985863
1,1,4,100000,100000,0,10.254422,9751.890250
1,1,4,100000,100000,0,10.448388,9570.854304
1,1,4,100000,100000,0,10.506839,9517.610061
# schedule(dynamic) dentro indcpa.c gen_matrix
1,1,2,100000,100000,0,18.430747,5425.715947
1,1,2,100000,100000,0,18.027771,5546.997607
1,1,2,100000,100000,0,18.159445,5506.776291
1,1,4,100000,100000,0,10.200412,9803.525246
1,1,4,100000,100000,0,10.254043,9752.250562
1,1,4,100000,100000,0,10.217599,9787.035011
1,1,4,100000,100000,0,11.931311,8381.308665
1,1,4,100000,100000,0,10.457557,9562.462510
1,1,4,100000,100000,0,11.003343,9088.147376
1,1,4,100000,100000,0,10.582021,9449.990879
1,1,4,100000,100000,0,12.266019,8152.604349
1,1,4,100000,100000,0,11.080416,9024.932111
1,1,4,100000,100000,0,10.773255,9282.245687
1,1,4,100000,100000,0,10.825498,9237.450331
1,1,4,100000,100000,0,11.816289,8462.894064
1,1,4,100000,100000,0,12.111166,8256.843339
1,1,4,100000,100000,0,12.533620,7978.540988
1,1,4,100000,100000,0,11.214558,8916.980628
1,1,4,100000,100000,0,10.705216,9341.240863
1,1,4,100000,100000,0,11.225670,8908.154378
